"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6nLhZcqT12QTaWz8ANPj4e","Top Hat","spotify:artist:6l3iPTof4l2D75Wawq9w7R","Al Bowlly","spotify:album:4Cj5hL5LpwODbUMz9mBOZu","1930s Classics","spotify:artist:6l3iPTof4l2D75Wawq9w7R","Al Bowlly","2011-08-01","https://i.scdn.co/image/ab67616d0000b27307512dedfd02cf203a3a8f98","1","19","210400","","false","26","USA371417510","spotify:user:1248415055","2013-12-28T01:10:19Z"
"spotify:track:2lMRJsYb7qlafOL8fvNHoZ","My Hat's On The Side Of My Head","spotify:artist:6l3iPTof4l2D75Wawq9w7R","Al Bowlly","spotify:album:4Cj5hL5LpwODbUMz9mBOZu","1930s Classics","spotify:artist:6l3iPTof4l2D75Wawq9w7R","Al Bowlly","2011-08-01","https://i.scdn.co/image/ab67616d0000b27307512dedfd02cf203a3a8f98","2","16","165546","","false","24","USA371417533","spotify:user:1248415055","2013-12-28T01:15:12Z"
"spotify:track:0VvJmTlJ1tlVN5IHpt8yvf","The Darktown Strutters' Ball","spotify:artist:0tIS1GWwrWqr4DHK0RLg5u","Paul Whiteman & His Orchestra","spotify:album:6D4kIJcPn9iBp0tImhnMuD","Miss Fisher's Murder Mysteries - Music from the Televison Series","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-03-15","https://i.scdn.co/image/ab67616d0000b2739e4dc7e08ce764157888b096","1","17","176586","","false","0","TCABM1386985","spotify:user:1248415055","2013-12-28T01:34:11Z"
"spotify:track:1bNMBKbk45j7KjkiOMARav","I Married An Angel","spotify:artist:7fKkMXfKRNB1y69rz5oAi0","1930s and 1940s Music","spotify:album:38pQRDjnWko6OhINTFvttW","Broadway Songs - 1930s and 1940s Music","spotify:artist:7fKkMXfKRNB1y69rz5oAi0","1930s and 1940s Music","2011-02-08","https://i.scdn.co/image/ab67616d0000b273ba52aeca495bd0df3cfb8418","1","2","147306","","false","0","USA371207915","spotify:user:1248415055","2014-01-12T21:24:18Z"
"spotify:track:69bq4p6fKbT0beOcShGp6u","This Can't Be Love","spotify:artist:7fKkMXfKRNB1y69rz5oAi0","1930s and 1940s Music","spotify:album:38pQRDjnWko6OhINTFvttW","Broadway Songs - 1930s and 1940s Music","spotify:artist:7fKkMXfKRNB1y69rz5oAi0","1930s and 1940s Music","2011-02-08","https://i.scdn.co/image/ab67616d0000b273ba52aeca495bd0df3cfb8418","1","4","145066","","false","0","USA371207917","spotify:user:1248415055","2014-01-12T21:24:38Z"
"spotify:track:38YybWDQ7ZdO5UrtOhVb4b","Swing Is King","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","spotify:album:2pUqYfVy7cfzDuyYsReKIO","The Outstanding Ted Heath","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","2013-10-31","https://i.scdn.co/image/ab67616d0000b27386b1bc8fdf20a141775961fb","1","11","213263","","false","0","FR4GL1043192","spotify:user:1248415055","2014-01-12T21:32:34Z"
"spotify:track:4OPFz1wZEpgPTmTNLfmdx3","A Nightingale Sang In Berkeley Square","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","spotify:album:5vjg1wiOzQTKYgAjurrW5A","Behind The Legend - Ted Heath","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","2010-12-09","https://i.scdn.co/image/ab67616d0000b2731092bc5574cbcbeda74493b3","1","24","205173","","false","0","USA2P1126391","spotify:user:1248415055","2014-01-12T21:43:32Z"
"spotify:track:0pTnvBQmKysDztEUrBLkAI","Stardust","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","spotify:album:0rm9pzAoPSGTlTe34GK3qj","Anything Goes","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","2010-10-11","https://i.scdn.co/image/ab67616d0000b2732225922e91d1b8d815ab0971","1","21","162906","https://p.scdn.co/mp3-preview/a9caf2c00ff13b660eeec42b7b18b592d0a37113?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBVUT1045257","spotify:user:1248415055","2014-01-12T21:49:05Z"
"spotify:track:2RG0pjE7ZL9yQq7GNXMQx5","Birth of the Blues","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","spotify:album:71hV9ytu6hnItNnvkkSQQH","100th London Palladium Sunday Concert","spotify:artist:4v8G8fM1P0Nrn9nZZW0ziT","Ted Heath","2010-04-27","https://i.scdn.co/image/ab67616d0000b273f051020e4b4ae39d1d737f3e","1","2","153000","","false","19","NLG620427765","spotify:user:1248415055","2014-01-12T21:54:40Z"
"spotify:track:01oUv0WQxn27V8Hh01qcGj","Ma I Miss Your Apple Pie","spotify:artist:7ns407Rsv4dGLb0dLtGtgA","Alan Breeze","spotify:album:0PuXF5Ct0xcK0ubcz7mehz","Pearl Harbour - Songs of WW2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-09-08","https://i.scdn.co/image/ab67616d0000b273f3cd813d16003aa5a67399c4","1","7","161400","","false","0","NLG620438746","spotify:user:1248415055","2014-01-12T22:05:52Z"
