"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2PuUFT13yCzUOZun94WOXv","Suite: Judy Blue Eyes - 2005 Remaster","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","spotify:album:6vUWpE8qciYHOhf7mgaGny","Crosby, Stills & Nash","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","1969-05-29","https://i.scdn.co/image/ab67616d0000b273a32339b8818323380682a889","1","1","444053","https://p.scdn.co/mp3-preview/7caf425ad0f847b8e3ba33598d1d25ad06c3dd87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAT20506555","spotify:user:rob.bednark","2019-09-18T00:59:29Z"
"spotify:track:6kXGGyEPSRS1g9Ltm70jo9","Love the One You're With","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","spotify:album:1ZMa2C7vUFFCqX8xcFuFX3","Replay","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","1980-12-08","https://i.scdn.co/image/ab67616d0000b273042af63d3fa0c2caca83fc8a","1","7","184653","https://p.scdn.co/mp3-preview/eb1880f85e2f125ac52797d6f365846f8be2716c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USAT20613385","spotify:user:rob.bednark","2019-09-18T01:00:09Z"
"spotify:track:14UvvyCwUtkf7Nk440cbG9","Teach Your Children","spotify:artist:1CYsQCypByMVgnv17qsSbQ","Crosby\, Stills\, Nash & Young","spotify:album:6vUWpE8qciYHOhf7mgaGny","Crosby, Stills & Nash","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","1969-05-29","https://i.scdn.co/image/ab67616d0000b273a32339b8818323380682a889","1","14","194226","https://p.scdn.co/mp3-preview/2a72826282206a908590387e5f71e503a9f6979b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USAT20506569","spotify:user:rob.bednark","2019-09-18T01:00:41Z"
"spotify:track:2hitsKa8SthKhRJBXUHbIv","Our House","spotify:artist:1CYsQCypByMVgnv17qsSbQ","Crosby\, Stills\, Nash & Young","spotify:album:5bHkK1X4WEOzNvRhehvOcb","Deja Vu","spotify:artist:1CYsQCypByMVgnv17qsSbQ","Crosby\, Stills\, Nash & Young","1970-03-11","https://i.scdn.co/image/ab67616d0000b27306e00756085191abc01e4cf0","1","7","179760","https://p.scdn.co/mp3-preview/583a4660a3589449198a805ea26cdb968eecba93?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAT20901935","spotify:user:rob.bednark","2019-09-18T01:02:11Z"
"spotify:track:20s3Btm8x5A0C8RlkVx1PE","When God Made Me","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","spotify:album:5mTZbuqSxMGdR2enexvyCF","Prairie Wind","spotify:artist:6v8FB84lnmJs434UJf2Mrm","Neil Young","2005-09-23","https://i.scdn.co/image/ab67616d0000b273a1f46e7152a8219b4aef1273","1","10","245560","","false","0","USRE10501072","spotify:user:rob.bednark","2019-09-18T01:02:58Z"
"spotify:track:39m6vOwUEgjErRnsm93wu2","Wooden Ships - 2005 Remaster","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","spotify:album:6vUWpE8qciYHOhf7mgaGny","Crosby, Stills & Nash","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","1969-05-29","https://i.scdn.co/image/ab67616d0000b273a32339b8818323380682a889","1","6","326293","https://p.scdn.co/mp3-preview/5d053363615e3e09899c8120540b2f6424fce4f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USAT20506558","spotify:user:rob.bednark","2019-09-18T01:04:14Z"
"spotify:track:1UKobFsdqNXQb8OthimCKe","Helplessly Hoping - 2005 Remaster","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","spotify:album:6vUWpE8qciYHOhf7mgaGny","Crosby, Stills & Nash","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","1969-05-29","https://i.scdn.co/image/ab67616d0000b273a32339b8818323380682a889","1","8","157893","https://p.scdn.co/mp3-preview/a2ccf42cd08adb42fb879f4c0caafde052dfc77b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT20506563","spotify:user:rob.bednark","2019-09-18T01:04:28Z"
"spotify:track:1I7zHEdDx8Ny5RxzYPqsU2","Reelin' In The Years","spotify:artist:6P7H3ai06vU1sGvdpBwDmE","Steely Dan","spotify:album:4Gh6pRaXqXTtJx4plAJbBw","Can't Buy A Thrill","spotify:artist:6P7H3ai06vU1sGvdpBwDmE","Steely Dan","1972-01-01","https://i.scdn.co/image/ab67616d0000b2735a9b9e265814a9c9636a71a4","1","6","275466","","false","50","USMC17347184","spotify:user:rob.bednark","2019-09-18T01:05:12Z"
"spotify:track:1qRA5BS78u3gME0loMl9AA","For What It's Worth","spotify:artist:3eskO5m0H4yiF64vRySBjr","Buffalo Springfield","spotify:album:3PkdGRruLnJ9zCtANiDrpB","Buffalo Springfield","spotify:artist:3eskO5m0H4yiF64vRySBjr","Buffalo Springfield","1966-12-05","https://i.scdn.co/image/ab67616d0000b273d231bd1716b71b6444e25f89","1","1","153693","https://p.scdn.co/mp3-preview/2f799d20b1ffbe387990c810259750f7860a410a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USEE10170607","spotify:user:rob.bednark","2019-09-18T01:05:21Z"
"spotify:track:0DAmSYQW9kq9gQNDI002KP","River","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","spotify:album:1vz94WpXDVYIEGja8cjFNa","Blue","spotify:artist:5hW4L92KnC6dX9t7tYM4Ve","Joni Mitchell","1971-06-22","https://i.scdn.co/image/ab67616d0000b273e9f77be85457110ebf304da7","1","8","245040","","false","3","USRE19600231","spotify:user:rob.bednark","2019-09-18T01:06:00Z"
