"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1WDgdCoNSN0fosaTaLGXKU","Takin' It to the Streets","spotify:artist:39T6qqI0jDtSWWioX8eGJz, spotify:artist:0vn7UBvSQECKJm2817Yf1P","The Doobie Brothers, James Taylor","spotify:album:6yXfAEtkB6MUyhRkiGg5X2","Takin' It to the Streets","spotify:artist:39T6qqI0jDtSWWioX8eGJz","The Doobie Brothers","1976-03-12","https://i.scdn.co/image/ab67616d0000b273d753838669bd212bae73e167","1","2","231600","https://p.scdn.co/mp3-preview/0074caddcd91d7d08fcb8df0b6adfc40afa17506?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USWB10105079","spotify:user:lesliehoover22","2017-01-20T18:56:30Z"
"spotify:track:4OJFkrRQqol4FsPesF8eu4","Saturday in the Park - 2002 Remaster","spotify:artist:3iDD7bnsjL9J4fO298r0L0","Chicago","spotify:album:2oSXXINsWGuEsc4udgWxh8","Chicago V (Expanded & Remastered)","spotify:artist:3iDD7bnsjL9J4fO298r0L0","Chicago","1972-07-10","https://i.scdn.co/image/ab67616d0000b27310d80ba410370acdbb0bf6c2","1","7","235666","https://p.scdn.co/mp3-preview/025aa6aef2e6cc6778b7f3c8cb95024d69a0d177?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USRH10291749","spotify:user:lesliehoover22","2017-01-20T18:57:15Z"
"spotify:track:3GVhCuS4BRxCTvVj4Cmc8w","How Much I Feel","spotify:artist:0J2Ej2rMQyqaUX3G6MUISw","Ambrosia","spotify:album:5CyhDBUqDk2XMptRFsj7c2","Life Beyond L.A.","spotify:artist:0J2Ej2rMQyqaUX3G6MUISw","Ambrosia","1978","https://i.scdn.co/image/ab67616d0000b2735abb6293ed002a0a3c7871c9","1","5","283400","https://p.scdn.co/mp3-preview/ef0d7dbf0d4a3de2c0edfd643b40666d622383ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USWB17800025","spotify:user:lesliehoover22","2017-01-20T19:01:08Z"
"spotify:track:0SjnBEHZVXgCKvOrpvzL2k","Sundown","spotify:artist:23rleGXVOVVgTk3xgtmfE4","Gordon Lightfoot","spotify:album:2IPD9EcNjUmsHvqULDMU9Y","Sundown","spotify:artist:23rleGXVOVVgTk3xgtmfE4","Gordon Lightfoot","1974","https://i.scdn.co/image/ab67616d0000b2738f2b3a1c0559ca6188de574b","1","7","213400","https://p.scdn.co/mp3-preview/61bda1952d39b6d551258b7b2eefd8380c7f7f1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USRE10901178","spotify:user:lesliehoover22","2017-01-20T19:01:58Z"
"spotify:track:5ihS6UUlyQAfmp48eSkxuQ","Landslide","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:5VIQ3VaAoRKOEpJ0fewdvo","Fleetwood Mac","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1975-07-11","https://i.scdn.co/image/ab67616d0000b2734fb043195e8d07e72edc7226","1","8","199493","https://p.scdn.co/mp3-preview/b7ab596f3c52957759bc3a8d2235c5c340d693ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USWB19903197","spotify:user:lesliehoover22","2017-01-20T19:04:20Z"
"spotify:track:3n3EF98mYNe6r3iATnzyTo","Dreams - 2002 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:600CiKJo7zfaBJKnkThbyD","The Very Best Of Fleetwood Mac","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","2002-10-12","https://i.scdn.co/image/ab67616d0000b2737d26138bad83453cdf7d13c3","1","2","255640","https://p.scdn.co/mp3-preview/7fd96e34dfede6049e57a5b610e4bfb1bdd742b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USWB10202603","spotify:user:lesliehoover22","2017-01-20T19:04:51Z"
"spotify:track:1K1dN26M8RsrbiGQ8rE21x","Don't Stop - 2002 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:600CiKJo7zfaBJKnkThbyD","The Very Best Of Fleetwood Mac","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","2002-10-12","https://i.scdn.co/image/ab67616d0000b2737d26138bad83453cdf7d13c3","2","2","192533","https://p.scdn.co/mp3-preview/d2b29ea350477d0a5ab014f746a3a6c4a479d0cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USWB10202619","spotify:user:lesliehoover22","2017-01-20T19:05:42Z"
"spotify:track:11FcfHd3SOmmrWJPGe7Y30","Don't Let The Sun Go Down On Me","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:2R5dzEQT6MDsnwiZSpWgqC","Caribou","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1974-06-28","https://i.scdn.co/image/ab67616d0000b27368f5959744717483eed212b2","1","9","336733","https://p.scdn.co/mp3-preview/668aa16b7375b02ce2e7a736e0a7156176326b09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAMB9500047","spotify:user:lesliehoover22","2017-01-20T19:06:13Z"
"spotify:track:12PlslqAWQUtiLoObNaj8a","Time In A Bottle","spotify:artist:1R6Hx1tJ2VOUyodEpC12xM","Jim Croce","spotify:album:5M1LRjo6pwaxEBuu7Dbvjb","Photographs & Memories: His Greatest Hits","spotify:artist:1R6Hx1tJ2VOUyodEpC12xM","Jim Croce","1974-01-01","https://i.scdn.co/image/ab67616d0000b27397e92e26bae020503bdff4fb","1","5","145200","","false","0","USRHD0804163","spotify:user:lesliehoover22","2017-01-20T19:06:42Z"
"spotify:track:6DXv7vJPrDRxo3Lnh4bacS","Wheel in the Sky","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:5pfpXvoJtSIFrbPIoBEv3R","The Essential Journey","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","2001-10-16","https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8","1","3","252640","https://p.scdn.co/mp3-preview/8737dae65d8e83f862af85662cdeabec63e83535?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USSM17800105","spotify:user:lesliehoover22","2017-01-20T19:07:07Z"
