"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2kkvB3RNRzwjFdGhaUA0tz","Layla","spotify:artist:2rc78XDH9zuJP6bm78lU8Z","Derek & The Dominos","spotify:album:5iIWnMgvSM8uEBwXKsPcXM","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:artist:2rc78XDH9zuJP6bm78lU8Z","Derek & The Dominos","1970-11-01","https://i.scdn.co/image/ab67616d0000b273fbcaf7402f38faac27610efc","1","13","423840","https://p.scdn.co/mp3-preview/2ac19b13231acf3242c44f3c49cd2fbb6269169b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBUM71028890","spotify:user:","2021-02-10T18:00:33Z"
"spotify:track:7Jh1bpe76CNTCgdgAdBw4Z","Heroes - 2017 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:4I5zzKYd2SKDgZ9DRf5LVk","""Heroes"" (2017 Remaster)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1977","https://i.scdn.co/image/ab67616d0000b273204f41d52743c6a9efd62985","1","3","371413","https://p.scdn.co/mp3-preview/8d813722bb460c5d441c3789f04283be591f0127?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USJT11700005","spotify:user:","2021-02-10T18:00:33Z"
"spotify:track:3Vby4nGmtbDo7HDJamOWkT","Stuck In The Middle With You","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","spotify:album:5ApN9lqru1t3Xh1IaEGTll","Stealers Wheel","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","1972-01-01","https://i.scdn.co/image/ab67616d0000b273a5ce236c22035a02cf87d4de","1","2","208946","https://p.scdn.co/mp3-preview/b6aec4b728d43e96744a903152d6c6305db4ec67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAAM7200002","spotify:user:","2022-04-14T15:08:02Z"
"spotify:track:54eZmuggBFJbV7k248bTTt","A Horse with No Name","spotify:artist:35U9lQaRWSQISxQAB94Meo, spotify:artist:0tcbedGX7n5UHrMhVsGmIU","America, George Martin","spotify:album:0E5IKYhiKgbYQkmfsFonbZ","America","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1972","https://i.scdn.co/image/ab67616d0000b273afb855e6461310dff4046c56","1","5","252239","https://p.scdn.co/mp3-preview/fd1339af75eb92bc03084e161ecf13f0a9d2c78c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USWB19901792","spotify:user:","2021-02-10T18:00:33Z"
"spotify:track:15BQ7vEDv2LJuh8TxWIhtd","The Passenger","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","spotify:album:2jnV6ytZOmt71iEC5xHEYz","Lust For Life","spotify:artist:33EUXrFKGjpUSGacqEHhU4","Iggy Pop","1977-08-29","https://i.scdn.co/image/ab67616d0000b2734aa5f679427e35409a06f225","1","4","283360","https://p.scdn.co/mp3-preview/127bd775b733d6d3cc341ea55c38a2a7913a8c73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USVI20700278","spotify:user:","2021-02-10T18:00:33Z"
"spotify:track:5p3JunprHCxClJjOmcLV8G","Walk On the Wild Side","spotify:artist:42TFhl7WlMRXiNqzSrnzPL","Lou Reed","spotify:album:5SqbMEyAt8332ISGiLX0St","Transformer","spotify:artist:42TFhl7WlMRXiNqzSrnzPL","Lou Reed","1972-12-01","https://i.scdn.co/image/ab67616d0000b273d55149748dca0e5a1f40778e","1","5","254173","https://p.scdn.co/mp3-preview/3ecb572c052cd219e81b74e9f780356a48badd73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USRC17201948","spotify:user:","2021-02-10T18:00:33Z"
"spotify:track:7GqIDx2QVGOpd4r1fZaUUW","25 or 6 to 4 - 2002 Remaster","spotify:artist:3iDD7bnsjL9J4fO298r0L0","Chicago","spotify:album:0PRgsdDXQ8QPaDUetVF7yN","Chicago II","spotify:artist:3iDD7bnsjL9J4fO298r0L0","Chicago","1970-01-26","https://i.scdn.co/image/ab67616d0000b273f97c928726d4abbaed5aebf9","1","14","289800","https://p.scdn.co/mp3-preview/8dbd7d656a9bf19e025dadca9c0cfe6ae3cd476c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRH10285518","spotify:user:","2021-02-10T18:00:33Z"
"spotify:track:1lqMLr9Wj7SM2F9AikGcxN","Hurricane","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:1T8usYsiGEMPMQOLFgJEbE","Desire","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1976-01-16","https://i.scdn.co/image/ab67616d0000b2738e1a23e42f68260b7b274e09","1","1","512732","https://p.scdn.co/mp3-preview/6241876eccbdb419b74027ac88cf50a6b2e4c9b5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USSM17500791","spotify:user:","2021-02-10T18:00:33Z"
"spotify:track:1QEEqeFIZktqIpPI4jSVSF","More Than a Feeling","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","spotify:album:2QLp07RO6anZHmtcKTEvSC","Boston","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","1976","https://i.scdn.co/image/ab67616d0000b27390ef9760e57fafd8f966d17a","1","1","285133","https://p.scdn.co/mp3-preview/c2218bba50a716621add2095ecee716282ac3f5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USSM17600941","spotify:user:","2021-02-10T18:00:33Z"
"spotify:track:7mjSHL2Eb0kAwiKbvNNyD9","Wild World","spotify:artist:08F3Y3SctIlsOEmKd6dnH8","Yusuf / Cat Stevens","spotify:album:44VxbAytHpVi3Rq8hRhild","Tea For The Tillerman (Remastered 2020)","spotify:artist:08F3Y3SctIlsOEmKd6dnH8","Yusuf / Cat Stevens","1970-11-23","https://i.scdn.co/image/ab67616d0000b273e7248738c2f7ce3b5584b15d","1","3","200560","https://p.scdn.co/mp3-preview/c62913861b9198497a60fd66170dfd29a5778aa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71905965","spotify:user:","2021-02-10T18:00:33Z"
