"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1OKVmXZWOC9KDAYe2EIpeZ","Breaking Through the Clouds","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","1","658720","https://p.scdn.co/mp3-preview/9cf0294d6cf08fcde5dfceb4a52cbafed2521509?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","US42F0610430","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:57ksNhmCEUzf50GJaF0lMX","Big Fish Rumba","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","2","298786","https://p.scdn.co/mp3-preview/be9bd7420ec39605a2eb3aab481d59819f8a90bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","US42F0610431","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:5imzzzec37iDOZhi7kXWPZ","Ecstatico","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","3","319440","https://p.scdn.co/mp3-preview/25a15f692a13b567ac518eb8614ff6c91b7c7915?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","US42F0610432","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:4m5eAsMGkZYAC0G7nkLr9i","All the King's Men","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","4","251400","https://p.scdn.co/mp3-preview/722d95400befad7980f0efb74e8800ac9285d412?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","US42F0610433","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:0Jcep6RfNoZpSJWozYsIoq","Cause We've Ended As Lovers","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","5","338800","https://p.scdn.co/mp3-preview/ea9742bcabd3d9dd6bf2f7723adba6298bdd25ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","US42F0610434","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:3Dz8DfEdPV55B0wvOGshNb","Joy","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","6","521866","https://p.scdn.co/mp3-preview/bb8b78d0f1a6a141fc6255fa024623264f2add8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","US42F0610435","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:1XowFROX9eXau6zWnHpuwA","Something Shared","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","7","297533","https://p.scdn.co/mp3-preview/6ace248ab1c94a9fd0c733460b8a1aaad6e7b799?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","US42F0610436","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:6xJDFyTbIgF0OYjWroX6yC","Sandy's Painting","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","8","201106","https://p.scdn.co/mp3-preview/85fc19a92aec4805a54b585413643b43e7e9695e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","US42F0610437","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:0VdnLIzEBVaKp3ARxuHnpX","Malenguena","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","9","306653","https://p.scdn.co/mp3-preview/adb57a8af33dcad1564aae5df780c4f0a0fc8084?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","US42F0610438","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
"spotify:track:0USYuK8PJsw2YgHka1AjFu","Bulerias de Rene'","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","spotify:album:6dbxEUGZXdxLUStpaupTEN","Acoustic Mayhem","spotify:artist:21MMPTXzMAzvwzTOoreNrB","Dave Beegle","2006-11-21","https://i.scdn.co/image/ab67616d0000b27330992d9ef84fc731372bcd1a","1","10","264013","https://p.scdn.co/mp3-preview/00acafdcbc0bccaf6a4af332a177c8bece87f279?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","US42F0610439","spotify:user:rob.bednark","2013-07-19T02:46:46Z"
