"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:05LNKKwA725a8KtmYYKceD","Kiss from a Rose","spotify:artist:1coAvtZsRZy1EOxmEaHYIf","Thomas Conti","spotify:album:24sAq1jLTr7Vg74TeZrCyD","Kiss from a Rose","spotify:artist:1coAvtZsRZy1EOxmEaHYIf","Thomas Conti","2022-11-03","https://i.scdn.co/image/ab67616d0000b273769becdcdcb0a242b8f7c6a6","1","1","281363","https://p.scdn.co/mp3-preview/05469beab508e5a2662dca2171a48f61d3d47929?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","TCAGO2294261","spotify:user:hdqsx2783vp88nq22en6uc2pd","2022-11-12T00:16:06Z"
"spotify:track:3ABPfpgP3f1wHH7WLiZknO","True Colors","spotify:artist:49MBtaeudo3dqGDzZfgl3J","Mateo Brooks","spotify:album:0KpF0ncJe4yHGAhVrcQ8fm","True Colors","spotify:artist:49MBtaeudo3dqGDzZfgl3J","Mateo Brooks","2020-10-29","https://i.scdn.co/image/ab67616d0000b273f5c684d180e85830f8f11ca0","1","1","159136","https://p.scdn.co/mp3-preview/63f251e4e1cb8a2d8bf20a7d8274847a0de0950c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","DEZC62026951","spotify:user:hdqsx2783vp88nq22en6uc2pd","2020-11-13T18:53:18Z"
"spotify:track:7kZLKd2n16NNBIUgQmYk99","Hallelujah","spotify:artist:0zX6eGFG6De2KIuOA4Yu2c","Andrew Rookey","spotify:album:7IoXXIfyL59UtIida7YFR9","Hallelujah","spotify:artist:0zX6eGFG6De2KIuOA4Yu2c","Andrew Rookey","2020-11-01","https://i.scdn.co/image/ab67616d0000b273fa66619ee6a9bd45d13f77be","1","1","301395","https://p.scdn.co/mp3-preview/9d10b7435993ad2c3893a2456cda2336dee575ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","DEZC62029153","spotify:user:hdqsx2783vp88nq22en6uc2pd","2020-11-13T18:53:18Z"
"spotify:track:3vy1MZaDVGAi0ZRc9OFxX8","Hotel California","spotify:artist:1coAvtZsRZy1EOxmEaHYIf","Thomas Conti","spotify:album:02dv0XL2FY9asQRwkvBHrm","Blinding Lights","spotify:artist:1coAvtZsRZy1EOxmEaHYIf","Thomas Conti","2020-10-11","https://i.scdn.co/image/ab67616d0000b273142b44a311d25b3d9d8005b9","1","2","392670","https://p.scdn.co/mp3-preview/50779b1e00e07886bee346afe0fb43ffed10fdee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","DEZC62020133","spotify:user:hdqsx2783vp88nq22en6uc2pd","2020-10-19T13:41:08Z"
"spotify:track:76J03KOjZX45mWrTmNUU3F","More Than Words","spotify:artist:49MBtaeudo3dqGDzZfgl3J","Mateo Brooks","spotify:album:0KpF0ncJe4yHGAhVrcQ8fm","True Colors","spotify:artist:49MBtaeudo3dqGDzZfgl3J","Mateo Brooks","2020-10-29","https://i.scdn.co/image/ab67616d0000b273f5c684d180e85830f8f11ca0","1","7","171223","https://p.scdn.co/mp3-preview/289d0658b0a9692782ad8c0e4a6d6889bce62d84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","DEZC62026957","spotify:user:hdqsx2783vp88nq22en6uc2pd","2020-11-13T18:53:18Z"
"spotify:track:2obimSIFiANEV0k8LMX1GQ","Easy On Me - Piano Acoustic","spotify:artist:7lPWuLostTtlIShgm4wpf0, spotify:artist:5Mbw0q0VWmUbNrqqmQrSN0","Sam Tsui, Casey Breves","spotify:album:5lsQ8drwLCptQgoJ6YmKTQ","Easy On Me (Piano Acoustic)","spotify:artist:7lPWuLostTtlIShgm4wpf0, spotify:artist:5Mbw0q0VWmUbNrqqmQrSN0","Sam Tsui, Casey Breves","2021-10-18","https://i.scdn.co/image/ab67616d0000b273e6b1dc70407fd54bba61e4c8","1","1","227571","https://p.scdn.co/mp3-preview/635f494e1886c67c63478a374f9f2abf1718c1a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBDMT2100281","spotify:user:hdqsx2783vp88nq22en6uc2pd","2021-12-28T19:02:38Z"
"spotify:track:25uPyVEykNrPcN2oPSkSWS","Blinding Lights","spotify:artist:1coAvtZsRZy1EOxmEaHYIf","Thomas Conti","spotify:album:02dv0XL2FY9asQRwkvBHrm","Blinding Lights","spotify:artist:1coAvtZsRZy1EOxmEaHYIf","Thomas Conti","2020-10-11","https://i.scdn.co/image/ab67616d0000b273142b44a311d25b3d9d8005b9","1","1","202429","https://p.scdn.co/mp3-preview/3c2eb338701f9dae5f8465ad1e6f41fef78995a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","DEZC62020132","spotify:user:hdqsx2783vp88nq22en6uc2pd","2020-10-19T13:41:08Z"
"spotify:track:4ro9yQZFspxUpsddyYaynr","Dreams","spotify:artist:5akUBQ0UzC6RJvbsm1AZlG","Words On A String","spotify:album:4LxdVMSyBZgj5tmFi084jA","Acoustic Cover","spotify:artist:5akUBQ0UzC6RJvbsm1AZlG","Words On A String","2020-12-10","https://i.scdn.co/image/ab67616d0000b2730285328d1961532a0789fab6","1","3","254418","https://p.scdn.co/mp3-preview/c8713b0ddcdc1e2098dbb7a3ef585ec90955df6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","DEZC62048129","spotify:user:hdqsx2783vp88nq22en6uc2pd","2020-12-19T18:30:06Z"
"spotify:track:1x3W8RZxW94lrVGhP95qA6","You Are The Reason - Duet Version","spotify:artist:6ydoSd3N2mwgwBHtF6K7eX, spotify:artist:5lKZWd6HiSCLfnDGrq9RAm","Calum Scott, Leona Lewis","spotify:album:1RcwvxkvyE60CTFNagElek","Only Human (Special Edition)","spotify:artist:6ydoSd3N2mwgwBHtF6K7eX","Calum Scott","2018-11-30","https://i.scdn.co/image/ab67616d0000b273f035622d8fdf777b23e9a834","1","15","190760","https://p.scdn.co/mp3-preview/1f3532f8523aa9811013c7a101c56bd932a2944a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM71801246","spotify:user:hdqsx2783vp88nq22en6uc2pd","2022-08-22T15:51:52Z"
"spotify:track:73kO66AEGoKrnpQe9ew45p","Say My Name","spotify:artist:0nuDysiShCaD3TI1eHHKnX","Simone Lopez","spotify:album:79nE8YNbNDlRB2hRLzSHhO","Summer Jam","spotify:artist:0nuDysiShCaD3TI1eHHKnX","Simone Lopez","2020-05-18","https://i.scdn.co/image/ab67616d0000b273425e9996ecc40fb8892a6c9f","1","2","255850","https://p.scdn.co/mp3-preview/894501fe1960c558af2bb1ebb07059a3ad273a65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","GBMJG2013181","spotify:user:hdqsx2783vp88nq22en6uc2pd","2020-06-06T15:12:29Z"
