"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:74vMtc6sMPiX1jPz63Rair","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","1","124680","https://p.scdn.co/mp3-preview/048765e279a08fd85ffede54b8729bb85a76a4aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCAAX1106489","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:5gsKs0Dfdj3lKVzaAJC6qy","Sleep","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","2","101120","https://p.scdn.co/mp3-preview/8da282721c38557fd78aed453e772fd1a629a191?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCAAX1106490","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:5jVBMHe5viCROSzU1Dadug","Relax","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","3","127826","https://p.scdn.co/mp3-preview/08ceee7b4e1ab78ebaee4e41af61ad9b8111aa9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCAAX1106491","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:7CdYhvNkyX9s4200Fev8RS","Breathe","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","4","129226","https://p.scdn.co/mp3-preview/ff0ea28118a6bd1bfd1cd02b15887d8dfa9ca44c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAAX1106492","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:6g541ZwF7AtSiXgBglVLWU","Pachelbel's Canon With Ocean Waves","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","5","127120","https://p.scdn.co/mp3-preview/d53573c8893715d33ed017b3f27bda74879f9664?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","TCAAX1106493","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:7LpeJGSXDQQU5hS44IkNWM","Communion With Nature","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","6","126466","https://p.scdn.co/mp3-preview/4380a161cb556750f447e4e03bad5b39710e5afb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAAX1106494","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:1d7TTffhUkA9OH44y2mm1t","Deep Sleep","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","7","129160","https://p.scdn.co/mp3-preview/7748bb826f3d8d71507353e0450259da717b563c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAAX1106495","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:05elVePyq3c0pjQLHKM0EH","Ambient Healing Music","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","8","128000","https://p.scdn.co/mp3-preview/e2634fc0c8a9a6fcf314942de2149b23d8ce7a64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAAX1106496","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:5jbKk3Qz0ZAXdv5rYo2bi4","Healing Waters","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","9","82453","https://p.scdn.co/mp3-preview/771ffdc955981974c894a3239845f886ef5b67ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAAX1106497","spotify:user:","2012-05-26T01:11:32Z"
"spotify:track:1jSGTRabniXfW35hd0Afdo","Natures Lullaby","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","spotify:album:3F06zhK9K3G2Rt4LroQLF0","Ambient Music Therapy","spotify:artist:0tDNJVpXC4afbSDP1bp5VP","Ambient Music Therapy","2011-03-28","https://i.scdn.co/image/ab67616d0000b273459ae4b567c9507da90b0260","1","10","111773","https://p.scdn.co/mp3-preview/38625d7aa4ddfe2c1b601fe867e9b4397b559ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAAX1106498","spotify:user:","2012-05-26T01:11:32Z"
