"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:63BaXBK1d6iy5CI0GX9zct","Hypnosis Introduction","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","1","179500","https://p.scdn.co/mp3-preview/fbba7a21d96a4d71b9ce4a2a82c1773db7c061b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","TCAAY1130932","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:7HAsrR8eC4tIb6mzzlnrWa","Induction","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","2","510000","","false","18","TCAAY1130935","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:4DSe9lQAbbYr6BhDOmGxmY","Deepening","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","3","205500","","false","17","TCAAY1130941","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:11rBpnABsiVmc3YD66izVN","Putting the Worry Aside","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","4","241500","","false","18","TCAAY1131009","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:6LMRImdcM29PBC6MKRWAAF","Sleeping Through Snoring or Disturbing Noises","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","5","357000","","false","22","TCAAY1130955","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:2PBUdIX5jgs44JlhwVhOsr","Deep Calm","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","6","356500","","false","23","TCAAY1130959","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:5c28wOiumiADOLm5mpURy3","Sleeping Tree","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","7","353000","","false","22","TCAAY1130979","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:0sOhTWULWffZXN6aCQMi97","Down to the Hot Springs","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","8","397500","","false","17","TCAAY1131228","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:26wTrEU6XO15vzVRIIZjMC","Serenity Dreaming","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","9","357000","","false","19","TCAAY1130969","spotify:user:","2012-05-26T02:37:33Z"
"spotify:track:0hUIZ8AdikhwQzPXJSlIBD","Delta Beats","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","spotify:album:057gaeRdN7dLTknh3IN1Yw","Deep Sleep Hypnosis With Binaural Delta Waves","spotify:artist:5JoRvqviRCB3B6i4b1vBCl","Anna Thompson","2011-05-21","https://i.scdn.co/image/ab67616d0000b273d6bb069dce873189b15c59fd","1","10","406500","","false","16","TCAAY1131263","spotify:user:","2012-05-26T02:37:33Z"
