"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1juMBzEQqiC2k6KOy44ZID","Easy Living","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","spotify:album:5liOco8nQR5R35L1D9uA3L","Plays For Lovers","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","2006-01-01","https://i.scdn.co/image/ab67616d0000b273132706727373d787f4b1a050","1","1","464000","https://p.scdn.co/mp3-preview/73b10e64bf228b437313faf519971ffe688c6582?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USC4R0300574","spotify:user:ablondewildflower","2016-02-04T00:32:39Z"
"spotify:track:6BGu9IJlUza0h7YrTWElnD","La Vie En Rose - Single Version","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:16niuq7vcf4QvnnrJO7yFc","All Time Greatest Hits","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1994-01-01","https://i.scdn.co/image/ab67616d0000b2738496ba38d3eaaa0a076be39e","1","12","205973","","false","0","USMC15076528","spotify:user:ablondewildflower","2016-02-04T00:34:23Z"
"spotify:track:5vb7At47uO0yPGfmYnAHuw","'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4, spotify:artist:2hGh5VOeeqimQFxqXvfCUf, spotify:artist:35iymrFS4VnsKn35ebHKX9, spotify:artist:0M1UOBJZ9tcKJbrbnVlHZG, spotify:artist:4WhH68K75YKSAwHAqWFpi1","Miles Davis, John Coltrane, Red Garland, Paul Chambers, Philly Joe Jones","spotify:album:4VUawqEDCHHfrUe77ScQ2K","'Round About Midnight","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1957-03-18","https://i.scdn.co/image/ab67616d0000b273cb6f92683ff9ad65f27a3f9f","1","1","355333","https://p.scdn.co/mp3-preview/310c2e40aa3c52106ae468e0b9a15bb3b2ab83f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM15600497","spotify:user:ablondewildflower","2016-02-04T00:34:46Z"
"spotify:track:5Ew6hTgtrC12mgvzww7dcZ","That's All","spotify:artist:2AdOGwpXiwCctV1n9sJaub","Jimmy Forrest","spotify:album:0Wzp5GoPwwx5GYlTCXqiUV","Tintin Deo","spotify:artist:2AdOGwpXiwCctV1n9sJaub","Jimmy Forrest","2014-10-01","https://i.scdn.co/image/ab67616d0000b273988af6330242b7d559fb0938","1","7","294200","","false","7","USV351427667","spotify:user:ablondewildflower","2016-02-04T00:37:17Z"
"spotify:track:1YNHdhvXBogdk54KI1yd2P","I Cover The Waterfront","spotify:artist:23hRv3SqLMrj4i3b3tfUu4","Paul Gonsalves","spotify:album:2R7pL2UXf9wBMYg7b37XLB","Gettin' Together!","spotify:artist:23hRv3SqLMrj4i3b3tfUu4","Paul Gonsalves","1987-01-01","https://i.scdn.co/image/ab67616d0000b2734ec804776365aa2570582e8e","1","6","245906","https://p.scdn.co/mp3-preview/3bbcf0fb7c7592fa07ed5eb9fbcf57e0256b57b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USFI86100222","spotify:user:ablondewildflower","2016-02-04T00:38:01Z"
"spotify:track:5p6me2mwQrGfH30eExHn6v","Take Five","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:5LiPzuR79DTTmyROUm2luC","On Time","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","2001-04-02","https://i.scdn.co/image/ab67616d0000b273c0f74b53d4cf4b14f7f5d41a","1","1","323066","https://p.scdn.co/mp3-preview/0365b2df0dc7042650497ac24a0dbacd98f0454e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USSM16600282","spotify:user:ablondewildflower","2016-02-04T00:40:27Z"
"spotify:track:3fJB02XQB5eNHK2JRCyf0q","Blue Moon","spotify:artist:0dvI5UOAa3FcQ78nmQYWbq","Dave Brubeck Trio","spotify:album:6jZwyNLIMzItdzgEzqQ5KK","The Very Best Of Dave Brubeck","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","2012-01-01","https://i.scdn.co/image/ab67616d0000b273006159b10a51f18450e2eb33","1","1","179360","https://p.scdn.co/mp3-preview/1a326da35691f2ebb6d62150fbde5a673b6cf4b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","USFI85000136","spotify:user:ablondewildflower","2016-02-04T00:41:46Z"
"spotify:track:1S653s5e7kQV7MxIKZcCIc","Just A Gigolo","spotify:artist:0JM134st8VY7Ld9T2wQiH0","Coleman Hawkins","spotify:album:3fRgp7LyVaJow0lcZ9dZyH","The Hawk Relaxes","spotify:artist:0JM134st8VY7Ld9T2wQiH0","Coleman Hawkins","1961","https://i.scdn.co/image/ab67616d0000b273152829b832f05341fa156cc7","1","6","304213","https://p.scdn.co/mp3-preview/5b793663e3493b84c74cd35fed07ee9dbdfab92c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USFI86100798","spotify:user:ablondewildflower","2016-02-04T00:42:28Z"
"spotify:track:4zPDjRgceGrR0Sm54YDTTf","Autumn Nocturne","spotify:artist:063xkuRULzZu8fcoPR2rKR","Lou Donaldson","spotify:album:05dECqC2jTJKERNKAOykqk","Blues Walk","spotify:artist:063xkuRULzZu8fcoPR2rKR","Lou Donaldson","1958","https://i.scdn.co/image/ab67616d0000b273d94380c918abb94d55758650","1","5","294666","https://p.scdn.co/mp3-preview/18d9ef246e5e277b5ca9778163c639da7c8ed3c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USBN28700278","spotify:user:ablondewildflower","2016-02-04T00:42:47Z"
"spotify:track:5rdjEoAiqqsjZdQaYSaDta","April In Paris","spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Count Basie","spotify:album:1gDs61sxoI4By9TKxe8Y0k","April In Paris (Expanded Edition)","spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Count Basie","1956","https://i.scdn.co/image/ab67616d0000b2730f1dc304bf2a8fbff37a6c7d","1","1","228000","https://p.scdn.co/mp3-preview/80772c03193834f9f0f62e6e6879913d91d23496?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USPR35500095","spotify:user:ablondewildflower","2016-02-04T00:43:27Z"
"spotify:track:14MH8dzkk4Cu9I0sjLGAvw","The Night Has a Thousand Eyes","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:620p4tcAC1PAmDUY8Vk5KT","Bossa Antigua","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1997","https://i.scdn.co/image/ab67616d0000b273a821b2b0412fe5dcf3ccd2a9","1","2","308306","https://p.scdn.co/mp3-preview/304701beee27f60755f67787f8d564f05ef4d783?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USBB16401014","spotify:user:ablondewildflower","2016-02-04T00:44:17Z"
"spotify:track:7rECvDaj0NPEdgnTuv9dJt","The Folks Who Live On The Hill","spotify:artist:2zsJ0bMzTjX5qwzkXjw2wg","The George Shearing Quintet And Orchestra","spotify:album:1JnLZDzTl77a0eo4kQJUZx","The Very Best","spotify:artist:7uUBTiZ2u5b40vymlFmXrn","George Shearing","2005-01-01","https://i.scdn.co/image/ab67616d0000b27362fca7f8e236d3f69a6af2b6","1","4","273146","https://p.scdn.co/mp3-preview/b2a9fca0ef6871ef609ca8536177f717ba0d0f38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USCA25600144","spotify:user:ablondewildflower","2016-02-04T00:45:14Z"
"spotify:track:1u5mZMPgWJPH1edSRu7P43","Down By The Sycamore Tree","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","spotify:album:0uUYTpTFYYyP7dztDAGa7R","Quintets: The Clef & Norgran Studio Albums","spotify:artist:0FMucZsEnCxs5pqBjHjIc8","Stan Getz","2011-01-01","https://i.scdn.co/image/ab67616d0000b2735bb63e0bddd9dd9a2f655116","2","11","181053","https://p.scdn.co/mp3-preview/90ba50627689669de3851bd800e551701bcb65a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USPR35412136","spotify:user:ablondewildflower","2016-02-04T00:45:40Z"
