"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1ImAVjs9AXcxGP0fbTsbWf","Bellbottoms","spotify:artist:2NOhotupwYbKRNJF7LMDPG","The Jon Spencer Blues Explosion","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","1","318280","","false","0","USSE91031684","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:2TJhS6snpoDp7awpxLNjHc","Harlem Shuffle","spotify:artist:2gOghlWpnfwGGip7S1cMuq","Bob & Earl","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","2","168746","","false","0","USDEI6400001","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:1YaeaMx7wMr0ZqL8RYspur","Egyptian Reggae","spotify:artist:6hkch2KhRl0tywpeVK5xR5, spotify:artist:2eRdPaLHWAL4d1WcNUO9Vz","Jonathan Richman, The Modern Lovers","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","3","157040","","false","0","GBAJE7700287","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:4S8Om3STyQyJIjFKjrBWF3","Smokey Joe's La La","spotify:artist:41gR7Ifqu8QRnoTHc0QUwq","Googie Rene","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","4","175560","","false","0","USAT21701223","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:7ywctb5E95XqAw9mePzxa2","Let's Go Away For Awhile","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","5","137466","","false","0","USCA21201806","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:6xEgJMV5NALIfFJkFdvsrN","B-A-B-Y","spotify:artist:1QAGLCom3FHTTiuRFsjzOj","Carla Thomas","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","6","174160","","false","0","USAT20003961","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:3ywFutw3zehdg1D3RvZi4m","Kashmere","spotify:artist:5IlWFdNUgNdNDs50YtHoNf","Kashmere Stage Band","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","7","296706","","false","0","US2S71185015","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:3FYDiueg0uwQiN7JVtC9CE","Unsquare Dance","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","8","122000","","false","0","USJPL1500203","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:4cZVLiBD4oM9HckNBvxMlT","Neat Neat Neat","spotify:artist:6VeL8VhaMjHTPc5uovFl3h","The Damned","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","9","161586","","false","0","GBAJE0415018","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:471eUUcbGi51YG8mooiuYF","Easy","spotify:artist:6twIAGnYuIT1pncMAsXnEm","Commodores","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","10","253800","","false","0","USMO17700543","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:6y2DmxDs19Bw8ExsNLHy2d","Debora","spotify:artist:3dBVyJ7JuOMt4GE9607Qin","T. Rex","spotify:album:7pAP49VZRIkt76JQ6jEIaQ","Live In Concert","spotify:artist:3dBVyJ7JuOMt4GE9607Qin","T. Rex","1993-05-04","https://i.scdn.co/image/ab67616d0000b2737270039409af1df95b1a21db","1","2","198826","","false","7","GBVVQ1300231","spotify:user:babydriver_official","2017-06-24T13:27:44Z"
"spotify:track:1ySef3LQkGz1CZXEMLgzod","Debra","spotify:artist:3vbKDsSS70ZX9D2OcvbZmS","Beck","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","12","338666","","false","0","USIR10312122","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:452y4BXipEqvbrIg3O4c0i","Bongolia","spotify:artist:6tw3wmGmRXSWP9GqsnvY7B","Incredible Bongo Band","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","13","132333","","false","0","GBCLQ0601041","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:4Q0X9NoEcDTAs9dvdvR6r3","Baby Let Me Take You (In My Arms)","spotify:artist:51hRQLOySCpDBsBL6C03IZ","The Detroit Emeralds","spotify:album:3dPKEZYhzNZej16d0gIa5x","Greatest Hits","spotify:artist:51hRQLOySCpDBsBL6C03IZ","The Detroit Emeralds","2013-01-24","https://i.scdn.co/image/ab67616d0000b2733f6cd3d6393c0e84c73c9ec3","1","6","232720","https://p.scdn.co/mp3-preview/33efafb29cda6b22445afc04c629bcd1c21fa9ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USESK1316223","spotify:user:babydriver_official","2017-06-23T20:53:24Z"
"spotify:track:0Au0gkWZN4KqR5Yvz6C3EP","Early in the Morning","spotify:artist:1aR0ilCZULHGE0uacBbjgN","Alexis Korner's Blues Incorporated","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","15","176386","","false","0","GBAJE0604454","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:1XKvs684hu8fx7PyKveLe4","The Edge","spotify:artist:6bRTEieKlIK6JMuPCjXiro","David McCallum","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","16","171973","","false","0","USCA26600263","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
"spotify:track:7MuGa8JT2v1kdvzR9yU3ap","Nowhere to Run - Single Version","spotify:artist:1Pe5hlKMCTULjosqZ6KanP","Martha Reeves & The Vandellas","spotify:album:1XaJOcLe3xMQ611SMHtOja","Baby Driver (Music from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-06-23","https://i.scdn.co/image/ab67616d0000b273eb9e0243be71d187e7c8699d","1","17","166160","","false","0","USMO10200170","spotify:user:babydriver_official","2017-06-23T17:07:59Z"
