"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5mRrklQD0rvuN6sV10HfPn","Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","spotify:album:6XaCGjrIRFiS5D5IVg66vb","Six Evolutions - Bach: Cello Suites","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","2018-08-17","https://i.scdn.co/image/ab67616d0000b27306a5197a79a10699d8c10c6c","1","1","150973","https://p.scdn.co/mp3-preview/646c4283a76f6da7f6824b04216af02e4c5469e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USQX91801089","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:5Z1kjTgKJVWvEizpZc3G1S","Bach, JS: Partita for Solo Violin No. 2 in D Minor, BWV 1004: V. Chaconne","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:0hIG9FXgjQxT8fKaYceFbA","Johann Sebastian Bach, Itzhak Perlman","spotify:album:0knRC3vjeWfuxfQ2EHlKEj","Bach - Solo Violin Sonatas","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:0hIG9FXgjQxT8fKaYceFbA","Johann Sebastian Bach, Itzhak Perlman","1988-11-14","https://i.scdn.co/image/ab67616d0000b273ae55bae258aa1bfeae79c61d","2","5","946800","https://p.scdn.co/mp3-preview/2e9be5d6d8bfd9fdf3177ac576b669969ff55ce5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GBAYC8700983","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:1LpBu9DMOmscT94Rbf2y2v","Lute Suite in E Minor, BWV 996 (Arr. J. Williams for Guitar): IV. Sarabande","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6mBYeMZZUhJKEvRXagJYzY","Johann Sebastian Bach, John Williams","spotify:album:3qSHa8YP6cPCLotgDK4DYk","Bach: Lute Suites, Vol. I","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6mBYeMZZUhJKEvRXagJYzY","Johann Sebastian Bach, John Williams","1975","https://i.scdn.co/image/ab67616d0000b2730da3e0feab9d26e02c6dd267","1","4","269893","https://p.scdn.co/mp3-preview/0da393f34a51b513b0d19e05b0a13fc69d2dd58d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBCLS7502064","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:36EnMgx9PmtnzUtmKwI63h","Goldberg Variations, BWV 988: Variation 1 (Arr. for Harp)","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5ForLHbyCPMNAICPCv1oeb","Johann Sebastian Bach, Parker Ramsay","spotify:album:5a12E7Hn3S4QlR4egf9cHA","Bach: Goldberg Variations: Variation 1 (Arranged for Harp)","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5ForLHbyCPMNAICPCv1oeb","Johann Sebastian Bach, Parker Ramsay","2020-08-28","https://i.scdn.co/image/ab67616d0000b273d14c07ac632c9ae38eba74df","1","1","116960","https://p.scdn.co/mp3-preview/0f03854ab8a759ba1cea24010402d462fa3bbe79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBMY52004902","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:6wSUthWsFzhbdrN2VQ4eqa","Lute Suite in E Minor, BWV 996 (Arr. J. Williams for Guitar): I. Passaggio - Presto","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6mBYeMZZUhJKEvRXagJYzY","Johann Sebastian Bach, John Williams","spotify:album:3qSHa8YP6cPCLotgDK4DYk","Bach: Lute Suites, Vol. I","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6mBYeMZZUhJKEvRXagJYzY","Johann Sebastian Bach, John Williams","1975","https://i.scdn.co/image/ab67616d0000b2730da3e0feab9d26e02c6dd267","1","1","151733","https://p.scdn.co/mp3-preview/7196ee69fcf31397830fd2166a409994b325753e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBCLS7502061","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:52ef2T9KALMGFdLt3RdeUn","Unaccompanied Cello Suite No. 1 in G major, BWV 1007: V. Menuets I & II","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","spotify:album:6XaCGjrIRFiS5D5IVg66vb","Six Evolutions - Bach: Cello Suites","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","2018-08-17","https://i.scdn.co/image/ab67616d0000b27306a5197a79a10699d8c10c6c","1","5","207800","https://p.scdn.co/mp3-preview/8a4d7fcb832a32e6ece427bc844ae6a2a972b453?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USQX91801093","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:0GPfOwqu1VLGCzOF4tgswk","Lute Suite in E Minor, BWV 996 (Arr. J. Williams for Guitar): V. Bourrée","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6mBYeMZZUhJKEvRXagJYzY","Johann Sebastian Bach, John Williams","spotify:album:3qSHa8YP6cPCLotgDK4DYk","Bach: Lute Suites, Vol. I","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6mBYeMZZUhJKEvRXagJYzY","Johann Sebastian Bach, John Williams","1975","https://i.scdn.co/image/ab67616d0000b2730da3e0feab9d26e02c6dd267","1","5","73866","https://p.scdn.co/mp3-preview/491e459bee5b82f9af03435ca6b9c6a7735da646?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBCLS7502065","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:2wSo5WfMpeqtrBqFz0OI5g","Unaccompanied Cello Suite No. 1 in G major, BWV 1007: IV. Sarabande","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","spotify:album:6XaCGjrIRFiS5D5IVg66vb","Six Evolutions - Bach: Cello Suites","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:5Dl3HXZjG6ZOWT5cV375lk","Johann Sebastian Bach, Yo-Yo Ma","2018-08-17","https://i.scdn.co/image/ab67616d0000b27306a5197a79a10699d8c10c6c","1","4","150373","https://p.scdn.co/mp3-preview/02cfce7ef02287d38f43a225ade08d5a3ce65846?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USQX91801092","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:285RX2xSWHVzpEwB362tFJ","Partita For Violin Solo No. 1 In B Minor, BWV 1002: Sarabande","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:3Din7QXYnTjT52WF62KS97","Johann Sebastian Bach, Andrés Segovia","spotify:album:2oPblMOkqMFX2BepbZhApR","Bach, J.S.: Suites & Partitas","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:3Din7QXYnTjT52WF62KS97","Johann Sebastian Bach, Andrés Segovia","2002-01-01","https://i.scdn.co/image/ab67616d0000b2736fa132d6418bea70a1c5fbd8","1","4","186000","https://p.scdn.co/mp3-preview/bb282ef684904f822645de50d824ffe15d7e350c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","DEF056705451","spotify:user:","2022-08-19T13:56:26Z"
"spotify:track:38SQizarUiFytIMpgN07jN","Partita for Lute in C minor, BWV 997 - arr. Guitar Segovia, transposed to A minor: Gigue","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:3Din7QXYnTjT52WF62KS97","Johann Sebastian Bach, Andrés Segovia","spotify:album:2oPblMOkqMFX2BepbZhApR","Bach, J.S.: Suites & Partitas","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:3Din7QXYnTjT52WF62KS97","Johann Sebastian Bach, Andrés Segovia","2002-01-01","https://i.scdn.co/image/ab67616d0000b2736fa132d6418bea70a1c5fbd8","1","3","165000","https://p.scdn.co/mp3-preview/909b03ff41d9bece2b11e6d093654e9585b530f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","DEF056804902","spotify:user:","2022-08-19T13:56:26Z"
