"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3jwJWdxW6ZpjLkO1r3LVqm","Baklava Lover","spotify:artist:4kLNR50wrWI1h9WPYg7K0V, spotify:artist:00B4C1fdc424GTuuJZuyqb","Shazalakazoo, Killo Killo","spotify:album:0yQQT5HuXNtYBWG4kQFeTT","Karton City Boom","spotify:artist:4kLNR50wrWI1h9WPYg7K0V","Shazalakazoo","2011-11-04","https://i.scdn.co/image/ab67616d0000b2734b0ab74a810259cdcc9b8241","1","3","206400","https://p.scdn.co/mp3-preview/45c95e297156fc810562e0fe919a6901bfee0b13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","DECG71022003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7zGeoy0A1F7NU0wgI4mqoY","Andrew's Break","spotify:artist:2KyHX7CvFoSdXMmuazwuAe","AlgoRythmik","spotify:album:1NXXCKZkUy2yG4i2kkTY42","Show Breaks","spotify:artist:2KyHX7CvFoSdXMmuazwuAe","AlgoRythmik","2011-08-31","https://i.scdn.co/image/ab67616d0000b27349b3f404ee78cdb49959022e","1","1","218796","https://p.scdn.co/mp3-preview/7d6e0e046c35730f6eb0cc38bef6ce890793d50c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FR9Y81010001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0fEHUeKKmqWd3GGiG7hz0X","Doctor Foo - Smooth Version","spotify:artist:3qQgY6bwLUYIkxPWTaafHR","Parov Stelar Trio","spotify:album:75jW2vL0IQJRlCtnuxx5PL","The Invisible Girl","spotify:artist:3qQgY6bwLUYIkxPWTaafHR","Parov Stelar Trio","2013-03-22","https://i.scdn.co/image/ab67616d0000b2738e3a164e8131a58a31c5535c","1","8","185840","https://p.scdn.co/mp3-preview/54b1ac66061252e06cc2f24b2ca59893bcf76b41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ATE611300010","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4sGTEtCCf43jR5QtvYY2Yf","La Revedere","spotify:artist:16LvTqpD4wlfFb4EBcW0x3, spotify:artist:2vMBszTQ5H66LhDEM3mSvl","[dunkelbunt], Amsterdam Klezmer Band","spotify:album:5yOdpBaqNL30wYZNaAa9bI","Morgenlandfahrt","spotify:artist:16LvTqpD4wlfFb4EBcW0x3","[dunkelbunt]","2007","https://i.scdn.co/image/ab67616d0000b2736e97b327f20346bf3123199f","1","2","256546","https://p.scdn.co/mp3-preview/7121db94dcf67d8baf01553d221f441e93eeb52e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","ATAH61513002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0EkF3BiQdvlzQW7VSq9NyF","Scratch Marchin'","spotify:artist:64FRiqIrUyWPvGb83fAYLn","Kormac","spotify:album:2yaySlHCikdoHpfK9SNLw5","Scratch Marchin'","spotify:artist:64FRiqIrUyWPvGb83fAYLn","Kormac","2007-03-27","https://i.scdn.co/image/ab67616d0000b273c06937333449cc1c3b3bb937","1","1","201692","https://p.scdn.co/mp3-preview/2e5de17b041fcd6850a0914bd89a86c51047da5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","IEBEY0700001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0Yqm9PMjkRAxGeSiQdQnsy","Dancin' Under the Stars","spotify:artist:431bzzMaBtSJwGLuXBE12P","RetroElectric Big Band","spotify:album:66wH9EFBiHX4Zhp4nnghXC","Electro Swing","spotify:artist:431bzzMaBtSJwGLuXBE12P","RetroElectric Big Band","2013-01-07","https://i.scdn.co/image/ab67616d0000b273650b8b960c05e143a4693113","1","1","116732","https://p.scdn.co/mp3-preview/153cafbd656793866181568ddc4a32a0a6e66689?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QMUJA1434783","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7EDeUuc172mcsW80ppO580","Tipsy Gypsy","spotify:artist:1L1NmKw07XgAnqsrpkcuC6, spotify:artist:7oJEEVTuuJgSgpxQAFiaR2","Paul J. Borg, Sandor Mihaly Jozsa","spotify:album:5VdZtfz1z6v1qWlqCU9j1E","Electro Swing (Original Soundtrack)","spotify:artist:1L1NmKw07XgAnqsrpkcuC6, spotify:artist:7oJEEVTuuJgSgpxQAFiaR2","Paul J. Borg, Sandor Mihaly Jozsa","2012-01-01","https://i.scdn.co/image/ab67616d0000b2734e5e35c64eba62c1dd1e2e17","1","1","132725","https://p.scdn.co/mp3-preview/046deb80ebf7c872a278bb11bf4dc2876dc62ee0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBFPN1227401","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4T7H7gYTl9RlGzTNl8PGBP","Wedding Song","spotify:artist:7srYnoskZP2OeiErBz333J","Boom Pam","spotify:album:2fuV4HZtglDu2V5VwkBD7l","Boom Pam","spotify:artist:7srYnoskZP2OeiErBz333J","Boom Pam","2006-10-31","https://i.scdn.co/image/ab67616d0000b273f18ac4eb060c1ba07e9e2c58","1","1","175546","https://p.scdn.co/mp3-preview/4d15bba383bf0ef430259d6bd9a8909a34de3d11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","DEAZ20500078","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3EDOByK76LrCcxIfNdyFAc","Tequila Gang Bang","spotify:artist:0WycP3Ewj1WlMgS7uCmDnO","OMFO","spotify:album:2xr0aULeuKMBFMakKtI0XD","We Are The Shepherds","spotify:artist:0WycP3Ewj1WlMgS7uCmDnO","OMFO","2006-11-17","https://i.scdn.co/image/ab67616d0000b2733028699ae5d846e41e6d372e","1","8","83320","https://p.scdn.co/mp3-preview/6a00bb65673b19fdb23efff1d8c0512d44c12735?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","DEAZ20500132","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ejUrxuNZlxET3wuoepkXa","Khelipe Cheasa","spotify:artist:45NfIph232CCNfn07NoSbs","Boban i Marko Markovic Orkestar","spotify:album:1w1BcVgQEOkWma7R7NhkFx","Devla","spotify:artist:45NfIph232CCNfn07NoSbs","Boban i Marko Markovic Orkestar","2009-10-02","https://i.scdn.co/image/ab67616d0000b273b41b411c4fd1ec0b0bdcfe01","1","2","225066","https://p.scdn.co/mp3-preview/214db13c0a4928361bebdff79d3c90b1cd324df9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","DEL120903902","spotify:user:","1970-01-01T00:00:00Z"
