"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3DE2xnbdTDuatFubUV0soe","Is This Love - Montmartre Remix","spotify:artist:2QsynagSdAqZj3U9HgDzjD, spotify:artist:4n3V7bHjjPqb11n7d0WAVo","Bob Marley & The Wailers, Montmartre","spotify:album:7Lr6wCyrlqkjgfrUhJpNBI","Is This Love (Montmartre Remix)","spotify:artist:2QsynagSdAqZj3U9HgDzjD","Bob Marley & The Wailers","2014-09-23","https://i.scdn.co/image/ab67616d0000b273bb43351e92b7bd0d121aa8fa","1","1","269403","https://p.scdn.co/mp3-preview/754cadcc2c12a1feea734e6ddfefe29f1d76c583?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUM71413693","spotify:user:jhsizemore","2016-02-23T03:53:33Z"
"spotify:track:5unHC6jRHjjMKTdlMyGMIY","I Really Love You","spotify:artist:03PCdNvkF81s7xHmtkNcoz","King Floyd","spotify:album:7Ezb6ruoLgHkUnDTPwo39u","Choice Cuts","spotify:artist:03PCdNvkF81s7xHmtkNcoz","King Floyd","1994","https://i.scdn.co/image/ab67616d0000b273b41e1a14d870da3019e59aac","1","3","188573","","false","0","USWR50428157","spotify:user:jhsizemore","2016-02-16T00:05:06Z"
"spotify:track:2BY7ALEWdloFHgQZG6VMLA","Brandy (You're a Fine Girl)","spotify:artist:5jJN1nmKXzRjodMl1THQeI","Looking Glass","spotify:album:5ThwnbpYrk9R1xXkAGCLIs","Looking Glass","spotify:artist:5jJN1nmKXzRjodMl1THQeI","Looking Glass","1972","https://i.scdn.co/image/ab67616d0000b2734c95b7cf28c3015c914218e4","1","2","186826","https://p.scdn.co/mp3-preview/1c98acdc8305d0ded66730803fcff1ba0d557c47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USSM10903222","spotify:user:jhsizemore","2020-04-04T00:46:35Z"
"spotify:track:3HeZam86SuxGp1wZ3XMIjE","She Said (Big Jet Plane)","spotify:artist:3HqP3nd8WI0VfHRhApPlan, spotify:artist:6DP0yD9AqeiK3V57URKt4W","Trinix, Queen D","spotify:album:06glmgu7XVm60LyphpYQxc","She Said (Big Jet Plane)","spotify:artist:3HqP3nd8WI0VfHRhApPlan, spotify:artist:6DP0yD9AqeiK3V57URKt4W","Trinix, Queen D","2021-07-23","https://i.scdn.co/image/ab67616d0000b2738f98a497e1c30b2dd678a450","1","1","173750","https://p.scdn.co/mp3-preview/2d7e22603dc87ae20119abbbe409afef042e65ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","FR1A92101694","spotify:user:jhsizemore","2022-10-18T23:43:04Z"
"spotify:track:6UZazv5fp22fX332TFHBvb","Hey Ya (feat. Strøm)","spotify:artist:3BETdCqKlraxPwjzH4JUIB, spotify:artist:0rJkPJgRSQtd4VCYb2Mvmw","Koni, Strom","spotify:album:0EznMr6bhdNHhxYchvafoW","Hey Ya (feat. Strøm)","spotify:artist:3BETdCqKlraxPwjzH4JUIB","Koni","2017-02-27","https://i.scdn.co/image/ab67616d0000b27385e6d83cb3a69bd4dc614509","1","1","261407","https://p.scdn.co/mp3-preview/8e8c2d66d0da5004d969a9190004f6bda9a4a069?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GB-SMU-33-95041","spotify:user:jhsizemore","2017-05-17T17:33:06Z"
"spotify:track:1aoooi4uB7t1xaFmNvr39K","Broken Wings","spotify:artist:2S0tj8IQ2ytFKa5HdCni57, spotify:artist:7pKlS8U7Bi4QEYmPEazFyN, spotify:artist:13eBZgrtCxy13v68lYjcMm","Simon Field, Jamie, Aleksander Walmann","spotify:album:7tDzMgvc3NPwPBrSGI2neD","Broken Wings","spotify:artist:2S0tj8IQ2ytFKa5HdCni57, spotify:artist:7pKlS8U7Bi4QEYmPEazFyN","Simon Field, Jamie","2016-04-01","https://i.scdn.co/image/ab67616d0000b273a0d6f08d806d0498a009d6b8","1","1","218754","","false","0","NOUM71600418","spotify:user:jhsizemore","2021-08-07T00:07:45Z"
"spotify:track:5UHuuQGEgMbZrYnHjQG9ny","Take on Me - Kygo Remix","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE, spotify:artist:23fqKkggKUBHNkbKtXEls4","a-ha, Kygo","spotify:album:3R2Movau61LViutgG8JYtV","Take on Me (Kygo Remix)","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","2015-08-26","https://i.scdn.co/image/ab67616d0000b273abdc9483f6046d64623515bc","1","1","226666","https://p.scdn.co/mp3-preview/c33f1e415457edd99ee95bae265d2a761a2d24f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USRH11502698","spotify:user:jhsizemore","2016-07-27T20:40:26Z"
"spotify:track:5ofu1h1E6U5meL0SNpoS78","Summer Days","spotify:artist:7hOGhpa8RMSuDOWntGIAJt","A R I Z O N A","spotify:album:75XVzBAzOjwIqWYLTh29xz","COLD NIGHTS // SUMMER DAYS","spotify:artist:7hOGhpa8RMSuDOWntGIAJt","A R I Z O N A","2018-08-03","https://i.scdn.co/image/ab67616d0000b2732d7912dd2aec4b37f1db6509","1","2","219885","https://p.scdn.co/mp3-preview/46e227c1b220b677d0d11837e9a7b5a9ef392993?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USAT21804146","spotify:user:jhsizemore","2020-03-22T08:04:38Z"
"spotify:track:4Dvkj6JhhA12EX05fT7y2e","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","4","167303","https://p.scdn.co/mp3-preview/f0c2adc40766cd8c1ec3f2bc6e1cc293a77ba684?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","USSM12200612","spotify:user:jhsizemore","2022-07-25T19:15:48Z"
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/a986d9a9f6f8a384813ec4c4bc29ab6bf26715ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","96","USUM72206227","spotify:user:jhsizemore","2022-07-25T19:42:00Z"
