"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:46SwXRrM099b9Oqugpwaxa","Entrudo - Booka Shade Remix","spotify:artist:5RPzPJCg4ER1LzQkorZ31p, spotify:artist:2CKaDZ1Yo8YnWega9IeUzB","Worakls, Booka Shade","spotify:album:5COwPsSU5XZmd0iczT0tpM","Orchestra (Remixes)","spotify:artist:5RPzPJCg4ER1LzQkorZ31p","Worakls","2021-10-29","https://i.scdn.co/image/ab67616d0000b27384e0c44f1e2e0ecdd5b9fdc1","1","5","412500","https://p.scdn.co/mp3-preview/7347440d6dd25fa55605ae6fd30a23d32d9c5ea2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","FR6NC2110080","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:27BlVowSHhpLPtbEBpNGQY","Spacemodulation","spotify:artist:1TUyL6A6jprqDVEAJOZ29I","Flug 8","spotify:album:6A5Q4ruj4Y6AyFdMASxd9D","Spacemodulation","spotify:artist:1TUyL6A6jprqDVEAJOZ29I","Flug 8","2019-10-16","https://i.scdn.co/image/ab67616d0000b273f856e42ff1323c9c0a1cde9c","1","1","428160","https://p.scdn.co/mp3-preview/f51ecda6a1f1127c25a52409f1b71932bbe56aaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","UKF341900276","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:0vgIkHFK8wpogVc1XCi18F","Second Sun","spotify:artist:6sOEMfvCfHQ9dhSWyamXVb, spotify:artist:5tDjiBYUsTqzd0RkTZxK7u","Nils Hoffmann, Ben Böhmer","spotify:album:4J8Pj9kUO58eoafjZlHiLf","Second Sun","spotify:artist:6sOEMfvCfHQ9dhSWyamXVb, spotify:artist:5tDjiBYUsTqzd0RkTZxK7u","Nils Hoffmann, Ben Böhmer","2020-01-10","https://i.scdn.co/image/ab67616d0000b27374b72e0e4d633775b8628f60","1","1","224332","https://p.scdn.co/mp3-preview/9ac9114a36522e93041c3efd02891db207cf3901?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","DEBE71900583","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:4CTlENI5cxPQR57ZptMVMw","Hate: Love","spotify:artist:5SWLgQ6dVvJSNXWN4dMEC6","JUNIOR_C","spotify:album:2R3CmmMoY8XCfUYamJ7Xsg","Beloved","spotify:artist:5SWLgQ6dVvJSNXWN4dMEC6","JUNIOR_C","2019-08-02","https://i.scdn.co/image/ab67616d0000b27339d4137f8bf5eba2f4632172","1","2","485965","https://p.scdn.co/mp3-preview/a5ec00f4b065a679e5e872ffed8d9d070603b0c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","DEU671901429","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:5BIYQro4nYhTcTEfMLhZZB","Find You Again","spotify:artist:7uZckwZIIL89Paj8E1GEFO","Teho","spotify:album:64Z7e0YTTtoa7dRhpQb6kv","Infinity (Deluxe Edition)","spotify:artist:7uZckwZIIL89Paj8E1GEFO","Teho","2022-12-09","https://i.scdn.co/image/ab67616d0000b27378177be7b274a4d188b9b337","1","14","329032","https://p.scdn.co/mp3-preview/3ea9a11365d064a7b07b3bd70e23e22c6bf2d1ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","FR9W12233120","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:07AmaTawRy1r2mhUxwLcza","Everything","spotify:artist:2cqNGzW2l8dBChO4G2h8Oo","Oma Nata","spotify:album:0kNjmdZrTBxVP5FuyV5XFc","Everything","spotify:artist:2cqNGzW2l8dBChO4G2h8Oo","Oma Nata","2020-01-10","https://i.scdn.co/image/ab67616d0000b27336b8bf0153e0003ceb452ed3","1","1","382194","https://p.scdn.co/mp3-preview/ef7633917a766ee817a9c927eb2f049ea8f53ecd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","PT6DV1900033","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:41DRCJywCHC0QyCX71GO9G","Finding Atlantis","spotify:artist:6NOkAPWWK2Ay28xwJn7ick","Cook & Stans","spotify:album:0LFOKTsuw0YGnGSNUGBL5O","We're Back Chilling","spotify:artist:6NOkAPWWK2Ay28xwJn7ick","Cook & Stans","2020-05-15","https://i.scdn.co/image/ab67616d0000b273aa8ad2320d112ca87d06857c","1","1","267096","https://p.scdn.co/mp3-preview/5dcef5aeefe53d9b383fb070e09a09d86bd1a857?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBKPL1978540","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:1tdQXdkWEp1OreYbLqciFi","Petroleum - Fabio Vanore Remix","spotify:artist:2AFYG90qx36vqWXgGxhFWY, spotify:artist:19WfpuODWsvrlHGvZYkigs","Kris Davis, Fabio Vanore","spotify:album:0RzfoJA1VVeYENvFuXLsUq","Petroleum (Fabio Vanore Remix)","spotify:artist:2AFYG90qx36vqWXgGxhFWY, spotify:artist:19WfpuODWsvrlHGvZYkigs","Kris Davis, Fabio Vanore","2022-12-16","https://i.scdn.co/image/ab67616d0000b2734d5fd247c518741e93574fbe","1","1","544957","https://p.scdn.co/mp3-preview/5d811687ab7433e4cb999e18e2c6c4b93d377b74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","DEY472279461","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:3529YD03FoOJMRYBoQKwX2","Seige","spotify:artist:5vdjF79d5d2m12FOkJhxHB","Jeremy Olander","spotify:album:1KuP6R5M7dVYNJWbkhuo7M","Seige","spotify:artist:5vdjF79d5d2m12FOkJhxHB","Jeremy Olander","2021-04-09","https://i.scdn.co/image/ab67616d0000b2738d13f68553a9b4ac3bbc8904","1","1","433564","https://p.scdn.co/mp3-preview/18118b0d64f62b1cc992bae81121386896f2c4b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBJX32117006","spotify:user:","2023-01-13T13:30:00Z"
"spotify:track:7xqvXpA65hLxzcowyqcK5X","Aldebaran","spotify:artist:6BOSrPzlp4szI7Ac9k9erz","Green Lake Project","spotify:album:6EGqaNxFIlbeC27cLcNtVM","Thrust","spotify:artist:6BOSrPzlp4szI7Ac9k9erz","Green Lake Project","2022-12-09","https://i.scdn.co/image/ab67616d0000b27374ceb02a04d3fbc4bc05d0cd","1","10","389092","https://p.scdn.co/mp3-preview/7c778bb987f4d04f215dd0833f8b315811764e98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","DEU672201410","spotify:user:","2023-01-13T13:30:00Z"
