"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:34P7GzADn3f3SO54mI36bY","We're Not Gonna Take It - Remixed Album Version","spotify:artist:67ea9eGLXYMsO2eYQRui3w, spotify:artist:3eLgh6OisMjiR9tWPyZCp5, spotify:artist:1I8A3N4AgFS3geeMC8uh8I","The Who, Andy Macpherson, Jon Astley","spotify:album:4lzu0HmhbocnBCQQDHiL40","Tommy","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1969-05-23","https://i.scdn.co/image/ab67616d0000b27362b650ee09295efae22ec217","1","24","428333","","false","0","GBAKW0180349","spotify:user:rob.bednark","2019-08-24T01:25:58Z"
"spotify:track:5MzXADvQPvRbgiWv5EaZvO","I'm Free - Remixed Studio Version","spotify:artist:67ea9eGLXYMsO2eYQRui3w, spotify:artist:3eLgh6OisMjiR9tWPyZCp5, spotify:artist:1I8A3N4AgFS3geeMC8uh8I","The Who, Andy Macpherson, Jon Astley","spotify:album:4lzu0HmhbocnBCQQDHiL40","Tommy","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1969-05-23","https://i.scdn.co/image/ab67616d0000b27362b650ee09295efae22ec217","1","21","160160","","false","0","GBAKW0180343","spotify:user:rob.bednark","2019-08-24T01:26:08Z"
"spotify:track:3JgovhgXR3btKoTY8BnPAV","Overture - Remixed Album Version","spotify:artist:67ea9eGLXYMsO2eYQRui3w, spotify:artist:3eLgh6OisMjiR9tWPyZCp5, spotify:artist:1I8A3N4AgFS3geeMC8uh8I","The Who, Andy Macpherson, Jon Astley","spotify:album:4lzu0HmhbocnBCQQDHiL40","Tommy","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1969-05-23","https://i.scdn.co/image/ab67616d0000b27362b650ee09295efae22ec217","1","1","321160","","false","0","GBAKW0180321","spotify:user:rob.bednark","2019-08-24T01:26:24Z"
"spotify:track:36vslugwZaWqUyEk9q2SCV","Sally Simpson - Remixed Album Version","spotify:artist:67ea9eGLXYMsO2eYQRui3w, spotify:artist:3eLgh6OisMjiR9tWPyZCp5, spotify:artist:1I8A3N4AgFS3geeMC8uh8I","The Who, Andy Macpherson, Jon Astley","spotify:album:4lzu0HmhbocnBCQQDHiL40","Tommy","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1969-05-23","https://i.scdn.co/image/ab67616d0000b27362b650ee09295efae22ec217","1","20","252106","","false","0","GBAKW0180341","spotify:user:rob.bednark","2019-08-26T17:42:06Z"
"spotify:track:7JEljRwQ5GzehuS4WIEisv","Sally Simpson - Live At Hull Version","spotify:artist:67ea9eGLXYMsO2eYQRui3w, spotify:artist:3eLgh6OisMjiR9tWPyZCp5, spotify:artist:1I8A3N4AgFS3geeMC8uh8I","The Who, Andy Macpherson, Jon Astley","spotify:album:3R7S0I6hru87Bb5S6ZUuTe","Live At Hull","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","2012-11-19","https://i.scdn.co/image/ab67616d0000b273449e192ae4bdd7911aec2c77","2","17","248306","https://p.scdn.co/mp3-preview/ee4d6b07b2c72936b886a63e3fcd4dc2df0983fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","GBUM71026310","spotify:user:rob.bednark","2019-08-26T17:42:22Z"
"spotify:track:0h0djSCKHH3YkyjyYS5kkk","Sally Simpson - Live U.S. Tour/1989","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","spotify:album:1OBeZfgv0rhHAMJyZTOCEV","Join Together (Live U.S. Tour/1989)","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1990-01-01","https://i.scdn.co/image/ab67616d0000b2737cf9d99dae319062d7c22a8e","1","18","258426","https://p.scdn.co/mp3-preview/6b9af93981594018f529f2c33e16971d14307468?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USMC18731284","spotify:user:rob.bednark","2019-08-26T17:42:40Z"
"spotify:track:6ZXyBPLDIaFItvSVKasOUr","Sally Simpson - 40th Anniversary Version - Live At Leeds","spotify:artist:67ea9eGLXYMsO2eYQRui3w, spotify:artist:3eLgh6OisMjiR9tWPyZCp5, spotify:artist:1I8A3N4AgFS3geeMC8uh8I","The Who, Andy Macpherson, Jon Astley","spotify:album:3eaxITYWOkO1e9Hjqjj80o","Live At Leeds (2010 Super Deluxe Edition)","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1970-05-16","https://i.scdn.co/image/ab67616d0000b273538d71112bc490644c475486","2","17","240546","https://p.scdn.co/mp3-preview/f63bb26101cf7e4c891099d493970999d3eec0fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GBUM71028402","spotify:user:rob.bednark","2019-08-26T17:42:50Z"
"spotify:track:2Fss0PkAMIfuu0TJtCzBDD","Sally Simpson - Live","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","spotify:album:3ZesvjQIvTxjOTiYu3xmUb","Tommy Live At The Royal Albert Hall","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","2017-09-15","https://i.scdn.co/image/ab67616d0000b27327da883239a71bf712062a8e","1","21","258573","https://p.scdn.co/mp3-preview/4e0567c5b495d38d4020848b45d89e1449b58c2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","GBCBR1700175","spotify:user:rob.bednark","2019-08-26T17:42:59Z"
"spotify:track:1lZD4bW0ttt10jAtDmJ2E6","Pinball Wizard - Remixed Studio Version","spotify:artist:67ea9eGLXYMsO2eYQRui3w, spotify:artist:3eLgh6OisMjiR9tWPyZCp5, spotify:artist:1I8A3N4AgFS3geeMC8uh8I","The Who, Andy Macpherson, Jon Astley","spotify:album:4lzu0HmhbocnBCQQDHiL40","Tommy","spotify:artist:67ea9eGLXYMsO2eYQRui3w","The Who","1969-05-23","https://i.scdn.co/image/ab67616d0000b27362b650ee09295efae22ec217","1","13","181666","","false","0","GBAKW0180333","spotify:user:rob.bednark","2019-08-28T23:04:39Z"
"spotify:track:6CJCCb9ookMMDQNz1Rrtii","Pinball Wizard","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:2R5dzEQT6MDsnwiZSpWgqC","Caribou","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1974-06-28","https://i.scdn.co/image/ab67616d0000b27368f5959744717483eed212b2","1","11","309106","https://p.scdn.co/mp3-preview/de22d966b572856ba1b42dc2cb433c064b503963?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBAKW7501037","spotify:user:rob.bednark","2019-08-28T23:04:46Z"
