"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","spotify:album:61ulfFSmmxMhc2wCdmdMkN","Merry Christmas","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey","1994-10-28","https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f","1","2","241106","https://p.scdn.co/mp3-preview/0d3f660241b04b1e95ae43decced213696114ad0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","96","USSM19400325","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:2EjXfH91m7f8HiJN1yQg97","Rockin' Around The Christmas Tree","spotify:artist:4cPHsZM98sKzmV26wlwD2W","Brenda Lee","spotify:album:34wa3zf2prXFMk47t9zHFG","Merry Christmas From Brenda Lee","spotify:artist:4cPHsZM98sKzmV26wlwD2W","Brenda Lee","1964-10-19","https://i.scdn.co/image/ab67616d0000b2737845f74d6db14b400fa61cd3","1","1","126266","https://p.scdn.co/mp3-preview/5609205e8d96a50bc5edfcf59d44015484813516?cid=9950ac751e34487dbbe027c4fd7f8e99","false","94","USMC15848998","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:7vQbuQcyTflfCIOu3Uzzya","Jingle Bell Rock","spotify:artist:38EmEgXkgK51MT2tPY0EoC","Bobby Helms","spotify:album:3wivyOdotHWZ9dcuXMjPKT","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)","spotify:artist:38EmEgXkgK51MT2tPY0EoC","Bobby Helms","1957-12-02","https://i.scdn.co/image/ab67616d0000b273fd56f3c7a294f5cfe51c7b17","1","1","130973","https://p.scdn.co/mp3-preview/f16704a33621f38bc8dde5af7cad38397292e258?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","USMC15746480","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:77khP2fIVhSW23NwxrRluh","A Holly Jolly Christmas","spotify:artist:0MHgLfmQdutffmvWe5XBTN","Burl Ives","spotify:album:6MvKUOSuPdfH0WLeQjR3eR","Have A Holly Jolly Christmas","spotify:artist:0MHgLfmQdutffmvWe5XBTN","Burl Ives","1965-10-01","https://i.scdn.co/image/ab67616d0000b273efe2a536761d4f8e8401ae62","1","1","135533","https://p.scdn.co/mp3-preview/7ee906b12a20ad523c613f3ac9521ad0505084be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USMC16414508","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:2FRnf9qhLbvw8fu4IBXx78","Last Christmas","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","spotify:album:6egzU9NKfora01qaNbvwfZ","LAST CHRISTMAS","spotify:artist:5lpH0xAS4fVfLkACg9DAuM","Wham!","1984-11-29","https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d","1","1","262960","https://p.scdn.co/mp3-preview/e0977ffe721d032577fa5ae8a82ee79540c26970?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","GBBBM8400019","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:5hslUAKq9I9CG2bAulFkHN","It's the Most Wonderful Time of the Year","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:4dcJHxlOJwtyypL7sx1qch","The Andy Williams Christmas Album","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","1963-11-24","https://i.scdn.co/image/ab67616d0000b27398073965947f92f1641b8356","1","4","151933","https://p.scdn.co/mp3-preview/75599af0839478f9d8e68ee63b766f6e193159b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USSM16300086","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:3OHfY25tqY28d16oZczHc8","Kill Bill","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:07w0rG5TETcyihsEIZR3qG","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-09","https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1","1","2","153946","https://p.scdn.co/mp3-preview/42599e688eddd47195e5dfbf3294b487ebffe5a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","97","USRC12204584","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:0oPdaY4dXtc3ZsaG17V972","Feliz Navidad","spotify:artist:7K78lVZ8XzkjfRSI7570FF","José Feliciano","spotify:album:3No96PtEFyRfX1oELmZTPu","Feliz Navidad","spotify:artist:7K78lVZ8XzkjfRSI7570FF","José Feliciano","2002-09-24","https://i.scdn.co/image/ab67616d0000b273c8ac560f803bba4902f8bbc5","1","1","182066","https://p.scdn.co/mp3-preview/837778dd609e1b063c4d64c6cd098905edeb4277?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USRC17002573","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:02Zkkf2zMkwRGQjZ7T4p8f","Anti-Hero","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:3lS1y25WAhcqJDATJK70Mq","Midnights (3am Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-22","https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0","1","3","200690","https://p.scdn.co/mp3-preview/143b8fc4b793857bd9332773318f28a530c2b05c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUG12205736","spotify:user:billboard.com","2022-12-31T13:47:42Z"
"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Unholy (feat. Kim Petras)","spotify:artist:2wY79sveU1sp5g7SokKOiI, spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J","Sam Smith, Kim Petras","spotify:album:0gX9tkL5njRax8ymWcXARi","Unholy (feat. Kim Petras)","spotify:artist:2wY79sveU1sp5g7SokKOiI, spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J","Sam Smith, Kim Petras","2022-09-22","https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4","1","1","156943","https://p.scdn.co/mp3-preview/32438952b8c16f0cd11c6ec82531cfcb568d5103?cid=9950ac751e34487dbbe027c4fd7f8e99","false","100","GBUM72205415","spotify:user:billboard.com","2022-12-31T13:47:42Z"
