"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+33+Salty+Dog+%5Bvocal%5D:30","p. 33 Salty Dog [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","30000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+34+Dark+Hollow+%5Bvocal%5D:55","p. 34 Dark Hollow [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","55000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+36+Little+Maggie+%5Bvocal%5D:50","p. 36 Little Maggie [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","50000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+38+All+the+Good+Times+Are+Past+and+Gone+%5Bvocal%5D:44","p. 38 All the Good Times Are Past and Gone [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","44000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+40+Nine+Pound+Hammer+%5Bvocal%5D:51","p. 40 Nine Pound Hammer [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","51000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+42+Pretty+Polly+%5Bvocal%5D:41","p. 42 Pretty Polly [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","41000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+43+Sitting+on+Top+of+the+World+%5Bvocal%5D:53","p. 43 Sitting on Top of the World [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","53000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+44+Will+the+Circle+Be+Unbroken+%5Bvocal%5D:52","p. 44 Will the Circle Be Unbroken [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","52000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+46+Live+and+Let+Live+%5Bvocal%5D:55","p. 46 Live and Let Live [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","55000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+48+Roll+in+My+Sweet+Baby%27s+Arms+%5Bvocal%5D:54","p. 48 Roll in My Sweet Baby's Arms [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","54000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+52+Footprints+in+the+Snow+%5Bvocal%5D:92","p. 52 Footprints in the Snow [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","92000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Glaser:BlueGrass+Fiddle:p.+54+John+Henry+%5Bvocal%5D:61","p. 54 John Henry [vocal]","","Matt Glaser","","BlueGrass Fiddle","","","","","0","0","61000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
