"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0SQpBYPpKJ4I0mXxjQQU5Q","Sonny Boy's Harmonica Blues","spotify:artist:69VgCcXFV59QuQWEXSTxfK","Sonny Boy Williamson II","spotify:album:1TtyCaIlaY2LzuVJ7CnlCo","American Folk Blues Festival '63","spotify:artist:5qzEQbDnitazH5nAyxxioo","American Folk Blues Festival '63","1963","https://i.scdn.co/image/ab67616d0000b27360a4efbae9c93dfde4f3cae1","1","8","189733","","false","0","DER388100008","spotify:user:","2011-05-17T19:22:11Z"
"spotify:track:5MPMI12BWBx23OuKz2WXB0","Blues Bend Boogie [Remastered]","spotify:artist:3OLp4KhWh6toFAwiPWxbxX","Greg Zlap","spotify:album:5bGFPiIZriVWE8dyYUpbdW","Harmonica Madness (2 CD Box Set) [Remastered]","spotify:artist:3OLp4KhWh6toFAwiPWxbxX","Greg Zlap","2008-09-29","https://i.scdn.co/image/ab67616d0000b273fa2f7280d1d38cd60d5cd23f","1","10","145640","https://p.scdn.co/mp3-preview/29dd74ae4a7a6d17c4ff869e79627dc39b64c4c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","FR6V90800310","spotify:user:","2011-05-21T11:54:50Z"
"spotify:track:7vsJLJHAYHRmovTbRTgRFx","Diggin' My Potatoes","spotify:artist:3qXzj7WzBV3kwy1yEV1RcC, spotify:artist:66hQFpsfaFzK8UbsQofCGv","Brownie McGhee, Sonny Terry","spotify:album:5lDFjfrldTB4HSFWkDYUBw","Wizard Of The Harmonica","spotify:artist:66hQFpsfaFzK8UbsQofCGv","Sonny Terry","1991","https://i.scdn.co/image/ab67616d0000b273054b484ba70068f29cf5011b","1","1","217226","https://p.scdn.co/mp3-preview/625f338485b507c060c1d3b4fc5fcc09be543e68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","DKEFA0504601","spotify:user:","2011-05-21T11:56:27Z"
"spotify:track:2mnYjyUdQ3JzhaRGuAD5ib","Blues Harp Shuffle","spotify:artist:7ApWhtmpJkPyd5WjwDdDfX","Big Walter Horton","spotify:album:0YoHVaIjacfhNndtp5fPiI","Lost Blues Tapes / More American Folk Blues Festival 1963-65","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992","https://i.scdn.co/image/ab67616d0000b273aa0c54a2c1a70391b5b41bf0","1","21","207000","","false","0","DEA896400002","spotify:user:","2011-07-01T12:33:52Z"
"spotify:track:4TY0jef8GcIv2SucefOfv7","Act Like You Love Me (feat. Kim Wilson)","spotify:artist:1DYSLbR52sg4NH729nTmWa, spotify:artist:77UQRtaUFQsLPkd9EeXMsv, spotify:artist:7ELc2aEjdrdZKfkRvJQyff, spotify:artist:2OTTHs1XuYtuIUpnYcxP6i, spotify:artist:3LkeAX21Tyb0t1CCAP5aq3","Big Pete, Rusty Zinn, Alex Schultz, Jimi Bott, Kim Wilson","spotify:album:1CzdYTuVdLgdFm7UjWdp4z","Choice Cuts","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-10-18","https://i.scdn.co/image/ab67616d0000b2733eba21d9422d5da08e15d088","1","3","195640","https://p.scdn.co/mp3-preview/434c40a6412918fa2916c904d56a0f5b1388af76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","US3H81100819","spotify:user:","2012-06-16T18:33:07Z"
"spotify:track:39J8iiCufORAFlLt6Fqt69","You're So Fine","spotify:artist:22JuR9OeENcP54XN5TlNWS","Little Walter","spotify:album:2ODFau4uBqoRNnZRGkcVKO","Gonna Be Alright","spotify:artist:22JuR9OeENcP54XN5TlNWS","Little Walter","2011-04-26","https://i.scdn.co/image/ab67616d0000b27395c07ddc81f0f035669ace4d","1","1","185973","","false","16","SEWDL6000195","spotify:user:","2011-07-01T12:46:26Z"
"spotify:track:0reXR4LnjbkmgJu5gNcF6t","Help Me","spotify:artist:69VgCcXFV59QuQWEXSTxfK","Sonny Boy Williamson II","spotify:album:3zDQRzZI2ZbCTGU7pYABj5","His Best","spotify:artist:69VgCcXFV59QuQWEXSTxfK","Sonny Boy Williamson II","1997-01-01","https://i.scdn.co/image/ab67616d0000b273b48699b4880e280f8af0a856","1","17","191840","","false","0","USMC16312115","spotify:user:","2011-07-01T12:48:01Z"
"spotify:track:0vj3ZpJLqcPWWiEBwarqKV","Hoochie Coochie Man","spotify:artist:4y6J8jwRAwO4dssiSmN91R","Muddy Waters","spotify:album:4yZtQuvtjKFhtf3w9hPd28","200 Blues Classics","spotify:artist:2ydd7HCXXERgI6n5NujuU1","Blues","2011-04-12","https://i.scdn.co/image/ab67616d0000b2736a13cdbbe7b61a71f9e51711","1","11","171693","","false","0","FR0W61129222","spotify:user:","2011-07-01T12:49:29Z"
"spotify:track:7e47lQGrs5nkOhmgTcsexH","Down Home Blues","spotify:artist:6mY93oNfUaUwZq67yn3R8k, spotify:artist:78CBFzwo7wwNaaTYVP5btK, spotify:artist:7wcrtrCODZkNbpq1ZYABxs, spotify:artist:5cUazMvxcAPELFif0BGn2t","James Cotton, Junior Wells, Carey Bell, Billy Branch","spotify:album:4D9f8FPtDm14mMQAUL0q9z","Harp Attack!","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1990","https://i.scdn.co/image/ab67616d0000b273865f207be4f1643423e1a278","1","1","383933","","false","0","USARL9079001","spotify:user:","2011-09-21T10:01:13Z"
"spotify:track:2vtDgTMuhOFneC4dQvDjZ1","Just A Dream","spotify:artist:3LkeAX21Tyb0t1CCAP5aq3, spotify:artist:4TmvpMN98QMdBFOVxjCo5n, spotify:artist:6bY00PLfv1bngY6hDZsPFw, spotify:artist:7qmsY8ZFc2qJbHlhQme8yS, spotify:artist:32qfaqoIWaTfSvQdX8OKvg, spotify:artist:6tThEAJKUsHlj0ALfRObEP, spotify:artist:53jUBSXe4fqdmJWmu2VQPi, spotify:artist:1OEPxfmi2u9XdpH7zkJhki","Kim Wilson, Charles Wheal, Gary Smith, Jr. Watson, June Care, Mark Hummel, R.J. Mischo, Steve Wolf","spotify:album:3Asij3vsMCp7cF5YEc9Wlo","Blues Harp Meltdown","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2006-08-15","https://i.scdn.co/image/ab67616d0000b2730d6753e844f573899929464d","2","16","349746","https://p.scdn.co/mp3-preview/f3eacc287c3279d548b0d54c306023bc698ec224?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USFDK0610292","spotify:user:","2011-09-21T10:14:11Z"
