"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2dJTSO5t3uZiLem40nnjfN","Jolene","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:5mVEtOa0CmXH5nCivFoa4x","Together Through Life","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","2009-04-28","https://i.scdn.co/image/ab67616d0000b2739c239fa8f7d68820aff40309","1","6","230280","https://p.scdn.co/mp3-preview/8e3c5727fc33a720fa96e6334aae7bac205fd17b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USSM10901783","spotify:user:rob.bednark","2019-05-07T22:25:11Z"
"spotify:track:6HGkdCSj8ThQkwKbDm2wTR","Shake Shake Mama","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:5mVEtOa0CmXH5nCivFoa4x","Together Through Life","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","2009-04-28","https://i.scdn.co/image/ab67616d0000b2739c239fa8f7d68820aff40309","1","8","216853","https://p.scdn.co/mp3-preview/71dcf67ec2f0b80020e18bbc3d6989c723dbbc37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USSM10901781","spotify:user:rob.bednark","2019-05-07T22:25:37Z"
"spotify:track:01RpOO0qxTsn2eFtyu1N34","Rollin' and Tumblin'","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:6y2WHyqRUCeHrjMXvjnRmD","Modern Times","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","2006-08-29","https://i.scdn.co/image/ab67616d0000b2736996cd6e6a1423a0c047cbcc","1","3","361546","https://p.scdn.co/mp3-preview/8380618f7728c4c9680cf3a3ae06438a80debdf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USSM10603298","spotify:user:rob.bednark","2019-05-07T22:25:59Z"
"spotify:track:5xNE6bGRS65lxMEBIl6xbT","Dirt Road Blues","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:185DHT5SvszXRrezx3lOjt","Time Out Of Mind","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1997-09-30","https://i.scdn.co/image/ab67616d0000b273fa4240ed863bbd8bec6e9c34","1","2","214800","https://p.scdn.co/mp3-preview/c7c43a9d0cd5b7ee707c02b10d4212e8d4b39adb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USSM19701395","spotify:user:rob.bednark","2019-05-07T22:28:26Z"
"spotify:track:4hIzUNbS7khuw9BvKyvGTo","Ragged & Dirty","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:6lfZX6OFJRxRcODaxwSRL5","World Gone Wrong","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1993-10-26","https://i.scdn.co/image/ab67616d0000b2739f4078d50693fb1fd6506a45","1","3","247013","https://p.scdn.co/mp3-preview/e11f000876d14da790b15ae0f1a434d586ccffae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USSM11304676","spotify:user:rob.bednark","2019-05-07T22:29:36Z"
"spotify:track:6cmlHdKX8JEbQTOZXAyCNO","One More Cup of Coffee (Valley Below) - Seacrest Motel Rehearsals","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:25V6yb9yRh3QMpXlf0F3i7","One More Cup of Coffee (Valley Below) [Seacrest Motel Rehearsals]","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","2019-04-30","https://i.scdn.co/image/ab67616d0000b27372313034f5b15a77ffaeb0b4","1","1","256373","","false","0","USSM11900460","spotify:user:rob.bednark","2019-05-07T22:30:03Z"
"spotify:track:5kKW4bszhKSCYVPDO0sMbX","Duquesne Whistle","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:3LnS0XKSzd2TFoagESGUw3","Tempest","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","2012-09-10","https://i.scdn.co/image/ab67616d0000b27310e67dc9176f50e7a41748c6","1","1","343680","https://p.scdn.co/mp3-preview/31faf89a0c1e088d2c4702f29a8236507382a9c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USSM11204451","spotify:user:rob.bednark","2019-05-07T23:09:34Z"
"spotify:track:1UCIrq3uG9b0BhThIiCd3F","Roll on John","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:3LnS0XKSzd2TFoagESGUw3","Tempest","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","2012-09-10","https://i.scdn.co/image/ab67616d0000b27310e67dc9176f50e7a41748c6","1","10","445640","https://p.scdn.co/mp3-preview/b93fef2a4be8f6936b1d3d94046bb609892e4c79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USSM11204460","spotify:user:rob.bednark","2019-05-07T23:09:46Z"
"spotify:track:6jegsiFyEOCmz1SLNl53a8","Early Roman Kings","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:3LnS0XKSzd2TFoagESGUw3","Tempest","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","2012-09-10","https://i.scdn.co/image/ab67616d0000b27310e67dc9176f50e7a41748c6","1","7","314053","https://p.scdn.co/mp3-preview/5d98ccb87024750f0aa5677c859d65af2a155e10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","USSM11204457","spotify:user:rob.bednark","2019-05-07T23:09:55Z"
"spotify:track:5tprHASjzXCxTFS7UHIOEr","Soon After Midnight","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:3LnS0XKSzd2TFoagESGUw3","Tempest","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","2012-09-10","https://i.scdn.co/image/ab67616d0000b27310e67dc9176f50e7a41748c6","1","2","207893","https://p.scdn.co/mp3-preview/b6d584f5430e9c280e6e7b2f9aec70525c9581d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USSM11204452","spotify:user:rob.bednark","2019-05-07T23:10:03Z"
