"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0g2ADSU1wrVcXMiVxZDr64","Giovanna","spotify:artist:2cdKFhW4GFgj5KRbMHN2Ii","Bob Haring and His Orchestra","spotify:album:2VV8UHt5qoWCZ504QmqYlm","We Love Vintage Music, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-11-22","https://i.scdn.co/image/ab67616d0000b273ce879a3ecd4974a6ae04d066","1","12","181057","https://p.scdn.co/mp3-preview/7893c241d47b9ab0c5e971ab1cb49afe20357677?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ATR981276601","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:18w92chtedbdchN9unstaC","Brotherly Love","spotify:artist:6dpBuQU6XAlph0tVtZ85th","The Charleston Chasers","spotify:album:3ZWUqehaq0Z150w02VP1o4","Just Imagine","spotify:artist:6dpBuQU6XAlph0tVtZ85th","The Charleston Chasers","2013","https://i.scdn.co/image/ab67616d0000b2737160132c6a84baedcc607332","1","19","155920","https://p.scdn.co/mp3-preview/df9361fea9e4d46e4cfff02dfbef4061426d1964?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GBBAD0900268","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2GzcF2yzPbho8JHQzkPL90","Yes She Do (No She Doesn't)","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","spotify:album:4YUK7tayeaHbrsRYDxxIkJ","Roaring Twenties","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","2020-10-29","https://i.scdn.co/image/ab67616d0000b273b56486825c37e695fadbe5f1","1","15","163133","https://p.scdn.co/mp3-preview/ddd672a1097fa8540e3dda303682f0307a1a98f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","AUXN22094322","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5DxwmRPXWVT9Nkl4R7iF3P","You Brought a New Kind of Love to Me","spotify:artist:3vkvHZKlekG3aHfSyfkxe2","Billy Cotton","spotify:album:1q9ERUFulbkKiDSqT5p791","My Southern Home (1928-1931)","spotify:artist:3vkvHZKlekG3aHfSyfkxe2","Billy Cotton","2010-11-27","https://i.scdn.co/image/ab67616d0000b2736ed21f5a66d71ea1a34ad72a","1","5","201520","https://p.scdn.co/mp3-preview/0b77999e891207d17e55a7a90dfeffe3e5e8f6a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","DEBL60856907","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0woE0dUaUbPbGtqFYDJ6G2","Washin' the Blues from My Soul","spotify:artist:46Zxq2wQhRKm3AUKKbGzC0","Russell Brown And His Orchestra","spotify:album:7AYzb6p5PBI2EczuO6xqHV","The Big Broadcast, Vol. 3: Jazz and Popular Music of the 1920s and 1930s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007","https://i.scdn.co/image/ab67616d0000b273c2f98c62d1623090dcc9b295","1","8","186120","https://p.scdn.co/mp3-preview/7597fe9c740b3dd5efda8f42c724d26dbfe9679a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","US6R21320857","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2wgr0FjaTUQ9WtFY20G4aV","I'm Just a Vagabond Lover","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","spotify:album:72D92rj4IxU6GkTngqMh8z","I'm Just a Vagabond Lover (1929 - 1931)","spotify:artist:0rEBOEWe1XZ9M1tKAOjvbj","Rudy Vallee and His Connecticut Yankees","2012","https://i.scdn.co/image/ab67616d0000b273550815dbf8e6c0c4e121d6f3","1","1","198840","https://p.scdn.co/mp3-preview/2fcd3231010f54588c5b15f500f6b2195772fe84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","DEBL61298683","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:56Vo5xVJ8dK8VCUeZRh4jK","Kater Street Rag","spotify:artist:3xAhVQy6rxezeQvrUVrN9k","Bennie Moten's Kansas City Orchestra","spotify:album:2xcL5HK8HkI8AWClblqCMs","The Best of Bennie Moten's Kansas City Orchestra","spotify:artist:3xAhVQy6rxezeQvrUVrN9k","Bennie Moten's Kansas City Orchestra","2014-07-11","https://i.scdn.co/image/ab67616d0000b2735a3e8646aa3313f51bcede56","1","6","156081","https://p.scdn.co/mp3-preview/c67ec9e59125080bfb5106e3bbc7f8335fcc9a3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","USJ3V1301560","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2qFqAmhOKhwZurx7VJriR4","Crazy Words - Crazy Tune (Vo-Do-De-O)","spotify:artist:0wu8tyvMCOGjBM72P3zd9w","Irving Aaronson and His Commanders","spotify:album:2Zigm3Eq6THFWI12aowawx","Let's Misbehave: 1926-1928","spotify:artist:0wu8tyvMCOGjBM72P3zd9w","Irving Aaronson and His Commanders","2011","https://i.scdn.co/image/ab67616d0000b273a063b235c1ca9ddf5ad0ace4","1","22","170973","https://p.scdn.co/mp3-preview/943ff4dfc6d0b98a9c973644d252901f61cbafc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","USV351326114","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5qfuMfQRv3jHMmOGrTRncy","Vo-Do-Do-De-O Blues","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","spotify:album:4YUK7tayeaHbrsRYDxxIkJ","Roaring Twenties","spotify:artist:58QmjBTIOwXVHD2oWzNkQF","California Ramblers","2020-10-29","https://i.scdn.co/image/ab67616d0000b273b56486825c37e695fadbe5f1","1","17","190960","https://p.scdn.co/mp3-preview/40819340b7e66a05d2f5926ae49110356268143b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","AUXN22094324","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0RhPa3VypZRq2usy9Zpri8","When the Saints","spotify:artist:6dpBuQU6XAlph0tVtZ85th","The Charleston Chasers","spotify:album:3ZWUqehaq0Z150w02VP1o4","Just Imagine","spotify:artist:6dpBuQU6XAlph0tVtZ85th","The Charleston Chasers","2013","https://i.scdn.co/image/ab67616d0000b2737160132c6a84baedcc607332","1","7","165546","https://p.scdn.co/mp3-preview/aa09eed7d50bdb97121283d5e7ee2bf8843022c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","GBBAD0900256","spotify:user:","1970-01-01T00:00:00Z"
