"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1syEcdkRqqRFnhrHeA1zFb","Can't Help Falling in Love","spotify:artist:4S4flqSBJsefHltJ4wZXEZ","Leandro Amor Trio","spotify:album:7BPyCsw6Aj8iieaIYi9tNx","Can't Help Falling in Love","spotify:artist:4S4flqSBJsefHltJ4wZXEZ","Leandro Amor Trio","2022-09-16","https://i.scdn.co/image/ab67616d0000b2730c547baad40fcea68daa738c","1","1","255251","https://p.scdn.co/mp3-preview/e647712986bced4d18d6842630338921f0e79d67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","SEXGF2201689","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:7DH2me3WEWpTNcPqeq6I8w","Foz Do Iguaçu","spotify:artist:4oOtPyWe8TK5mn4gKJDNse","da Suécia","spotify:album:0hlEiLyA2RkFQhTkPu33AW","Foz Do Iguaçu","spotify:artist:4oOtPyWe8TK5mn4gKJDNse","da Suécia","2022-12-30","https://i.scdn.co/image/ab67616d0000b273b2af7eee6af135cc4efe2d8c","1","1","206822","https://p.scdn.co/mp3-preview/c3c5040411384338c1d0e53492c526573467383d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","SE5W32294649","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:7xPLrNKJ5fHIV4gm2MtMZK","A Little Brighter Every Day","spotify:artist:2YPncTc0Vj6Ofh2DDooAbM","Brandon's Three","spotify:album:46LYThMVZtZb45xNBQvqmp","A Little Brighter Every Day","spotify:artist:2YPncTc0Vj6Ofh2DDooAbM","Brandon's Three","2022-01-21","https://i.scdn.co/image/ab67616d0000b2734e2545408e334e6081ae791c","1","1","197500","https://p.scdn.co/mp3-preview/a2eb2af9992bb2ffb97235d7e19b58da9c1b1a5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SE5IB2202385","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:303q7nGbVGdxUvbhbEfHzS","River of Dreams","spotify:artist:6P9V4I7JlXTWt4llgXpiPO","Trio Del Norte","spotify:album:7IID5V4pzViAAal8scWxWA","River of Dreams","spotify:artist:6P9V4I7JlXTWt4llgXpiPO","Trio Del Norte","2022-10-09","https://i.scdn.co/image/ab67616d0000b273d345535cf2714f1fca7ef9ef","1","3","183082","https://p.scdn.co/mp3-preview/e1a26c17f91244096cbb28469c22ad994ba133ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZAKB2200924","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:5erlLgX315PcOtgu6OkWSd","Brisa","spotify:artist:6DcYlMfcRxVRZAdGU6fpOh","Red Room Rio Band","spotify:album:3FjlRaBMxQSeGuA0hIYCwN","Amalgama","spotify:artist:6DcYlMfcRxVRZAdGU6fpOh","Red Room Rio Band","2022-11-13","https://i.scdn.co/image/ab67616d0000b273896fd5e7c5645e1cfb258c25","1","1","384320","https://p.scdn.co/mp3-preview/228bcc86548189c4e2455950a22b9699ea6b11eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QZAKB2203542","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:6p2Qx196CPwdcxKE7eweKi","I Left My Heart in San Francisco","spotify:artist:4S4flqSBJsefHltJ4wZXEZ","Leandro Amor Trio","spotify:album:6ZagCmpNLdmAjSxVOmjLot","I Left My Heart in San Francisco","spotify:artist:4S4flqSBJsefHltJ4wZXEZ","Leandro Amor Trio","2023-01-13","https://i.scdn.co/image/ab67616d0000b273510cf25a973c664b92476e30","1","1","223755","https://p.scdn.co/mp3-preview/5070914ee1d77ba87da3615479ffa7283cc06ab6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","SEXGF2399021","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:4t1NtFuhpXCjdKFsNTfNdJ","Cosme Velho","spotify:artist:3NlkrQ9iKKw6VZlWr0lk0U","El Equipo Del Norte","spotify:album:1CiCakkArtq2iGnRBGcDv0","Cosme Velho","spotify:artist:3NlkrQ9iKKw6VZlWr0lk0U","El Equipo Del Norte","2022-04-01","https://i.scdn.co/image/ab67616d0000b273464af8813568e7e6f5d511a1","1","1","173943","https://p.scdn.co/mp3-preview/e2fea39420752328a876a11eaba8a653debd26eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","SE5Q52104580","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:2b5sr8aUAAoY7waDSB4KRX","Gentileza","spotify:artist:4GTpu88l1iZwuSyY2UXW70","Ximena & Antonio","spotify:album:13Nf9wlDHpcboyd0LM7px6","Gentileza","spotify:artist:4GTpu88l1iZwuSyY2UXW70","Ximena & Antonio","2021-05-19","https://i.scdn.co/image/ab67616d0000b27346dfc0c046926529a2ca1d89","1","1","265492","https://p.scdn.co/mp3-preview/b57106b3e745d669ba794d58e5ee69decbc569f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","SE5IB2115886","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:3ZNlFTP0ShxCtIUbCfFlNN","Woodblock Print","spotify:artist:257NeKIWsdypZxr0j4xnOs","Ennio Máno","spotify:album:76gYdoPvK3LjTarXj4WTWZ","Green Grapes","spotify:artist:257NeKIWsdypZxr0j4xnOs","Ennio Máno","2021-10-22","https://i.scdn.co/image/ab67616d0000b273d52c2b5d2d02b1a7cd717d39","1","2","224187","https://p.scdn.co/mp3-preview/e8343610b246e768d6b963024590c0fd754ae1d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","SE5Q52102725","spotify:user:","2023-01-12T23:00:00Z"
"spotify:track:07ZdqvJ37JIGrbybE2iVPZ","Pão de Açúcar","spotify:artist:3NlkrQ9iKKw6VZlWr0lk0U","El Equipo Del Norte","spotify:album:5qz7sVtLSdqQatSiYUpJWM","Pão de Açúcar","spotify:artist:3NlkrQ9iKKw6VZlWr0lk0U","El Equipo Del Norte","2021-11-26","https://i.scdn.co/image/ab67616d0000b273e75d70d7e6610a0141570234","1","1","222402","https://p.scdn.co/mp3-preview/591ffe9dbe7a290db4dfe418c6d926eaf31de9ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","SE5Q52102435","spotify:user:","2023-01-12T23:00:00Z"
