"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6QceSLhBYpKqaa2QwJggoG","Bach, JS: Brandenburg Concerto No. 1 in F Major, BWV 1046: I. —","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6XQ2DA18cvs4exdLMMneeU, spotify:artist:4GamZjZFOQyMp7LNx81GwZ, spotify:artist:4NebWlTAdBsWaDERnlJ5Si, spotify:artist:5nk1nhdloQ28s1EqsjR8yC, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Catherine Mackintosh, Paul Goodwin, Susan Dent, Timothy Brown, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","1","244840","https://p.scdn.co/mp3-preview/15112e732a5b375a5c70ac4d015169d8c8e7aa65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBAYC8801458","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:1Ynu8t0hylhDY98u5E2KFA","Bach, JS: Brandenburg Concerto No. 1 in F Major, BWV 1046: II. Adagio","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6XQ2DA18cvs4exdLMMneeU, spotify:artist:4GamZjZFOQyMp7LNx81GwZ, spotify:artist:4NebWlTAdBsWaDERnlJ5Si, spotify:artist:5nk1nhdloQ28s1EqsjR8yC, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Catherine Mackintosh, Paul Goodwin, Susan Dent, Timothy Brown, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","2","224333","https://p.scdn.co/mp3-preview/9745231528d4f9256a2ec55d3f8fd4a2172d89e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBAYC8801459","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:75RMtTAVUDs1EXWPGxIlCb","Bach, JS: Brandenburg Concerto No. 1 in F Major, BWV 1046: III. Allegro","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6XQ2DA18cvs4exdLMMneeU, spotify:artist:4GamZjZFOQyMp7LNx81GwZ, spotify:artist:4NebWlTAdBsWaDERnlJ5Si, spotify:artist:5nk1nhdloQ28s1EqsjR8yC, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Catherine Mackintosh, Paul Goodwin, Susan Dent, Timothy Brown, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","3","253640","https://p.scdn.co/mp3-preview/ad1ff89102ccc1ec37b140e1324360d4c1fcd6b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBAYC8801460","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:5rwEJLDMR5P6ZF6VVvb6rs","Bach, JS: Brandenburg Concerto No. 1 in F Major, BWV 1046: IV. Menuetto. Trio I - Polacca - Trio II","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6XQ2DA18cvs4exdLMMneeU, spotify:artist:5nk1nhdloQ28s1EqsjR8yC, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Catherine Mackintosh, Timothy Brown, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","4","455546","https://p.scdn.co/mp3-preview/54d769882518bfa32258fb3196134b280f8e6597?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBAYC8801461","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:3AKAAbFYypDMas1MV8Nhot","Bach, JS: Brandenburg Concerto No. 2 in F Major, BWV 1047: I. —","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:0EWX23pjbQ3h28fGpVCLjI, spotify:artist:4RPUH6UZQgQyfY9yaDVLts, spotify:artist:4GamZjZFOQyMp7LNx81GwZ, spotify:artist:4E2Rqf4KfXgR2aVt8FvIkh, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Mark Bennett, Rachel Beckett, Paul Goodwin, Monica Huggett, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","5","307200","https://p.scdn.co/mp3-preview/7ccb049465d92fce88e44e938c0e479d80b7324b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBAYC8801463","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:2sZ8mDYwKZS0mrYJMqbLJk","Bach, JS: Brandenburg Concerto No. 2 in F Major, BWV 1047: II. Andante","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:0EWX23pjbQ3h28fGpVCLjI, spotify:artist:4RPUH6UZQgQyfY9yaDVLts, spotify:artist:4GamZjZFOQyMp7LNx81GwZ, spotify:artist:4E2Rqf4KfXgR2aVt8FvIkh, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Mark Bennett, Rachel Beckett, Paul Goodwin, Monica Huggett, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","6","225093","https://p.scdn.co/mp3-preview/e152794dafa4c9b81e18d5410df81ba40e8a4bbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBAYC8801464","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:11uDsUa5ZHGKwmX27NDwao","Bach, JS: Brandenburg Concerto No. 2 in F Major, BWV 1047: III. Allegro assai","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:0EWX23pjbQ3h28fGpVCLjI, spotify:artist:4RPUH6UZQgQyfY9yaDVLts, spotify:artist:4GamZjZFOQyMp7LNx81GwZ, spotify:artist:4E2Rqf4KfXgR2aVt8FvIkh, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Mark Bennett, Rachel Beckett, Paul Goodwin, Monica Huggett, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","7","161040","https://p.scdn.co/mp3-preview/d8eca1a0b9d723758bc047f2275dd2bc39c47fe1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBAYC8801465","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:2X7LHd75d3EtQgsAiJi1S8","Bach, JS: Brandenburg Concerto No. 3 in G Major, BWV 1048: I. —","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:38NLW0tzumEuy20AwBhmNc, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Alison Bury, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","8","336586","https://p.scdn.co/mp3-preview/107e2aecbb4ed5565fce72dce8c4fcba36a96b9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBAYC8801467","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:2GyHR2txirrbIB3WPDXJ1n","Bach, JS: Brandenburg Concerto No. 3 in G Major, BWV 1048: II. Adagio & III. Allegro","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:38NLW0tzumEuy20AwBhmNc, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Alison Bury, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","1","9","293440","https://p.scdn.co/mp3-preview/dcbac010edfe6a2bef3461c615fed46c8f3297af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBAYC8801468","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
"spotify:track:0T6j5ynARlGdwhhPnhjuH4","Bach, JS: Brandenburg Concerto No. 4 in G Major, BWV 1049: I. Allegro","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:4E2Rqf4KfXgR2aVt8FvIkh, spotify:artist:4RPUH6UZQgQyfY9yaDVLts, spotify:artist:3xkIIPIBByX8eAcEEVyNO3, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Monica Huggett, Rachel Beckett, Marion Scott, Orchestra of the Age of Enlightenment","spotify:album:5jMYJmjUYMHvuWhJTjitaD","Bach: Brandenburg Concertos","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:1WWZAYN8d4n4iwjYALmmKB","Johann Sebastian Bach, Orchestra of the Age of Enlightenment","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e0c3fc1c4f41a43460422e6e","2","1","443626","https://p.scdn.co/mp3-preview/f423b0e670d4b8e5f23310d4049e2cff68a33a05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBAYC8801470","spotify:user:rob.bednark","2022-02-07T05:57:10Z"
