"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4uQvWFzzMHVFtYbB0T6FCP","The Great Adventure","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","spotify:album:3kHQTdzJ5JPqhDZGgfkinz","The Grand Specific","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","2016-02-18","https://i.scdn.co/image/ab67616d0000b2738a88638f8f206ddfe6f45bcd","1","1","395232","https://p.scdn.co/mp3-preview/b8f410b08177bd3dffbc5d847f7d841d692a0777?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UKH6M1600003","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:0DHYUhb8zgayIVskqZAycH","The Spaces in the Rain","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","spotify:album:3kHQTdzJ5JPqhDZGgfkinz","The Grand Specific","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","2016-02-18","https://i.scdn.co/image/ab67616d0000b2738a88638f8f206ddfe6f45bcd","1","2","237868","https://p.scdn.co/mp3-preview/14714625541ed851d83e79670b8d6e7dd59bbc18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UKH6M1600004","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:0E6blx1Bl33NqWgb3XyPMz","Blinded by Little-Known Colours","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","spotify:album:3kHQTdzJ5JPqhDZGgfkinz","The Grand Specific","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","2016-02-18","https://i.scdn.co/image/ab67616d0000b2738a88638f8f206ddfe6f45bcd","1","3","254529","https://p.scdn.co/mp3-preview/4c716c44c05b2da28a39aa3a94a437e63fa21ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UKH6M1600005","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:3ekL0i5GLvmcZF9Rksz1bj","Witness","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","spotify:album:3kHQTdzJ5JPqhDZGgfkinz","The Grand Specific","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","2016-02-18","https://i.scdn.co/image/ab67616d0000b2738a88638f8f206ddfe6f45bcd","1","4","274229","https://p.scdn.co/mp3-preview/b64e9dbeee9ab0c9b1159404ed1991f5241ddfb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UKH6M1600006","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:24DVWa6w6wK0ma7ZK4k8tC","Teenage Kicks","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","spotify:album:3kHQTdzJ5JPqhDZGgfkinz","The Grand Specific","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","2016-02-18","https://i.scdn.co/image/ab67616d0000b2738a88638f8f206ddfe6f45bcd","1","5","168228","https://p.scdn.co/mp3-preview/84a6c59ec91ff7e87c5d1f48775c825a0662e148?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UKH6M1600007","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:3WPqPEhjKGhvVlpg8SzUKS","Shipwreck Song","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","spotify:album:3kHQTdzJ5JPqhDZGgfkinz","The Grand Specific","spotify:artist:7aTRatxbJsh1Dr5xRvIWOO","Daniel Padden","2016-02-18","https://i.scdn.co/image/ab67616d0000b2738a88638f8f206ddfe6f45bcd","1","6","248358","https://p.scdn.co/mp3-preview/ae92a9511945f88fa2821ea27c2f98691e263e3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UKH6M1600008","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:6BQ2ylykFGSWo92BDtx3f1","Lay My Love","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5MWBg16f5UYiaSlyVhzlIW","Brian Eno, John Cale","spotify:album:4jZ7uVEnEifig2HJwG6gKe","Wrong Way Up","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5MWBg16f5UYiaSlyVhzlIW","Brian Eno, John Cale","1990","https://i.scdn.co/image/ab67616d0000b2734787da9ef66c77bc2529debe","1","1","284133","","false","0","USRY20517334","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:6OAJHueTjEKs5B1yOaD1lc","One Word","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5MWBg16f5UYiaSlyVhzlIW","Brian Eno, John Cale","spotify:album:4jZ7uVEnEifig2HJwG6gKe","Wrong Way Up","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5MWBg16f5UYiaSlyVhzlIW","Brian Eno, John Cale","1990","https://i.scdn.co/image/ab67616d0000b2734787da9ef66c77bc2529debe","1","2","274680","","false","0","USRY20517335","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:0KU4vmbdIIZZ21f2lwYuaE","In The Backroom","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5MWBg16f5UYiaSlyVhzlIW","Brian Eno, John Cale","spotify:album:4jZ7uVEnEifig2HJwG6gKe","Wrong Way Up","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5MWBg16f5UYiaSlyVhzlIW","Brian Eno, John Cale","1990","https://i.scdn.co/image/ab67616d0000b2734787da9ef66c77bc2529debe","1","3","242213","","false","0","USRY20517336","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
"spotify:track:7vHJlTV7Obct7hbLwxeaxQ","Empty Frame","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5MWBg16f5UYiaSlyVhzlIW","Brian Eno, John Cale","spotify:album:4jZ7uVEnEifig2HJwG6gKe","Wrong Way Up","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi, spotify:artist:5MWBg16f5UYiaSlyVhzlIW","Brian Eno, John Cale","1990","https://i.scdn.co/image/ab67616d0000b2734787da9ef66c77bc2529debe","1","4","266840","","false","0","USRY20517337","spotify:user:f-stop1.8","2018-08-13T16:18:55Z"
