"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7GFpGKOwPfPdDIQ9HaqRwJ","Savage Rhythm","spotify:artist:03cwCzIWQ8BRmXjGPDAL04","Cab Calloway","spotify:album:464JC28X7kQl34nq7sB00f","Cab Calloway Featuring Chu Berry","spotify:artist:03cwCzIWQ8BRmXjGPDAL04","Cab Calloway","1993-06-01","https://i.scdn.co/image/ab67616d0000b273081e3919de00ac2e44b70df3","1","5","151293","https://p.scdn.co/mp3-preview/3f0da1dbd32a33d8d2e0268cf768925583f16f91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","USSM10109886","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1EuFHPoVGfyfEZBaYExK7v","Bird's Lament","spotify:artist:7HvQfRNJCvPXTVirKKB0Nn","Moondog","spotify:album:4A9NpSjSaA2cJss3ksEFVE","Sax Pax For A Sax","spotify:artist:7HvQfRNJCvPXTVirKKB0Nn","Moondog","1997-11-28","https://i.scdn.co/image/ab67616d0000b2732bb0edcaa67a7d185fde7547","1","3","123893","https://p.scdn.co/mp3-preview/2b1c9d4334528b78f706dc94abf49ceb1548af89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","DEC169400023","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5u87THoJXo4YgI7pxjwaqI","Soft","spotify:artist:70sHURBVOq2rwWkmBpDxYa","Tiny Bradshaw","spotify:album:4wwPcZGpLPcXmm3O8GFNSb","The EP Collection","spotify:artist:70sHURBVOq2rwWkmBpDxYa","Tiny Bradshaw","1976","https://i.scdn.co/image/ab67616d0000b273ba870acef54f44da088f19cc","1","12","153573","https://p.scdn.co/mp3-preview/4b4da5b605679480cf92e47acd5986e9fddc0c96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USACU0500225","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1YQWosTIljIvxAgHWTp7KP","Take Five","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:0nTTEAhCZsbbeplyDMIFuA","Time Out","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","1959-12-14","https://i.scdn.co/image/ab67616d0000b27300ace5d3c5bffc123ef1eb51","1","3","324133","https://p.scdn.co/mp3-preview/8f8fbddda11b8aa78b3fd15323d9e1c7521f6585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM15900108","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Wrc3Jz4POj0ibPj5iuq0r","Just Dropped In (To See What Condition My Condition Was In)","spotify:artist:5XDSGEZV9xG35PRLJ0O3hx","The First Edition","spotify:album:6LZ7MMxdYNUA56kBnqQ6h6","The First Edition","spotify:artist:5XDSGEZV9xG35PRLJ0O3hx","The First Edition","1967-01-01","https://i.scdn.co/image/ab67616d0000b27391a87b5bd84eecfd0eddb1ed","1","2","201213","https://p.scdn.co/mp3-preview/816fc2b45256192d5173359442f19efb4ea02e19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USMC16850396","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2C7A6Q8Im35rnZaOdt5jr8","One Mint Julep - 2007 Remaster","spotify:artist:0ckkj0a9CvIJr4h84B0OlN","The Clovers","spotify:album:39FLNjOqur5u3WbvsoFg6S","Down In The Alley: The Best Of The Clovers","spotify:artist:0ckkj0a9CvIJr4h84B0OlN","The Clovers","1991","https://i.scdn.co/image/ab67616d0000b27337bfe4cb33da15564f416306","1","1","150066","https://p.scdn.co/mp3-preview/910cfbe4168590589645fbd9073110105db3d3aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USAT20703257","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7xFNvVqufqwtbBP7zQSiS6","Hawk's Boogie","spotify:artist:56FeQ03tAPYJ2gwmGhrpbF","Erskine Hawkins","spotify:album:0349jaJFEzp3PNv6RwTmUR","Presenting After Hours","spotify:artist:56FeQ03tAPYJ2gwmGhrpbF","Erskine Hawkins","1947","https://i.scdn.co/image/ab67616d0000b2733a183737867c3c2a42d4f56c","1","2","178426","https://p.scdn.co/mp3-preview/83e22dd3f0b673dcc684f693b3442a1030d73134?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","DEZZ52173123","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4mVcY0XIJo94mBiae1FQMP","The Raided the Joint","spotify:artist:5xcai2yBVdyRXXYfpaKdyD","Helen Humes","spotify:album:56nptpRYG9XLKhTFB6GlHA","Blue and Sentimental","spotify:artist:5xcai2yBVdyRXXYfpaKdyD","Helen Humes","2020-02-08","https://i.scdn.co/image/ab67616d0000b27379b8528c75255c40f1ee16f5","1","14","152400","https://p.scdn.co/mp3-preview/fc70155eb85057a8cf641bb569d8d80ae685a9d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","FR10S2014902","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1OSdIXdB3wXvAAxfpnk0QG","When My Dream Boat Comes Home","spotify:artist:1EE8fj8itdenD88iAylcYh","Bob Crosby & The Bob Cats","spotify:album:0tBOdf3FcqLKGiHoW6QjLZ","Vol. 4: 1941-1942","spotify:artist:1EE8fj8itdenD88iAylcYh","Bob Crosby & The Bob Cats","1994","https://i.scdn.co/image/ab67616d0000b273a32cee1ee528207129c65d68","1","15","149213","https://p.scdn.co/mp3-preview/27770c959b719f73a06195f58d76ec816d825863?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","AUOM01902750","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:62eAoNfrrS84177LOzJMQx","Papa Loves Mambo","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","spotify:album:3Eg4Laj6Pm6GwV6VF2I1Q8","Pure Gold","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","1975-09-30","https://i.scdn.co/image/ab67616d0000b273f59578709fd742ab6a48dccb","1","9","162106","https://p.scdn.co/mp3-preview/be084c29e6b55bc8156b912c6b70ae9f31193a2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USRC15404658","spotify:user:","1970-01-01T00:00:00Z"
