"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3TwAdJ62z9WcMNn7Xl7vQG","La Mer","spotify:artist:7tWQJ9vhVcQQBscWdUR4MI","Bon Appétit Musique","spotify:album:41kogh7wCSEEL2olQyMmXi","France And French Cafe Accordion Music","spotify:artist:7tWQJ9vhVcQQBscWdUR4MI","Bon Appétit Musique","2009-08-17","https://i.scdn.co/image/ab67616d0000b273d435de50b683112f5015da3c","1","7","152146","https://p.scdn.co/mp3-preview/2d7f01ff72ee9f3e10f7f59d96d332e0f07fd9cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBQRF0847927","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:54B05cOuy6NpnZPx9KVfdh","Ombrages","spotify:artist:2ou5vHf8Vp1ru210N1fi5F","Daniel Colin","spotify:album:3dQ85ldFwfDtl2WNdaED1l","Passion Gitane","spotify:artist:2ou5vHf8Vp1ru210N1fi5F","Daniel Colin","2002-06-01","https://i.scdn.co/image/ab67616d0000b2735aad686eaf5dd06335aac838","1","2","177106","https://p.scdn.co/mp3-preview/61c1d5fc2d2fb7fd59df92e1405df091716e3990?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","FR0D80200020","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:5UwkZZP8FoClw3lNhKLXGy","Indiferente","spotify:artist:50XfjlKluHTqnuuNtr7SHI","Enrique Ugarte","spotify:album:40lbxc3DN4ml0PdpajRj4u","Enrique Ugarte: Valse Musette De Paris","spotify:artist:50XfjlKluHTqnuuNtr7SHI","Enrique Ugarte","2000-01-01","https://i.scdn.co/image/ab67616d0000b2736de00128e0d3e471445e6f1d","1","3","216533","https://p.scdn.co/mp3-preview/5288d87c95c36720f661175a5ec727f682315263?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBCKG0700557","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:1ULkKtUQyODQheFCYbuXHZ","Amor del Bajo Corrales","spotify:artist:6utQ2I1L0PDIc1mwU6tf5M","Cafe Accordion Orchestra","spotify:album:0Zf7Qa3xDuoaYmKgJun22x","Dancing On the Moon","spotify:artist:6utQ2I1L0PDIc1mwU6tf5M","Cafe Accordion Orchestra","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730035bd591e0eb12c8c4ff09e","1","8","208320","https://p.scdn.co/mp3-preview/d54a96dbdd9a262eb41daeaff6c1561a7c698fd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","ushm20719413","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:5t43VxQuoRuJDJAJnxcCvg","Rue Jouvenet","spotify:artist:0u2nKLEi5PUDYJ3EOWGz6o","Jo Courtin","spotify:album:67ZpNxpEBq9qnHjz9lbfKk","Accordion Vol. 2: The Most Beautiful Songs (Accordéon Vol. 2: les Plus Belles Mélodies)","spotify:artist:0u2nKLEi5PUDYJ3EOWGz6o","Jo Courtin","2007-01-01","https://i.scdn.co/image/ab67616d0000b273cf8296b719e9326d02a7dd0b","1","7","187760","https://p.scdn.co/mp3-preview/9fd4f168d1ed8adf67031ff3343b8c9ffa1fd615?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FRY510778685","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:78Q7kxeHrk1Qnh5fCSzi5l","Courtoise musette","spotify:artist:4jqRYvRWfshu7XeKHz0TYX","Sandra J","spotify:album:69Y1CTU3JPwZXhJez82jE1","Top Cadence","spotify:artist:4jqRYvRWfshu7XeKHz0TYX","Sandra J","1998-06-01","https://i.scdn.co/image/ab67616d0000b273b82cfeb8d12150778a46ed3b","1","14","146466","https://p.scdn.co/mp3-preview/9adb1b200c03faf3cd740558f4f30c37b058ec43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","FRF429800440","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:5y5mJLGym2sSuuZbTf2saN","Wenn Mademoiselle dich kusst","spotify:artist:50XfjlKluHTqnuuNtr7SHI","Enrique Ugarte","spotify:album:40lbxc3DN4ml0PdpajRj4u","Enrique Ugarte: Valse Musette De Paris","spotify:artist:50XfjlKluHTqnuuNtr7SHI","Enrique Ugarte","2000-01-01","https://i.scdn.co/image/ab67616d0000b2736de00128e0d3e471445e6f1d","1","1","163466","https://p.scdn.co/mp3-preview/0270415fca57b47e46bdefa7f67be212f9a18428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBCKG0700555","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:1i41OjKkEKVL0VHHNMDJUD","Reine De Musette","spotify:artist:1cnJh2kOWm2O6TGzJOOcTY","Max Marino Et Son Accordéon","spotify:album:0GZdyMvkWYIxVE9SrfbbhL","French Musette Accordion","spotify:artist:1cnJh2kOWm2O6TGzJOOcTY","Max Marino Et Son Accordéon","2009-01-01","https://i.scdn.co/image/ab67616d0000b27358f4d61bfd622861035402f2","1","1","148093","https://p.scdn.co/mp3-preview/7ffaecb204ef0f9e7107ed56bf61e3af5dbaf84f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","FRT967400002","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:1CT6igucC99c7lFx3mrI8K","Enchante","spotify:artist:1hoGDUIieScxaFnv587nv0","The Paris Musette","spotify:album:0F60JZbxQ3gBazKp1Z8OPh","Café Francaise","spotify:artist:1hoGDUIieScxaFnv587nv0, spotify:artist:5J1PjANLJxmbkescg0pMTr","The Paris Musette, Les Petites Violons","2013-10-31","https://i.scdn.co/image/ab67616d0000b27384fe8d78d83f8f3d8d1d0b2b","1","3","173520","https://p.scdn.co/mp3-preview/f5905b6b4e5cacb6abde73c8011397c126881894?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBCQU0600488","spotify:user:","2023-01-11T08:28:03Z"
"spotify:track:3O2CJEVoOfVcwnXIq4PkNm","Evening In Paris","spotify:artist:0RJgmlCU4UAn0mIXFdQsSd","Richard Iacona","spotify:album:0EIuXb7mEQEdfJpCgfS6x1","Local Color","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1992-06-06","https://i.scdn.co/image/ab67616d0000b2731b612a128129aaf41119c9de","1","4","146280","https://p.scdn.co/mp3-preview/e0e78b124db54f3b99241614b468a40eac4a8179?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","QMFCB1302142","spotify:user:","2023-01-11T08:28:03Z"
