"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6qmiDC8t6n6J817uqAhMYE","Caithness","spotify:artist:3ZOpJEdIEoBxNv0MWG5FB0","Fulton Street Players","spotify:album:6DmokzCx6if1Lt1HCfvmKP","Caithness","spotify:artist:3ZOpJEdIEoBxNv0MWG5FB0","Fulton Street Players","2020-08-14","https://i.scdn.co/image/ab67616d0000b2737401def12825cc9048a6b160","1","1","181256","https://p.scdn.co/mp3-preview/da91117916c6c36ccdc2ad1327124334714747de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","SE5IB2001235","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6DjroQC7VdOOzC1DbwnKL4","No Other Woman","spotify:artist:253IbsVCS7UKpL61Dv5hru","Magnus Ringblom Quartet","spotify:album:1eMVzFOPZrjBlEGKXYxadA","The Gotland Session","spotify:artist:253IbsVCS7UKpL61Dv5hru","Magnus Ringblom Quartet","2016-06-16","https://i.scdn.co/image/ab67616d0000b273fdd6832280bf2a9f2e4bc5c3","1","3","135308","https://p.scdn.co/mp3-preview/9a495d7334011fde4a0abd376e463aee009a1633?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","SE5Q51700471","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2MWYxWqyutFGyuheDKLEx7","Mystic","spotify:artist:0XdMgZ2vqDrlbWKHJ83Gu1","Ghissua","spotify:album:6Vxd2gzl8iUYfZqoYL4IVg","Mystic","spotify:artist:0XdMgZ2vqDrlbWKHJ83Gu1","Ghissua","2022-01-03","https://i.scdn.co/image/ab67616d0000b27389b169baf559283e1d692f0b","1","1","67663","https://p.scdn.co/mp3-preview/f6caa4705e9eb5b400320cc2b3d1d269d2224e98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","PLH492188836","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:11oZK9EdlMVLqVIIxkUFVx","The Shape of Blue","spotify:artist:76ByYkq6kq4j3eWue0iTJh","Gathering in Jazz","spotify:album:2wfDE3UXThq9OPW1dCRIit","Stardust","spotify:artist:76ByYkq6kq4j3eWue0iTJh","Gathering in Jazz","2020-02-07","https://i.scdn.co/image/ab67616d0000b273961d5e94c9e931fd8be10682","1","5","197665","https://p.scdn.co/mp3-preview/3926de0d1319ff58177158105703fd708802ed71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","FR96X1946518","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Wq5FhdRlP1hT4t9WyVBTm","Before And After You","spotify:artist:29EE6iBb3i7sWjsz410xbV","Hudson Harris & Haim","spotify:album:7cjqOoWOgTfdrmTeUjvh4u","Jazz at Night","spotify:artist:29EE6iBb3i7sWjsz410xbV, spotify:artist:2xOmrHsNNnSQQwav65tSwZ","Hudson Harris & Haim, Tate Jackson Trio","2022-02-04","https://i.scdn.co/image/ab67616d0000b27380c90679a3a2f90f2a408524","1","7","181125","https://p.scdn.co/mp3-preview/cf18142665cc108222705a14e4b5485613b8ef3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","SE5IB2202449","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3ogPioRgJxprprEAaRuk7G","Blurry","spotify:artist:1hyKcLTz5pzxyla8DxNTcs","Carl Bagge Trio","spotify:album:0SwR2XETyYOYvCka4wEF85","Jazz in the Sea: Relax in the Sea with a Great Selection of Jazz Music","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2022-04-15","https://i.scdn.co/image/ab67616d0000b273edc01f718708a34dc840f214","1","4","130703","https://p.scdn.co/mp3-preview/afb8b1e7293136bae88348add9822193d0bbe25c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","BGA472126130","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ytEO5b2KNPCyIwMfFBEZ5","Hiror Island","spotify:artist:5RkfEdQTsusOLPkBt2aNkW","Fegvo","spotify:album:22GDCC5OVOPeFs0b1mpG9n","Hiror Island","spotify:artist:5RkfEdQTsusOLPkBt2aNkW","Fegvo","2022-01-03","https://i.scdn.co/image/ab67616d0000b273d98f65eca20982623ae91413","1","1","56705","https://p.scdn.co/mp3-preview/4ce6ab6f3e57dbe727b4e7968ba03e88300cbbb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","PLH492188739","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ZWrEfcGO92ZT0A6Y0sjBU","A Drawing of Nat","spotify:artist:19hT5DHNATnRhmkR5LevK7","Trois Amis","spotify:album:3NQazayDlKicECJsUdCKvM","A Drawing of Nat","spotify:artist:19hT5DHNATnRhmkR5LevK7","Trois Amis","2020-08-14","https://i.scdn.co/image/ab67616d0000b273cf5e8a51d7053e97d62831ab","1","1","144067","https://p.scdn.co/mp3-preview/1f617d3a642239b6ea081f7cd6b80907f005e17f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","SE5IB2001233","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Zg4yDSFCY8aeOiR2pd1j3","När Hjertet Finder Hjem","spotify:artist:2a9veYX5T7WD5xz0ve9VDO","Hviid Larsen","spotify:album:2tzLAgx6CV5g6IL3Gs7HrI","När Hjertet Finder Hjem","spotify:artist:2a9veYX5T7WD5xz0ve9VDO","Hviid Larsen","2020-05-21","https://i.scdn.co/image/ab67616d0000b27361e6a3335c24c09b6b184803","1","1","129484","https://p.scdn.co/mp3-preview/473ebd6739caf5dec650baddbe03eddb44d54143?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","SE5IB2000820","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Kok2qDqDypfs7uSPKoRjt","Anew","spotify:artist:6ezFSYpcIHmJfQ0ZrGQmyh","Hara Noda","spotify:album:398dlIRB6CDDvG4CcXxfXs","Night Falls","spotify:artist:6ezFSYpcIHmJfQ0ZrGQmyh","Hara Noda","2021-01-22","https://i.scdn.co/image/ab67616d0000b27368f063173845af12e22962d5","1","1","243826","https://p.scdn.co/mp3-preview/15aa362113fd6c00c8781c69ae8481e87debe810?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","SE5Q52003694","spotify:user:","1970-01-01T00:00:00Z"
