"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2uVXl9p8MUKIswZUBLEgvV","River Flows In You - Piano & Cello","spotify:artist:6cIU84TLDcCIFzj4h24wpr, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","Benny Martin, The Wong Janice","spotify:album:1dMUX4NPriPFFyG10Fb7UH","River Flows In You (Piano & Cello)","spotify:artist:6cIU84TLDcCIFzj4h24wpr, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","Benny Martin, The Wong Janice","2022-05-13","https://i.scdn.co/image/ab67616d0000b273361463e8e0517a4fe3805bb8","1","1","160698","https://p.scdn.co/mp3-preview/42c4f9bc5d3a50fa4f6f416b6bd10f53ed629c92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USLZJ2248598","spotify:user:thewongjanice","2022-05-12T22:01:14Z"
"spotify:track:0bwOogStcTOh5Xbi9Vfzlt","Nuvole Bianche - Piano & Cello","spotify:artist:1q1P9ifOMhgIYCsj9KXxdX, spotify:artist:6cIU84TLDcCIFzj4h24wpr","The Wong Janice, Benny Martin","spotify:album:6ryibfFcxkE4I4vTW5IvOC","Nuvole Bianche (Piano & Cello)","spotify:artist:1q1P9ifOMhgIYCsj9KXxdX, spotify:artist:6cIU84TLDcCIFzj4h24wpr","The Wong Janice, Benny Martin","2022-07-15","https://i.scdn.co/image/ab67616d0000b27355b0c4ba347be0f81c210678","1","1","302000","https://p.scdn.co/mp3-preview/82a9414588ae7179ed839036d6fa228240189fbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","GBRKQ2238744","spotify:user:thewongjanice","2022-07-07T22:06:14Z"
"spotify:track:2ttsljoNDJeEouM69m2xZJ","Canon In D (Piano & Cello)","spotify:artist:6cIU84TLDcCIFzj4h24wpr, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","Benny Martin, The Wong Janice","spotify:album:0GUAOmqA4Hpyf9UJfIYiLc","Canon In D (Piano & Cello)","spotify:artist:6cIU84TLDcCIFzj4h24wpr, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","Benny Martin, The Wong Janice","2019-10-25","https://i.scdn.co/image/ab67616d0000b2732319abe76c073e52a441b78b","1","1","244090","","false","0","QZHN71967192","spotify:user:thewongjanice","2019-10-24T22:05:34Z"
"spotify:track:5ZpaAQXG1QoxAOj0ERCqJ9","Gabriel's Oboe (From ""The Mission"") - Piano & Cello","spotify:artist:1q1P9ifOMhgIYCsj9KXxdX, spotify:artist:6cIU84TLDcCIFzj4h24wpr","The Wong Janice, Benny Martin","spotify:album:6qI0mFglahnENzZg7Yi9Oj","Gabriel's Oboe (From ""The Mission"") [Piano & Cello]","spotify:artist:1q1P9ifOMhgIYCsj9KXxdX, spotify:artist:6cIU84TLDcCIFzj4h24wpr","The Wong Janice, Benny Martin","2022-06-10","https://i.scdn.co/image/ab67616d0000b2732003621dbe41a053f184b40c","1","1","120006","https://p.scdn.co/mp3-preview/7272b165f3badb5cb2dc505b8e632cf27a9efb17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USLZJ2289644","spotify:user:thewongjanice","2022-06-09T22:22:34Z"
"spotify:track:20EZSktIq8PKbsDPVjQlvl","Other Worlds - Piano & Cello","spotify:artist:5GAXOE5tVcNWdbwBMMH6qq, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","River Camille, The Wong Janice","spotify:album:0TVTLi1dE9FYzGQRdZwGtb","Other Worlds (Piano & Cello)","spotify:artist:5GAXOE5tVcNWdbwBMMH6qq, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","River Camille, The Wong Janice","2021-11-19","https://i.scdn.co/image/ab67616d0000b273a968481d97518469d796da7c","1","1","247586","https://p.scdn.co/mp3-preview/23151b902b218626bd1c74cf7fa74117753930cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","GBWUL2147274","spotify:user:thewongjanice","2021-11-18T23:04:09Z"
"spotify:track:3DhCg3vPkUvxjVZeMOGRSc","Elevate - Reworked","spotify:artist:5GAXOE5tVcNWdbwBMMH6qq, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","River Camille, The Wong Janice","spotify:album:4Z8lEuto8mE04yBRtboGbp","Elevate (Reworked)","spotify:artist:5GAXOE5tVcNWdbwBMMH6qq, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","River Camille, The Wong Janice","2021-07-02","https://i.scdn.co/image/ab67616d0000b27360a4e3a61091a66968006b52","1","1","205155","https://p.scdn.co/mp3-preview/53cd2e2308a7c715dd1d9f7879b719e4c4533aff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USLZJ2192818","spotify:user:thewongjanice","2021-07-01T22:21:16Z"
"spotify:track:4wyjgPjC3YwOTn2kFMX3G1","Ikigai","spotify:artist:5GAXOE5tVcNWdbwBMMH6qq, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX, spotify:artist:4SCWiQbJCMTHK737aNUqBJ","River Camille, The Wong Janice, Little Symphony","spotify:album:5PvDFAVXpiRr2JREt7oxA4","Ikigai","spotify:artist:5GAXOE5tVcNWdbwBMMH6qq, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX, spotify:artist:4SCWiQbJCMTHK737aNUqBJ","River Camille, The Wong Janice, Little Symphony","2021-04-23","https://i.scdn.co/image/ab67616d0000b2734bc62d388b5ef5e4b6550655","1","1","170491","","false","0","QZES52110065","spotify:user:thewongjanice","2021-04-22T22:22:30Z"
"spotify:track:4dFaJCo73t6wFjBsfM7BQK","Remember to Dance","spotify:artist:0kRuPhyItQOqfkn3HHg0ZL","Steyl","spotify:album:7Esqj1hNJaRfH3yyQ7Jbsg","Remember to Dance","spotify:artist:0kRuPhyItQOqfkn3HHg0ZL","Steyl","2022-12-30","https://i.scdn.co/image/ab67616d0000b273bd9fe3d8c70372334dfcf368","1","1","165000","https://p.scdn.co/mp3-preview/0b58333481389c4faefcd9488c53a0480438b21f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","usl4r2230782","spotify:user:thewongjanice","2022-12-30T20:31:00Z"
"spotify:track:7qR2vlo35In0V4AVs86IGU","Can't Help Falling In Love (Piano & Cello)","spotify:artist:6cIU84TLDcCIFzj4h24wpr, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","Benny Martin, The Wong Janice","spotify:album:5a6dtu0ul4q7Oe7DlOF4jx","Can't Help Falling In Love (Piano & Cello)","spotify:artist:6cIU84TLDcCIFzj4h24wpr, spotify:artist:1q1P9ifOMhgIYCsj9KXxdX","Benny Martin, The Wong Janice","2019-10-04","https://i.scdn.co/image/ab67616d0000b2739ce1abfa0fe46a52139f12ac","1","1","190330","","false","0","QZHN51970638","spotify:user:thewongjanice","2019-10-04T07:10:25Z"
"spotify:track:7H3XGSY03DYTk5kpSJ0ctN","Nowhere","spotify:artist:4bJyueW4S3kaQPuo6WU7bC, spotify:artist:3tgWc4Ys6SCQN7uHmf3H8W","Jose Luis Salas, Deryn Cullen","spotify:album:1QcacpqvguUseeosjO4RcG","Your Inner Self","spotify:artist:4bJyueW4S3kaQPuo6WU7bC","Jose Luis Salas","2022-12-26","https://i.scdn.co/image/ab67616d0000b27328c7995ee1e0df7acf899469","1","8","244821","https://p.scdn.co/mp3-preview/2b4411fb93b2e89a1ae6e0c2f20a5fa0666e72d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","usl4r2219522","spotify:user:thewongjanice","2023-01-14T14:53:18Z"
