"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:38KTIenSEnoGNGLUrYdFLV","Cast Your Fate to the Wind","spotify:artist:0uPfErG0KkEmtYg4y3O7LC","Sounds Orchestral","spotify:album:0sJFM46QZlwzO4y3dvyJsI","Cast Your Fate to the Wind","spotify:artist:0uPfErG0KkEmtYg4y3O7LC","Sounds Orchestral","1965-06-05","https://i.scdn.co/image/ab67616d0000b273e76363c8677365114b48de58","1","2","195000","https://p.scdn.co/mp3-preview/9ee1c411a7ecd4aa1b7678deaa93d2d9aa3ab4a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBAJE6400133","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5KoYGd11C4KmmikVsp4G4I","Manhattan Spiritual","spotify:artist:4VWBkqFNNC306ULM9kyMod, spotify:artist:7CMO7nR8rRU5mqJWmSX2qD","Billy Maxted, Reg Owen","spotify:album:1TT6Ha4vXMLtWX2GPVlQUR","Panamá Patrol","spotify:artist:7CMO7nR8rRU5mqJWmSX2qD","Reg Owen","2019-11-08","https://i.scdn.co/image/ab67616d0000b27377dd7614d0d4ebf6a6020027","1","15","165000","https://p.scdn.co/mp3-preview/614c50b0fdfe884f0b5fd148d2506840e2725739?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CA5KR1963163","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4qy6eBRSCN1y18hB3SY1yi","Lucky Five","spotify:artist:3CH93c2rBMyBq9eeWBCQ60","Russ Conway","spotify:album:6tpZMjBbNYWOIxkqWxI8Ie","Russ Conway - His Greatest Hits","spotify:artist:3CH93c2rBMyBq9eeWBCQ60","Russ Conway","1988","https://i.scdn.co/image/ab67616d0000b273510de5bfb7bbcc96e89274be","1","17","115373","https://p.scdn.co/mp3-preview/7bfcb4bfdb5aaceba6dfc5a2ba18890e2db718ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","GBAYE6000224","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5b8N8l6xNJcL2lrGHc8aC7","Samba De Orfeu - Remastered","spotify:artist:5YRqxl4KfzKkFBMu408yv6","Ray Anthony","spotify:album:5utRkK1KmqAY9H5UiRT2WM","Ultra-Lounge: Bossa Novaville","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1997-01-01","https://i.scdn.co/image/ab67616d0000b27339971cad780745ca21aaed5d","1","4","157333","https://p.scdn.co/mp3-preview/f66a7fe731143cc1c43e09d0d4e35091e15e5d6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USCA29601260","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5WxhZt3XqPIgkdlHTOt6gU","Music Box Dancer","spotify:artist:2wGZ9y0i3DZcs9c9IDVQaU","Romantic Strings & Orchestra","spotify:album:660qJmcUQ1KVET3Q7IQT9C","Going Down? Vol. 1 (The Ultimate Elevator Music Collection)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-08-01","https://i.scdn.co/image/ab67616d0000b2737075ae864912edb0b7148597","1","1","199924","https://p.scdn.co/mp3-preview/7ede5f0859fe87874ae26b2df5a29fb980198993?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","usrdg0110095","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1b39F2Q4sNP8R9PwGK8G5D","Woodpecker Song","spotify:artist:5qByAjccmQRznP524QB0wy","Tony Mottola y Su Orquesta","spotify:album:5XPpYqZJ3zdJv4qAI0NBYl","Tony Mottola y Su Orquesta","spotify:artist:5qByAjccmQRznP524QB0wy","Tony Mottola y Su Orquesta","2016-07-13","https://i.scdn.co/image/ab67616d0000b2738b9ee4743fa45532483196b8","1","11","113880","https://p.scdn.co/mp3-preview/4ee954c6b413512b250676d0bd5bf74ddc33e8ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM4TW1648136","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Aya25QA35mfejbY8n0ORG","Java","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","spotify:album:0IIX2QFWqEIvlEtVhuaurZ","Honey In The Horn","spotify:artist:0TGsWvnbtExsbGUSWtXENE","Al Hirt","1963","https://i.scdn.co/image/ab67616d0000b273c1aff64c332f4568f8b228f8","1","2","116840","https://p.scdn.co/mp3-preview/236c13e28ce3af2e51989ea661049dcb60521fe9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USBB16201003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4uFABlW8ueTNcFGPFjHX0l","The Odd Couple Theme - Instrumental Demo","spotify:artist:3IjVHk8Mo8GBMKyHnwmth8","Neal Hefti","spotify:album:2gxIewLS7nz4Hp5K6h4ZcU","Barefoot In The Park / The Odd Couple (Music From The Motion Pictures)","spotify:artist:3IjVHk8Mo8GBMKyHnwmth8","Neal Hefti","2017-04-07","https://i.scdn.co/image/ab67616d0000b273b05f4a2c4f044c5425e44c1e","1","29","72333","https://p.scdn.co/mp3-preview/9c3473b5bfe0b6a04ea633c35aca0e017c557456?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US3M51620729","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6GD4eeZYp3ymr9yAJwrJdv","Everybody's Talkin'","spotify:artist:5WVQxyLSWuV7XpjDlgNY53","Hugo Winterhalter","spotify:album:75C2nKf5frcYnRI8tSqXOM","28 Big Ones","spotify:artist:5WVQxyLSWuV7XpjDlgNY53","Hugo Winterhalter","2005","https://i.scdn.co/image/ab67616d0000b2738ba710847308c283a1db9916","1","6","177173","https://p.scdn.co/mp3-preview/f7721dc2aa93d4f96c6ca270e092c54de67f39f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USACU0511992","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6fOxrKUo3f9OX2z6YrBpwy","The Happy Organ","spotify:artist:7fGPj0sGEcZACQTUVbz3NY","Dave ""Baby"" Cortez","spotify:album:6D0bih85tthwFbvN0PZltU","Happy Organs, Wild Guitars & Piano Shuffles","spotify:artist:7fGPj0sGEcZACQTUVbz3NY","Dave ""Baby"" Cortez","2020-12-11","https://i.scdn.co/image/ab67616d0000b273cdb409b4b18b6153d5a8f429","1","1","125200","https://p.scdn.co/mp3-preview/c677eed3893b161e48e44b3b37c4a8ffaac820ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","AUXN22105063","spotify:user:","1970-01-01T00:00:00Z"
