"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0JHV5KsgYFsIwRTNrBdUoA","Harp Glissando With Wind Chimes","spotify:artist:54b8w566e7s3PqcBDHAacV","Donna Marie","spotify:album:6o5iqZ73m4mRWlLJS6043e","Peaceful Travels, Season 1, Vol. 4 - The Sensual Massage","spotify:artist:5IBbnl0jTA3XGMOAIImESK","DJ MNX","2014-09-22","https://i.scdn.co/image/ab67616d0000b273061a6a8ba9015bd48fff1f95","1","3","30278","","false","0","BGA471406745","spotify:user:12153320525","2017-10-20T20:31:54Z"
"spotify:track:2ixfP7FmSBIJycGgWmLpsH","Loch Lomond","spotify:artist:48WxLSQmT0HHYwWJIGsiC7","Mackenzie Tolk","spotify:album:3GMaaeifT8EHSZiuWSZh89","Silent Path","spotify:artist:48WxLSQmT0HHYwWJIGsiC7","Mackenzie Tolk","2018-12-05","https://i.scdn.co/image/ab67616d0000b2735cca17c875a0ce8282c043ce","1","2","239500","https://p.scdn.co/mp3-preview/22959a2cfcbac487882d178c99b9424c12744ae2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","usl4q1853055","spotify:user:12153320525","2021-01-24T22:50:18Z"
"spotify:track:0gSEyG7pOFuHM05433EibX","Into the West","spotify:artist:5MspMQqdVbdwP6ax3GXqum","Annie Lennox","spotify:album:38x0H9PdY1fHh8EdfPUXqa","The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2003-11-24","https://i.scdn.co/image/ab67616d0000b27301003bf641243fcc56944428","1","19","347600","https://p.scdn.co/mp3-preview/46f4c6add37e0c7cdd4d22b9929c834bbd28807b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USRE10301634","spotify:user:12153320525","2021-01-26T20:57:37Z"
"spotify:track:3Nw3ZvK1WJ02mnAvfnBmPc","May It Be","spotify:artist:7Jotu5LupekFt00kZZZ7C6","Hayley Westenra","spotify:album:0wyWeyjQOfQrpFWmz9BmQ4","Odyssey","spotify:artist:7Jotu5LupekFt00kZZZ7C6","Hayley Westenra","2005-01-01","https://i.scdn.co/image/ab67616d0000b2733c0e9942140abaec806861a6","1","6","218773","https://p.scdn.co/mp3-preview/cf9d1f0cb3b35e6ff4af4327cf5fe3d80c64f689?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBBBA0540330","spotify:user:12153320525","2021-01-26T06:49:26Z"
"spotify:track:2EUle0TdZgpCfDYvkHzvRN","Sleep Song (Rolf Lovland, Secret Garden)","spotify:artist:6V2z6JlqjZgkrbF7mEdOxr","Christiane Darby","spotify:album:0rND8sgxQYNREIlFrkyaCB","Celtic Aire","spotify:artist:6V2z6JlqjZgkrbF7mEdOxr","Christiane Darby","2011-04-25","https://i.scdn.co/image/ab67616d0000b27349b75267eb8aa00701639cbd","1","15","281800","https://p.scdn.co/mp3-preview/3cda9a309ecfbc6ab17cc5d90aeb4df3fe03839b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","ushm21171931","spotify:user:12153320525","2021-03-26T05:25:55Z"
"spotify:track:644es5aYPJghtZLjM1rmSP","Concerning Hobbits","spotify:artist:0OcclcP5o8VKH2TRqSY2A7","Howard Shore","spotify:album:04rz93AqGy9JduzV3K81Dh","The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001-11-19","https://i.scdn.co/image/ab67616d0000b273128ca6b63d83d47c909a43ce","1","2","175040","https://p.scdn.co/mp3-preview/3e091d64f852f32cb9b24bc3fc9580ef9489751f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USRE10102103","spotify:user:12153320525","2019-10-26T17:16:25Z"
"spotify:track:4ZztHY7z5BoRxRiBtFUa6Y","Be Thou My Vision","spotify:artist:48WxLSQmT0HHYwWJIGsiC7","Mackenzie Tolk","spotify:album:3GMaaeifT8EHSZiuWSZh89","Silent Path","spotify:artist:48WxLSQmT0HHYwWJIGsiC7","Mackenzie Tolk","2018-12-05","https://i.scdn.co/image/ab67616d0000b2735cca17c875a0ce8282c043ce","1","4","241714","https://p.scdn.co/mp3-preview/b48e29523ecc49101eba1bcbdd8662a92adf052f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","usl4q1853057","spotify:user:12153320525","2021-01-24T22:52:02Z"
"spotify:track:0Q7QHXmwjj8u9ajPvwNnCO","Greensleeves","spotify:artist:7EIbKyiLnEJ1Y074UIUyZJ, spotify:artist:2VtwFbDZzIoT9ZD0uR5HHD","Peter Hollens, Tim Foust","spotify:album:22qN0Gw54OwckjTgVGUzVG","Legendary Folk Songs","spotify:artist:7EIbKyiLnEJ1Y074UIUyZJ","Peter Hollens","2018-06-15","https://i.scdn.co/image/ab67616d0000b273fe9bb826b4677ad094f49fa3","1","7","197462","","false","0","QMAAK1871865","spotify:user:12153320525","2020-09-09T22:36:04Z"
"spotify:track:1ykRzUWZcKpgDXY5kHAt43","Reflections","spotify:artist:2eOvgM62uNUfdbjKaxp1X4","Karen Biehl","spotify:album:7aiz3D3xYrPFb8CMnHohGJ","Reflections","spotify:artist:2eOvgM62uNUfdbjKaxp1X4","Karen Biehl","2020-05-22","https://i.scdn.co/image/ab67616d0000b2735c55aade852462c1dd2806a5","1","1","115624","https://p.scdn.co/mp3-preview/5467bfce0ea72137dd706668ce5df14a82d11b0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","usdy42065503","spotify:user:12153320525","2020-08-23T16:56:23Z"
"spotify:track:5ntCT7MNS37m7f7xqt2OK1","Limericks Lamentation","spotify:artist:4BYRoEELmbGIm7kA6BJatM","Aine Minogue","spotify:album:24QUt1xrWnmLi6sE5nk1fb","Celtic Meditation Music","spotify:artist:4BYRoEELmbGIm7kA6BJatM","Aine Minogue","2004-04-05","https://i.scdn.co/image/ab67616d0000b273589818d0ba107d3c0cc80ad1","1","11","514533","","false","6","QZ4JJ1602246","spotify:user:12153320525","2021-03-16T04:10:49Z"
