"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:63fpq2jNWBdHWdZWmxbgz2","Woman of Ireland","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","1","150529","https://p.scdn.co/mp3-preview/21e91f4397c71b2149a2089d9c0ee267d37d87ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","ITO101055676","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:5aQWRpmr2kKZgYk3PFTgdk","Morfa'r Frenhine","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","2","124426","https://p.scdn.co/mp3-preview/d1b29362d7cba6234a7098ce8f25c94c8a5d280a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","ITO101055677","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:5X8ICeZIecUnNT2YA2kQRy","John o'Connor","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","3","127558","https://p.scdn.co/mp3-preview/cf9676200c1b7036b7826263d3f912f80ed67c5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","ITO101055678","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:1cycUsfIN0QvwmvOoCJWie","Sally My Dear","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","4","94000","https://p.scdn.co/mp3-preview/f3757f885f96a56cd75e770bbd7cc8a0ca3be72e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","ITO101055679","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:3fGbusmPQe9lsskaNdRzA9","Dark Mollie Fo the Glen","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","5","118638","https://p.scdn.co/mp3-preview/39421f9548111ae30198e7d9cb142568d0687428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","ITO101055680","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:4adt9KlSfiV4n9ksi79HCW","Con o'leary's Lament","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","6","56840","https://p.scdn.co/mp3-preview/9bb9c4a04359b7bff83758ff3729d20a0cb057f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","ITO101055681","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:4xhGErk0RqJRusjgt9esI0","Down By the Beach","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","7","95777","https://p.scdn.co/mp3-preview/93837146b43f074e0d4e2fc9ee5456e0af1e89bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","ITO101055682","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:4lX5jgPiJv1jCDpdFqL5FM","Mairi Bhan Og","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","8","108545","https://p.scdn.co/mp3-preview/a74fdee4ea4d4198aba2582eee0f93f79ef6b566?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","ITO101055683","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:2em56zLjLtg4GF7TzhKkw1","Cait ni Dhuibhir","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","9","64679","https://p.scdn.co/mp3-preview/4acb546b3082596aadefeb0d95ed898d8cdfbbb8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","ITO101055684","spotify:user:","2012-07-09T04:15:06Z"
"spotify:track:7j3pCC0ZeZvGi1E2fSMtv5","A Fairy's Love Song","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","spotify:album:3BWKkbcTNHoI0QKfOj01iy","Celtic Harp and Traditional Irish Music","spotify:artist:6RlhNkVjc9pkY5s4OkmEZI","Celtic Harp Soundscapes","2010-09-15","https://i.scdn.co/image/ab67616d0000b2737de14bf81ca38caa783676a3","1","10","81278","https://p.scdn.co/mp3-preview/7f7c8a513f42c787de9afee80583b69b10673a9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","ITO101055685","spotify:user:","2012-07-09T04:15:06Z"
