"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2SqOOhVoA9Z5KxHCfk6P1n","Fifth Eldest, the Shepherd","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","1","277400","https://p.scdn.co/mp3-preview/7dd21e54607e568ea5230c39d862996e4492a7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TWE278551301","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:7luMqzGkLRWwkjM1IxwVuM","The Rising Tide of Love","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","2","101160","https://p.scdn.co/mp3-preview/18cc2b95432ec45d04b6f11cb7beb7fc60d2ad72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TWE278551302","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:3KAq9dI3QHJ70Ro9Bj6Jcj","On the Mountain Range","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","3","62800","https://p.scdn.co/mp3-preview/8081d4ab3c8719fc3af4de05969cfeb6a1c8974a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TWE278551303","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:3QhJTfkT6pyftNCmB27Tdn","The Guessing Game Tune","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","4","120240","https://p.scdn.co/mp3-preview/b4c694815303c2f6071d5cd00432176efa0d6c9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TWE278551304","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:4JFKSfLYPrxzmWyjTSUiIv","Escorting My Departing Lover","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","5","198893","https://p.scdn.co/mp3-preview/675a3c1119ad699f3c1a43bb1b213c218c3d4368?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","TWE278551305","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:7yPi5aYkxYdF8yQ7F7o0Kj","The Embroidered Purse","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","6","146773","https://p.scdn.co/mp3-preview/0c83b50d788230c6322f03fe41aa78d4f08ba8af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TWE278551306","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:4uuhTrxOPuVjLj4jRkf0ir","The Bustle of the Lantern Festival","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","7","91866","https://p.scdn.co/mp3-preview/a14efb19f804ad915ba2279e465df58f255b52ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TWE278551307","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:03Plos2zb6H6rPttFjdmUB","The Boxwood Carrying-Pole","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","8","132933","https://p.scdn.co/mp3-preview/92073ef1c092c5309cb15205742b381275aef800?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","TWE278551308","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:3fKNL2eqdmIyiL88FOs7wf","The Mule Train Leader","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","9","140266","https://p.scdn.co/mp3-preview/1f6b570d2c6c8f89034cdef22eb3b445cbfa7978?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TWE278551309","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
"spotify:track:75g8bJVcSyCE8q2fiJIAUd","The Path","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","spotify:album:1ELOfAQ9wc2FbuUIveb6QO","Immortal Chinese Folk Melodies","spotify:artist:2p85Vxd2tPExqWCHlKDZ2T","Sunrise Sino-West Orchestra","2009-04-07","https://i.scdn.co/image/ab67616d0000b273056bf80a868ed968cd3ad29d","1","10","92333","https://p.scdn.co/mp3-preview/a1210777e033b97bce6e1d624b0e23b85c49a413?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TWE278551310","spotify:user:rob.bednark","2013-07-21T05:03:01Z"
