"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1YmTPI99FFEGRISzW0yGus","Chikako","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","2","119600","https://p.scdn.co/mp3-preview/65252394e75830ba08d8c3c033812e96d91fbcee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","USA560821811","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:0FWa2B85BokKJ5qmCpmE5f","Daichi","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","3","252120","https://p.scdn.co/mp3-preview/c25ba9969c7128cb9b70d97d5becdd5b74efe207?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USA560821812","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:5iOykaPjjTdYaokHZkgyEj","Goro","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","4","135040","https://p.scdn.co/mp3-preview/17ea4558779845e3923ee3dad07b53613cbb5fed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USA560821813","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:7f3EY6iaSCMA6arFfogMWl","Hachiro","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","5","265946","https://p.scdn.co/mp3-preview/3e86c994eeab40e45e1467bf6b6d7336fa986b73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USA560821814","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:7rwl4uU7Gc9EFyQLJuO7uI","Hibiki","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","6","138320","https://p.scdn.co/mp3-preview/4cb916c27ecfd0c30a548f02bec1a8cf0bc4fccf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560821815","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:4K6v0kPwJibGCM3ocOXUPZ","Hoshi","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","7","131333","https://p.scdn.co/mp3-preview/39877a6a5db837d2f007426c0d672a68fdc61056?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560821816","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:6L32Wiukfci1j04tMdEnZa","Kaede","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","8","112413","https://p.scdn.co/mp3-preview/d525ac67fdd94c4e2daac93dfb1c1575bfa1ee12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560821817","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:0o4wDD6UsOCxssmlG1kcze","Kohaku","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","9","81160","https://p.scdn.co/mp3-preview/217823425a72747ea12a5c07fe13792edcc2a2ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","USA560821818","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:0LKQ3NVm7g7x6sLB8tYVIR","Manami","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","10","156026","https://p.scdn.co/mp3-preview/4487a1e255755ff40c270da2763fe384b2d0aedb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560821819","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:6TiDYbqPlO53f4Zkh7aCZT","Michi","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","11","166240","https://p.scdn.co/mp3-preview/888276eeec89398aac9a6c13d6f103251b3aa2d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560821820","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:4Iwb8zmF7RuSMtO7waQuRD","Miku","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","12","186293","https://p.scdn.co/mp3-preview/62ed351334d78adb1401d4270da14bd9dde7c841?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560821821","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:3ncJhENkGmTh9qDQlNKZ0B","Saki","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","13","101746","https://p.scdn.co/mp3-preview/ac6fdf52b1fd668cf5ad38b223bba89e08316633?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560821822","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:3kvw4ihqdBsKvMJK9IQ0c9","Yoshiko","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","spotify:album:2jXuq04RfmWg8nCSbKIqfK","Japanese Flute & Harp","spotify:artist:5rgaVUothNp140jpmNGcAZ","Eastern Peace","2008-08-01","https://i.scdn.co/image/ab67616d0000b273cd07095a22103adc3120dc69","1","14","207586","https://p.scdn.co/mp3-preview/5b01dca6cb5dd9692f2179304acd93544ce1145e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","USA560821823","spotify:user:1260381248","2018-07-13T03:50:17Z"
"spotify:track:0rbejwe05w8Qscrg4ec8zc","Kappore - Japanese Traditional Music","spotify:artist:5FUOtLgtC9EoSWikzbuvXF","Traditional Japanese Music Ensemble","spotify:album:7Hp40WzrHT4v3KEpurgkru","Traditional Japanese Music - Japanese Traditional Music with Japanese Koto and Japanese Flute Music","spotify:artist:5FUOtLgtC9EoSWikzbuvXF","Traditional Japanese Music Ensemble","2010-09-15","https://i.scdn.co/image/ab67616d0000b273df1474f13c011cd93a3e74c2","1","1","253714","https://p.scdn.co/mp3-preview/be8cb329b2d6ffdc0fc81af4ea23dd71a0170338?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","ITO101053237","spotify:user:1260381248","2018-07-13T03:50:39Z"
"spotify:track:6rWTHAnbkYjuNMXHpEqaTq","Samisen","spotify:artist:5FUOtLgtC9EoSWikzbuvXF","Traditional Japanese Music Ensemble","spotify:album:7Hp40WzrHT4v3KEpurgkru","Traditional Japanese Music - Japanese Traditional Music with Japanese Koto and Japanese Flute Music","spotify:artist:5FUOtLgtC9EoSWikzbuvXF","Traditional Japanese Music Ensemble","2010-09-15","https://i.scdn.co/image/ab67616d0000b273df1474f13c011cd93a3e74c2","1","9","372599","https://p.scdn.co/mp3-preview/4cb33bb755268a00776c10eb3feca837b2e4f197?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ITO101053245","spotify:user:1260381248","2018-07-13T03:52:24Z"
"spotify:track:2snj54ApSNaq5jWjUDErdN","Toka Ebisu","spotify:artist:5FUOtLgtC9EoSWikzbuvXF","Traditional Japanese Music Ensemble","spotify:album:7Hp40WzrHT4v3KEpurgkru","Traditional Japanese Music - Japanese Traditional Music with Japanese Koto and Japanese Flute Music","spotify:artist:5FUOtLgtC9EoSWikzbuvXF","Traditional Japanese Music Ensemble","2010-09-15","https://i.scdn.co/image/ab67616d0000b273df1474f13c011cd93a3e74c2","1","25","217153","https://p.scdn.co/mp3-preview/2c6f7267a279b79eeb6d5b0e8f64238ab3ceba9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","ITO101053261","spotify:user:1260381248","2018-07-13T03:52:46Z"
"spotify:track:1aQwGu3RygWnFJAm25AiaQ","Chidori No Kyoku","spotify:artist:5L5yyiKz7yLbMLWZrxj79c","Satomi Saeki And Alcvin Takegawa Ramos","spotify:album:3SneWOGt8ceZqtQPLwPTMO","Japanese Traditional Koto And Shakuhachi Music","spotify:artist:5L5yyiKz7yLbMLWZrxj79c","Satomi Saeki And Alcvin Takegawa Ramos","2006-02-21","https://i.scdn.co/image/ab67616d0000b2734bdfb34ea1f634ea0bb9955b","1","1","689168","https://p.scdn.co/mp3-preview/192f3c3658855d013cad44a9bb0ee796c91044e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USA370551882","spotify:user:1260381248","2018-07-13T03:57:33Z"
"spotify:track:0SSkowlpuwjM441ogI7zNT","Rokudan","spotify:artist:5L5yyiKz7yLbMLWZrxj79c","Satomi Saeki And Alcvin Takegawa Ramos","spotify:album:3SneWOGt8ceZqtQPLwPTMO","Japanese Traditional Koto And Shakuhachi Music","spotify:artist:5L5yyiKz7yLbMLWZrxj79c","Satomi Saeki And Alcvin Takegawa Ramos","2006-02-21","https://i.scdn.co/image/ab67616d0000b2734bdfb34ea1f634ea0bb9955b","1","4","409321","https://p.scdn.co/mp3-preview/0c517815d1ef105697d04e05931123321d1d818f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USA370551885","spotify:user:1260381248","2018-07-13T04:57:04Z"
"spotify:track:007RlXcnZnw80NO3xfx3Rt","Fuyu Momiji","spotify:artist:5L5yyiKz7yLbMLWZrxj79c","Satomi Saeki And Alcvin Takegawa Ramos","spotify:album:3SneWOGt8ceZqtQPLwPTMO","Japanese Traditional Koto And Shakuhachi Music","spotify:artist:5L5yyiKz7yLbMLWZrxj79c","Satomi Saeki And Alcvin Takegawa Ramos","2006-02-21","https://i.scdn.co/image/ab67616d0000b2734bdfb34ea1f634ea0bb9955b","1","8","345930","https://p.scdn.co/mp3-preview/4e104a3e8546e03eba51788756b8021b786b87cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USA370551889","spotify:user:1260381248","2018-07-13T04:57:26Z"
