"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3CwE9ExeHCA9ho6hy1lrNZ","Sleigh Ride","spotify:artist:2NpfQuA1kHiGx9LHgDx4p3","Roddy Doyle Trio","spotify:album:5Zb21fmHLMw1lkft5F88Id","Christmas Jazz!","spotify:artist:2NpfQuA1kHiGx9LHgDx4p3","Roddy Doyle Trio","2021-10-23","https://i.scdn.co/image/ab67616d0000b273a2f48fa73b1148daedae5c23","1","1","202664","https://p.scdn.co/mp3-preview/30eeaeaab62b1cb0f70aa5051d9d4e40fd2c1f78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","QZAKB2135525","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:7InfjdILTHBOIs6NBUZgzv","It's Beginning to Look a Lot Like Christmas","spotify:artist:1cNqtnXiRndbjzz501m8CZ","Little Branch Trio","spotify:album:3WOEnOrK4LIAuOljVmJp0v","It's Beginning to Look a Lot Like Christmas","spotify:artist:1cNqtnXiRndbjzz501m8CZ","Little Branch Trio","2021-10-23","https://i.scdn.co/image/ab67616d0000b2732d037fdba36766e6d3311b15","1","4","143477","https://p.scdn.co/mp3-preview/00c9da1424a4368d6e4a3cc875f32b0e507d9f87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","QZAKB2135530","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:465nAxOI5pErqke80RoQTF","Feliz navidad","spotify:artist:4clALHmaxBpsJ0aWHb3Rdy","Norberg","spotify:album:3gmuUZ1smESdC9G30KXUBU","Feliz navidad","spotify:artist:4clALHmaxBpsJ0aWHb3Rdy","Norberg","2020-09-29","https://i.scdn.co/image/ab67616d0000b273aa447b942c7601fd64ca0b75","1","1","123786","https://p.scdn.co/mp3-preview/5c14c8d7062ce028423a2684b1d55932dc199aec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","SE5IB2001548","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:29FQ6xgwKNDioJpAem6ht3","Holly Jolly Christmas","spotify:artist:0xcRezKT6Mc2kg2xrwW1Kh","Red Rudolph Band","spotify:album:6qyVHL2rvZigWudRzl4Fxo","Christmas Time","spotify:artist:0xcRezKT6Mc2kg2xrwW1Kh","Red Rudolph Band","2019-10-21","https://i.scdn.co/image/ab67616d0000b2732d47f4e8bd9dd6059148f7b9","1","3","167128","https://p.scdn.co/mp3-preview/a8d1a729efbcf69c41ed7ef1296640037e32e2bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","QZAKB1910443","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:3DQFbtGXEnr4uWIh04ljQr","Let It Snow","spotify:artist:6pZIC4vzuNxdwy8hJSq29S","Greydon Park Band","spotify:album:1ZToBj4EZu8gnR2hLsrFwW","Jingle Bell Rock","spotify:artist:6pZIC4vzuNxdwy8hJSq29S","Greydon Park Band","2020-09-29","https://i.scdn.co/image/ab67616d0000b2736939b18d1a235d316bd2663e","1","1","123007","https://p.scdn.co/mp3-preview/c90759d28103c5f3c5ad6ea7379c1143cab26d66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","SE5IB2001554","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:1aKyuXDRVwtovYgDV0RalE","Here Comes Santa Claus","spotify:artist:3bBZZ3bsQwZ6DmUH51cabg","Rudy Snow","spotify:album:74ITy0DcX3tWOD6Wm1P2IS","A Jazzy Christmas","spotify:artist:3bBZZ3bsQwZ6DmUH51cabg","Rudy Snow","2019-10-16","https://i.scdn.co/image/ab67616d0000b273fcde29ed408521f3da5648a6","1","1","156878","https://p.scdn.co/mp3-preview/2094de46be6dbe8a0f0cea4dcb835004d12665b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","QZAKB1910413","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:19liWJnMu8RapUGKR6Y8fx","Rockin' Around the Christmas Tree","spotify:artist:0KZqPiOKt79SlPR6kzZUm2","Kyle Mendes Jazz Trio","spotify:album:3JFeZMiH5g3cXfrxpNkXtS","I'll Be Home For Christmas","spotify:artist:0KZqPiOKt79SlPR6kzZUm2","Kyle Mendes Jazz Trio","2022-10-16","https://i.scdn.co/image/ab67616d0000b2738007c04c995db782a9e62dea","1","4","201802","https://p.scdn.co/mp3-preview/ae8b8a76172c2fba49e67aa757bafa93878c4d25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","QZAKB2201403","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:0SD5t32YWkTFMFOAig3dRG","Deck The Halls","spotify:artist:4BUCzxTW8MiC4TT0C29CKF","The Holiday Horns","spotify:album:0Xom85WcjyXZcX4stFhVS8","Deck The Halls","spotify:artist:4BUCzxTW8MiC4TT0C29CKF","The Holiday Horns","2019-10-24","https://i.scdn.co/image/ab67616d0000b273ed524b93e09155b537b16421","1","1","202287","https://p.scdn.co/mp3-preview/1e75f551e378ed042ff9a6d6f906991859709f5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","SE5ZO1904301","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:0ETXxrPmqmWNuxpuHRqWfb","Ding Dong Merrily on High","spotify:artist:2gC8FqAcOqWElBDNVIHbRm","Holborns","spotify:album:4B6xLARC7he8mOqBA0yjKu","Ding Dong Merrily on High","spotify:artist:2gC8FqAcOqWElBDNVIHbRm","Holborns","2020-09-29","https://i.scdn.co/image/ab67616d0000b273da415628b6ed04af77081d86","1","1","142613","https://p.scdn.co/mp3-preview/4a14dcc3a7ef8a0c057f1ae801cf2b559b4b438a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","SE5IB2001547","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:2SOy3BewGYpYy3zIJKREqw","Santa Baby","spotify:artist:1j7mprvrngD7wjbXtlVQ3d","Sparrow & Bird","spotify:album:3LZEEwdEdWvZW0EIWHFhcL","Santa Baby","spotify:artist:1j7mprvrngD7wjbXtlVQ3d","Sparrow & Bird","2020-09-29","https://i.scdn.co/image/ab67616d0000b273fea479bc5f1edcdfb7970ff9","1","2","170010","https://p.scdn.co/mp3-preview/299968c760d02a06f0aaed3b83fcf06be7a0d449?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","SE5IB2001558","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:6TEBBsOYc9k1zjKwxqXs2g","All I Want for Christmas Is You","spotify:artist:7qYuRRLowPK759yfhiY1cS","Owen Rochester Jazz","spotify:album:4iRFHTb6XezGA4iosFiYNu","All I Want for Christmas Is You","spotify:artist:7qYuRRLowPK759yfhiY1cS","Owen Rochester Jazz","2022-10-16","https://i.scdn.co/image/ab67616d0000b273655bfc6a2fb5278f4c366c37","1","3","216573","https://p.scdn.co/mp3-preview/ac69187aed43cc55f7fda471c4ab4a4e4d8d41ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","QZAKB2201399","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:27oIno72elQiNPLU8ZSLo2","Hark the Herald Angels Sing","spotify:artist:4NliOpNLEQq2p7q5P19hN2","Candy Cane Trio","spotify:album:3bGiF08NkrpfTKrKXJPU3n","Christmas Cocktails: A Jazz Lounge Holiday Collection","spotify:artist:4NliOpNLEQq2p7q5P19hN2","Candy Cane Trio","2015-11-24","https://i.scdn.co/image/ab67616d0000b273ccfe97d9f1640dd02b852c8c","1","4","122127","https://p.scdn.co/mp3-preview/80ae1ce9e70d88d76e381b981fd905a063665180?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","US3DF1547668","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:491H13nUak4jYRwppQhOWz","Have Yourself a Merry Christmas","spotify:artist:6ll13Y20dnndy8mAuF9tgk","Grayville Trio","spotify:album:5QGJu2QGX5lHmdrW3F8yrZ","Have Yourself a Merry Christmas","spotify:artist:6ll13Y20dnndy8mAuF9tgk","Grayville Trio","2021-11-25","https://i.scdn.co/image/ab67616d0000b27302b33d059247fd4d7a692609","1","1","202688","https://p.scdn.co/mp3-preview/80f56bbac2f4c1b5b14cce84c1ff1021cb02ce37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","SE5IB2157610","spotify:user:","2022-12-23T13:00:27Z"
"spotify:track:0wBv6Ho71bhsn5L0ievJRe","Christmas Time Is Here","spotify:artist:2fMJvUaoJ5LN2k49ZCdC5m","Laurie Sharon Quartet","spotify:album:1OXS29ichXPRgHY2WGNh3f","Christmas Time Is Here","spotify:artist:2fMJvUaoJ5LN2k49ZCdC5m","Laurie Sharon Quartet","2022-10-16","https://i.scdn.co/image/ab67616d0000b273da7266a1b25fb7fbbe5cfe51","1","3","196373","https://p.scdn.co/mp3-preview/d9920ea594a9dc09010112a5a9ee8a03363b39f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","QZAKB2201326","spotify:user:","2022-12-23T13:00:27Z"
