"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:52vA3CYKZqZVdQnzRrdZt6","The Times They Are A-Changin'","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:7DZeLXvr9eTVpyI1OlqtcS","The Times They Are A-Changin'","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1964-01-13","https://i.scdn.co/image/ab67616d0000b2733b812eed53f0d7e134fe446e","1","1","192053","https://p.scdn.co/mp3-preview/ba6dfd1c9ae25d0a16350514701e428aff9da983?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USSM10007452","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:0qdQUeKVyevrbKhAo0ibxS","My Sweet Lord - Remastered 2014","spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","George Harrison","spotify:album:4I4xtHaIFOzhZfp1NIHkY6","All Things Must Pass (Remastered 2014)","spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","George Harrison","1970-11-27","https://i.scdn.co/image/ab67616d0000b273acc11d868a59008935e72299","1","2","281226","https://p.scdn.co/mp3-preview/5103a81f0d7fc4d2739c5ec8b0ff77fffaaa80fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GB77R1400026","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:0fzCtVM9D5UEwiLqcY8Ouq","Hard Sun","spotify:artist:0mXTJETA4XUa12MmmXxZJh","Eddie Vedder","spotify:album:13xlpKbai3GGoMSr75lOeX","Into The Wild (Music For The Motion Picture)","spotify:artist:0mXTJETA4XUa12MmmXxZJh","Eddie Vedder","2007-09-18","https://i.scdn.co/image/ab67616d0000b2733ed52339ae78ac1b695e8d80","1","7","322080","https://p.scdn.co/mp3-preview/db20beeaaaf27a9e4f5bac8966b738595c49a42a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USJY51700106","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:1b7LMtXCXGc2EwOIplI35z","Stuck In The Middle With You","spotify:artist:7bPU7cvfoD20ixGD9Qnqki","Stealers Wheel","spotify:album:4pFfvZt1riTaIWzkHFfmsF","Reservoir Dogs (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-01-01","https://i.scdn.co/image/ab67616d0000b2734becd2321d8c4044a67f49b0","1","11","203893","https://p.scdn.co/mp3-preview/9f046ccf5c200419859326659cc5393e7a10ade1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAAM7200002","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:54eZmuggBFJbV7k248bTTt","A Horse with No Name","spotify:artist:35U9lQaRWSQISxQAB94Meo, spotify:artist:0tcbedGX7n5UHrMhVsGmIU","America, George Martin","spotify:album:0E5IKYhiKgbYQkmfsFonbZ","America","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1972","https://i.scdn.co/image/ab67616d0000b273afb855e6461310dff4046c56","1","5","252239","https://p.scdn.co/mp3-preview/fd1339af75eb92bc03084e161ecf13f0a9d2c78c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USWB19901792","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:70gbuMqwNBE2Y5rkQJE9By","Going to California - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:44Ig8dzqOkvkGDzaUof9lK","Led Zeppelin IV (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1971-11-08","https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69","1","7","212160","https://p.scdn.co/mp3-preview/85bbb9572e554786b320555e9bab071986fe73de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT21300962","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:1H7gMYGykdtwZOV6s1N0by","Norwegian Wood (This Bird Has Flown) - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:50o7kf2wLwVmOTVYJOTplm","Rubber Soul (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1965-12-03","https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4","1","2","124693","https://p.scdn.co/mp3-preview/868e2fb29f64252c5f2fe6e11b71113c4b559264?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAYE0601480","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:19Shlms2uTnOjIUg50TXzd","Never Going Back Again - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","3","134400","https://p.scdn.co/mp3-preview/64aa0d287013b5681a0c8610390ef7b25a7bad2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USWB11301112","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:0zxj7dVhYZq5ACyaDx5XIo","Layla - Acoustic Live","spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Eric Clapton","spotify:album:6zxsfP7TdXLAS9QEGNN0Uy","Unplugged (Live)","spotify:artist:6PAt558ZEZl0DmdXlnjMgD","Eric Clapton","1992-08-25","https://i.scdn.co/image/ab67616d0000b2734e36eb543ce3731ac913845c","1","7","289026","https://p.scdn.co/mp3-preview/4247448b35c8f73b666ac03d9deabaaaac1c1289?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USRE11300317","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:7mjSHL2Eb0kAwiKbvNNyD9","Wild World","spotify:artist:08F3Y3SctIlsOEmKd6dnH8","Yusuf / Cat Stevens","spotify:album:44VxbAytHpVi3Rq8hRhild","Tea For The Tillerman (Remastered 2020)","spotify:artist:08F3Y3SctIlsOEmKd6dnH8","Yusuf / Cat Stevens","1970-11-23","https://i.scdn.co/image/ab67616d0000b273e7248738c2f7ce3b5584b15d","1","3","200560","https://p.scdn.co/mp3-preview/c62913861b9198497a60fd66170dfd29a5778aa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71905965","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:0iOZM63lendWRTTeKhZBSC","Mrs. Robinson - From ""The Graduate"" Soundtrack","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:3bzgbgiytguTDnwzflAZr2","Bookends","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","1968-04-03","https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4","1","10","244026","https://p.scdn.co/mp3-preview/3d71ed8e956bc66f0287158f69262f57692a9deb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM16800379","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:6mFkJmJqdDVQ1REhVfGgd1","Wish You Were Here","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:0bCAjiUamIFqKJsekOYuRw","Wish You Were Here","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1975-09-12","https://i.scdn.co/image/ab67616d0000b2731a84d71391df7469c5ab8539","1","4","334743","https://p.scdn.co/mp3-preview/1975ce1e79647f1e161ca9fce19a3558855a3341?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBN9Y1100088","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:0P7DoyGrr4Wp9w5TotEtUC","The Weight - Remastered 2000","spotify:artist:4vpDg7Y7fU982Ds30zawDA","The Band","spotify:album:0ky5kdvfPxSmSpj03hpSAE","Music From Big Pink (Remastered)","spotify:artist:4vpDg7Y7fU982Ds30zawDA","The Band","1968-07-01","https://i.scdn.co/image/ab67616d0000b27320bbceac6950d3fe13fa13c3","1","5","274493","https://p.scdn.co/mp3-preview/222fb5b7b6223ea7000e287c24c32fe24e2898ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USCA20000789","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:4KROoGIaPaR1pBHPnR3bwC","Pink Moon","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","spotify:album:5mwOo1zikswhmfHvtqVSXg","Pink Moon","spotify:artist:5c3GLXai8YOMid29ZEuR9y","Nick Drake","1972-02-25","https://i.scdn.co/image/ab67616d0000b273e369195caf5d169bf5e9eafc","1","1","124000","https://p.scdn.co/mp3-preview/816068398c736b7cfbc1b904e637db524c9efdf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAAN7200021","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:6Qb7gtV6Q4MnUjSbkFcopl","50 Ways to Leave Your Lover","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","spotify:album:4A366gjTrYQwmRtkTezF2W","Still Crazy After All These Years","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","1975-10-25","https://i.scdn.co/image/ab67616d0000b2733879ef4375b97d2b58bf0768","1","4","217346","https://p.scdn.co/mp3-preview/b4885f643008c966653166f07d775bc2d62aaaa8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM11002304","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:4K1imZQQ0yKtJ40vGmUajS","Girl from the North Country","spotify:artist:74ASZWbe4lXaubB36ztrGX, spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Bob Dylan, Johnny Cash","spotify:album:5WBx64FIN04CvM2T1MGrUN","Nashville Skyline","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1969-04-09","https://i.scdn.co/image/ab67616d0000b27322debe1325cc21c9bb0c0b07","1","1","220400","https://p.scdn.co/mp3-preview/261ebf932973c2b55e9e0515dc3b316068828f87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM16301119","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:4F1AgKpuFRMLEgtPETVwZk","You've Got To Hide Your Love Away - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0PT5m6hwPRrpBwIHVnvbFX","Help! (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1965-08-06","https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa","1","3","129120","https://p.scdn.co/mp3-preview/0f5e67446d2a19f21a0035f3116f871e4afa68fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBAYE0601467","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:5MbXzXGbqobR8xPVPs8OXA","The Only Living Boy in New York","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","spotify:album:0JwHz5SSvpYWuuCNbtYZoV","Bridge Over Troubled Water","spotify:artist:70cRZdQywnSFp9pnc2WTCE","Simon & Garfunkel","1970-01-26","https://i.scdn.co/image/ab67616d0000b273ba7fe7dd76cd4307e57dd75f","1","8","238413","https://p.scdn.co/mp3-preview/6739da918c4718a863bf896cc4e8f4ae76ae3ce4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM16900185","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:6TNNMVpOgn8K5NoDC7alG6","Ooh La La - 2004 Remaster","spotify:artist:3v4feUQnU3VEUqFrjmtekL","Faces","spotify:album:375DYMUVvk7xXyKq5IaUTR","The Best of Faces: Good Boys When They're Asleep","spotify:artist:3v4feUQnU3VEUqFrjmtekL","Faces","2005-04-19","https://i.scdn.co/image/ab67616d0000b273326ed40b969e6bb4e3d30889","1","16","214960","https://p.scdn.co/mp3-preview/a4adaf38e6ab1beda576257a41d6c04b6e250783?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USWB10400799","spotify:user:","2022-12-16T05:00:00Z"
"spotify:track:11VwZwNF29HrqwalYUMitb","Pale Blue Eyes","spotify:artist:1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","spotify:album:2HOf3Nb44Us8U9oEtKLSrX","The Velvet Underground (45th Anniversary)","spotify:artist:1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","1969","https://i.scdn.co/image/ab67616d0000b2739a2c40b6a1af4a92aac991c5","1","4","339533","https://p.scdn.co/mp3-preview/63132563b5e28fd129b44740f0e6c5d543e21e7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USPR36909016","spotify:user:","2022-12-16T05:00:00Z"
