"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7BI9yO09UgHTquwljY4Z8h","String Quartet No. 19 in C Major, K. 465 (Haydn Quartet No. 6, ""Dissonance""): I. Adagio - Allegro","spotify:artist:2fE4CpzXPLSKnwi8A4mVd1","Mozarteum Quartet Salzburg","spotify:album:74sOyAYNBl0STFK3995COF","Best - Mozart","spotify:artist:4NJhFmfw43RLBLjQvxDuRS","Wolfgang Amadeus Mozart","2012-04-01","https://i.scdn.co/image/ab67616d0000b27382eafb8b0c75541eadbb82ae","1","23","498021","https://p.scdn.co/mp3-preview/084102d769cf5727fe27fb716f1aee6666e88a1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","SEWDL0747105","spotify:user:rob.bednark","2013-07-19T03:20:07Z"
"spotify:track:66P9n7YPY7t5jOxYBpBNNH","Chopin: Impromptu #4 In C Sharp Minor, Op. 66, CT 46, ""Fantaisie-Impromptu""","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:48x7k48kOanszri30LrDjZ","Frédéric Chopin, Halina Czerny-Stefanska","spotify:album:01adVoGhNPthENYE816Rgc","Classical Chamber Music - Chopin-Famous Piano Works 2","spotify:artist:7y97mc3bZRFXzT2szRM4L4","Frédéric Chopin","2011-10-31","https://i.scdn.co/image/ab67616d0000b273a450c2dc69b9b421e67fb0de","1","7","307000","","false","0","GBBXS1165994","spotify:user:rob.bednark","2013-07-19T03:21:02Z"
"spotify:track:2gxwY9cqbapYAwSXmobuXj","11 Minuets, K 176: No. 1","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","spotify:album:1tTqsxhN5BFD4sSR3xQ8hz","Mozart: Complete Works for Solo Piano","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","2013-05-06","https://i.scdn.co/image/ab67616d0000b273518bdcb7c6b137c74efb2436","1","128","112146","https://p.scdn.co/mp3-preview/8a17e82f544a09c76cbff1921181b4e24c0ea5b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USV351335288","spotify:user:rob.bednark","2013-07-19T03:21:58Z"
"spotify:track:3IQn4paa0tO2SAtSYiTQcw","11 Minuets, K 176: No.2","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","spotify:album:1tTqsxhN5BFD4sSR3xQ8hz","Mozart: Complete Works for Solo Piano","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","2013-05-06","https://i.scdn.co/image/ab67616d0000b273518bdcb7c6b137c74efb2436","1","129","123826","https://p.scdn.co/mp3-preview/237e3301a3c163206f5b59fcc2558aeb2abaf3d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USV351335289","spotify:user:rob.bednark","2013-07-19T03:21:58Z"
"spotify:track:3mzy7WmFOO6RJIJpDH4HX7","11 Minuets, K 176: No. 3","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","spotify:album:1tTqsxhN5BFD4sSR3xQ8hz","Mozart: Complete Works for Solo Piano","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","2013-05-06","https://i.scdn.co/image/ab67616d0000b273518bdcb7c6b137c74efb2436","1","130","46853","https://p.scdn.co/mp3-preview/237e2ac1afbe7e222ed2260a5bcddd6a6b4c86cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USV351335290","spotify:user:rob.bednark","2013-07-19T03:21:58Z"
"spotify:track:6v9yVWUhWbAgx7GhhPBCof","11 Minuets, K 176: No. 4","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","spotify:album:1tTqsxhN5BFD4sSR3xQ8hz","Mozart: Complete Works for Solo Piano","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","2013-05-06","https://i.scdn.co/image/ab67616d0000b273518bdcb7c6b137c74efb2436","1","131","59440","https://p.scdn.co/mp3-preview/0b1b39b319cc607c18949667714d36c5c2e29adf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USV351335291","spotify:user:rob.bednark","2013-07-19T03:21:58Z"
"spotify:track:2dY19fBetL8d4KwiQmBFZE","11 Minuets, K 176: No. 5","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","spotify:album:1tTqsxhN5BFD4sSR3xQ8hz","Mozart: Complete Works for Solo Piano","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","2013-05-06","https://i.scdn.co/image/ab67616d0000b273518bdcb7c6b137c74efb2436","1","132","112653","https://p.scdn.co/mp3-preview/1c90a9bb8b0f9fa3621b26f9cca1dde3547f5e69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USV351335292","spotify:user:rob.bednark","2013-07-19T03:21:58Z"
"spotify:track:7dGOvzZi1zEL7oqdx9OT5S","11 Minuets, K 176: No. 6","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","spotify:album:1tTqsxhN5BFD4sSR3xQ8hz","Mozart: Complete Works for Solo Piano","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","2013-05-06","https://i.scdn.co/image/ab67616d0000b273518bdcb7c6b137c74efb2436","1","133","112800","https://p.scdn.co/mp3-preview/47c5c1907c7d64d4554b5bc766eb9d49805aa996?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USV351335293","spotify:user:rob.bednark","2013-07-19T03:21:58Z"
"spotify:track:7v5Yh006fJUZLWuWTZ7pBD","11 Minuets, K 176: No. 7","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","spotify:album:1tTqsxhN5BFD4sSR3xQ8hz","Mozart: Complete Works for Solo Piano","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","2013-05-06","https://i.scdn.co/image/ab67616d0000b273518bdcb7c6b137c74efb2436","1","134","99813","https://p.scdn.co/mp3-preview/85e50822d008c1328288361ec00c3f6a4904e886?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USV351335294","spotify:user:rob.bednark","2013-07-19T03:21:58Z"
"spotify:track:3BiP4wetUTWR7OK9mzu1W6","11 Minuets, K 176: No. 8","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","spotify:album:1tTqsxhN5BFD4sSR3xQ8hz","Mozart: Complete Works for Solo Piano","spotify:artist:3N7WuZyPkRPBV4oPMAr7lt","Martino Tirimo","2013-05-06","https://i.scdn.co/image/ab67616d0000b273518bdcb7c6b137c74efb2436","1","135","121653","https://p.scdn.co/mp3-preview/aeb723fddcea0de478a456717102292d635b8644?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USV351335295","spotify:user:rob.bednark","2013-07-19T03:21:58Z"
