"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3F1KgQJoI75WV9DSDJmKv0","String Quartet In F Minor, Hob. III:35, Op. 20 No. 5: 1. Moderato","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","1","438000","https://p.scdn.co/mp3-preview/616cf7d97b28c881bd7a91548d49585acb4a4c86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","DEN960000841","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:1atmt1zAh7CjxNVbbh2m1m","String Quartet In F Minor, Hob. III:35, Op. 20 No. 5: 2. Menuet","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","2","303000","https://p.scdn.co/mp3-preview/c84fa9f9e05e9f2c9e3c473e2f2f9d04fc7eaafc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","DEN960000842","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:2TRnGdauQwWaC8xnEK08JA","String Quartet In F Minor, Hob. III:35, Op. 20 No. 5: 3. Adagio","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","3","317000","https://p.scdn.co/mp3-preview/412f3b1dcdff9db715b8273d184bbea6beb23bf6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","DEN960000843","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:0yKZQoXvA1xoPsM6xagkTj","String Quartet In E Flat, Hob. III:38, Op. 33 No. 2: 2. Scherzo allegro","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","6","202000","https://p.scdn.co/mp3-preview/ff653a5d7b721428b0b5d9905faff7c23c6c8bcd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","DEN960000852","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:1FS9kR08mLmZbSpcXtRu0z","String Quartet In F Minor, Hob. III:35, Op. 20 No. 5: 4. Fuga a 2 soggetti","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","4","175000","https://p.scdn.co/mp3-preview/d7e0d1e6f941a8e061e702e94a92f72d44cbf01b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","DEN960000844","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:3ON4TiOdkBvdEU9DQOO3pC","String Quartet In E Flat, Hob. III:38, Op. 33 No. 2: 1. Allegro moderato, cantabile","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","5","298000","https://p.scdn.co/mp3-preview/0888ca384385c0e9bdac1afe68090065dfa7774d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","DEN960000851","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:54yoZgbgZKVpALVqCUMfcX","String Quartet In E Flat, Hob. III:38, Op. 33 No. 2: 3. Largo sostenuto","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","7","270000","https://p.scdn.co/mp3-preview/b0dae0b2b56172f6893598bc9faf2ebea3892cf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","DEN960000853","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:1LQ4ocfk6KkjGbLVhRdoSj","String Quartet In E Flat, Hob. III:38, Op. 33 No. 2: 4. Finale: Presto","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","8","213000","https://p.scdn.co/mp3-preview/b9b4b0e10c449b14d71ef8bf9535f20aa2dd3619?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","DEN960000854","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:17rlFlF3XLMgYj8cyrbdet","String Quartet In G Major, Hob. III:57, Op. 54 No. 1: 1. Allegro con brio","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","9","336000","https://p.scdn.co/mp3-preview/c1d2ac4ee84b8bab1b18b54cc936ddd72c2659bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","DEN960100051","spotify:user:","2012-07-25T15:18:41Z"
"spotify:track:2ELKwPkPhqpBhHZYJFqk88","String Quartet In G Major, Hob.III No. 57, Op. 54 No. 1: 2. Allegretto","spotify:artist:656RXuyw7CE0dtjdPgjJV6, spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Joseph Haydn, Emerson String Quartet","spotify:album:16r1qFQkl3je2yeQIVFkRu","The Haydn Project","spotify:artist:4IBl8k6ZsBagsI5zRjyXH7","Emerson String Quartet","2001-01-01","https://i.scdn.co/image/ab67616d0000b2737aedd6f89fd498a555776a03","1","10","343000","https://p.scdn.co/mp3-preview/d8d30ce6ce2e60c092dbc87d787c444096bbce2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","DEN960100052","spotify:user:","2012-07-25T15:18:41Z"
