"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:49NrAIaDxeUewSWFqbYp1c","Utopia","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","1","233480","","false","0","USSUB0311176","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:1mCofwyzuUTKAwzulkPU4Z","Call Of The Space Siren","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","2","267306","","false","0","USSUB0311177","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:0zlrIqfwu1AQINoj3nmlTB","Laura's Aura","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","3","389706","","false","0","USSUB0311178","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:6W1LZ885zRR3uxfRP2CFsn","20th Century","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","4","197880","","false","0","USSUB0311179","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:3vHvOHzJeLYEJUWRKrENTk","Cat O'nine Tails","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","5","179773","","false","0","USSUB0311180","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:4rFYTBWlFG4g1fAlyI71Nc","Pink Victim","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","6","252200","","false","0","USSUB0311181","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:4GehEzWv8uC0agBjEikcNZ","Dior","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","7","167586","","false","0","USSUB0311182","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:1uAvu0NvlBrACkRqkquQrg","Hot And Bothered","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","8","197733","","false","0","USSUB0311183","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:6d7Nt3JC5UYc0rU63NYWR7","Mr. Pushkin Came To Shore","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","9","279160","","false","0","USSUB0311184","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:7zuwZSEo0OGSyEsSpFLupa","Seduction","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","10","210373","","false","0","USSUB0311185","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:0jAtuZe3YJQDU8pVdAjApJ","Tickled To Death","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","11","214053","","false","0","USSUB0311186","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:2MzBr8JLwmhm7BzjtMcBiG","In The Garden Of Earthly Delights","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","12","199813","","false","0","USSUB0311187","spotify:user:","2012-05-26T01:17:23Z"
"spotify:track:7k1ZEgwt9liD31cXA7uSQN","Utopia (Scanner's Reprise)","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","spotify:album:4wlFAtcL7duBAyewQoxxU5","The Impossible World","spotify:artist:6EBbqeUWMq6mWL0CQklRwh","Combustible Edison","1998-10-06","https://i.scdn.co/image/ab67616d0000b273a50087768d806b3b1f4aafe2","1","13","390840","","false","0","USSUB0311188","spotify:user:","2012-05-26T01:17:23Z"
