"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6boYat9zHcJseJJKBCKRS6","Have Yourself A Merry Little Christmas","spotify:artist:29L67ywhlU9XACCtmJQMSr","Charles Snyder","spotify:album:5HbLO8vIITOIGpNGc5q8My","Christmas Songs","spotify:artist:29L67ywhlU9XACCtmJQMSr","Charles Snyder","2019-10-17","https://i.scdn.co/image/ab67616d0000b27342de9e975a6bab337fc4ac2b","1","2","222558","https://p.scdn.co/mp3-preview/28f78656277b5cfdb4a75edf69b097c95e063c8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","QZAKB1910407","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:3CwE9ExeHCA9ho6hy1lrNZ","Sleigh Ride","spotify:artist:2NpfQuA1kHiGx9LHgDx4p3","Roddy Doyle Trio","spotify:album:5Zb21fmHLMw1lkft5F88Id","Christmas Jazz!","spotify:artist:2NpfQuA1kHiGx9LHgDx4p3","Roddy Doyle Trio","2021-10-23","https://i.scdn.co/image/ab67616d0000b273a2f48fa73b1148daedae5c23","1","1","202664","https://p.scdn.co/mp3-preview/30eeaeaab62b1cb0f70aa5051d9d4e40fd2c1f78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","QZAKB2135525","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:0GV5Du6sVdokEA5Xd1Cs8a","The Christmas Song","spotify:artist:5xmw30TV4tlHFIOH6HmPnd","Barry Snyder Band","spotify:album:5JR94Jt73E9NuIAWksIoKR","It's Christmas Jazz Time","spotify:artist:5xmw30TV4tlHFIOH6HmPnd","Barry Snyder Band","2022-10-16","https://i.scdn.co/image/ab67616d0000b2739bec3a3e651f0b2519c53868","1","1","312808","https://p.scdn.co/mp3-preview/958c7a085035c174ec01f0dd4d9d09b85a8269d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","QZAKB2201384","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:5cT9UuSKWfCYbDCDQwS2aY","Silver Bells","spotify:artist:1IdNwXpBJIXak2tdHmICgT","Art Silver Trio","spotify:album:1K6iFbZbde2NZetHrW1Jj0","Home For Christmas","spotify:artist:1IdNwXpBJIXak2tdHmICgT","Art Silver Trio","2019-10-21","https://i.scdn.co/image/ab67616d0000b2738a25c663781d8db073482ede","1","2","249119","https://p.scdn.co/mp3-preview/c02b25227dfe4b3dd8f2e36b09277240065c2fa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","QZAKB1910440","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:6uVCqvznAx7pOYHTNlxulb","White Christmas","spotify:artist:44QGQt033sUjbeecDPn791","Lyla Lee Band","spotify:album:74pI1XqEAgFfo1T2UGDEZs","Winter Wonderland","spotify:artist:44QGQt033sUjbeecDPn791","Lyla Lee Band","2022-10-16","https://i.scdn.co/image/ab67616d0000b273daeb1c79b1904e988b02cfd7","1","2","153720","https://p.scdn.co/mp3-preview/690ef20f602c9f48fcfb4dc8cb20d2762255c601?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","QZAKB2201388","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:2RCvNuag0gdN0lmywnVxTu","O Holy Night","spotify:artist:4rK2sefIZVrvpsz6MoXKvY","Steve Luke & Holloway","spotify:album:2H8X72tUBjkUEn97HGzjx8","O Holy Night","spotify:artist:4rK2sefIZVrvpsz6MoXKvY","Steve Luke & Holloway","2022-10-14","https://i.scdn.co/image/ab67616d0000b273b5cf9bcefc5fa9a3c24e4a32","1","1","238862","https://p.scdn.co/mp3-preview/d7885bb8311e24c5b5e1c17f29ccb0d71dd614b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SE5IB2296573","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:2ekoeJhto1KoKUzlaFokde","It's Beginning To Look a Lot Like Christmas","spotify:artist:13XRIoHlZNZChhsOwvkovD","Christmas Jazz Duo","spotify:album:4fUlyX2S164VoHO2y4IYP4","All I Want for Christmas","spotify:artist:13XRIoHlZNZChhsOwvkovD","Christmas Jazz Duo","2020-10-09","https://i.scdn.co/image/ab67616d0000b27329a53b03949f1cf8c65d2ee5","1","2","119411","https://p.scdn.co/mp3-preview/24aabbd016a5df7bc56c6ab2cc17be8c8b1bea08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","QZAKB2007038","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:6i78EhlNpCODok4KjHKLrf","Frosty The Snowman","spotify:artist:72epe9asXn1RtuXkKrtBcE","Irvin Smith","spotify:album:1I9rcVH3yBxsNGUHb8X5Wk","Frosty The Snowman","spotify:artist:72epe9asXn1RtuXkKrtBcE","Irvin Smith","2022-10-07","https://i.scdn.co/image/ab67616d0000b2733925fa268abbf75513351b4b","1","1","122597","https://p.scdn.co/mp3-preview/018f15a442b3c51c0ca4028ad709090eab4d8f3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SE5W32203533","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:2QRzVMpP0v8RqmHctJ6yCH","Silent Night","spotify:artist:2M3GH9JFk7Z62j2XarUJ1g","Sydney Taylor Band","spotify:album:5P0WsqOfG5viZpxVpqIuaI","I Saw Mommy Kissing Santa Claus","spotify:artist:2M3GH9JFk7Z62j2XarUJ1g","Sydney Taylor Band","2022-10-16","https://i.scdn.co/image/ab67616d0000b27352b3ee175eb57aec2a45818c","1","1","174634","https://p.scdn.co/mp3-preview/d139d2d633394fefe1e98b5d35fb3819ea1f5221?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","QZAKB2201327","spotify:user:","2022-12-23T12:57:25Z"
"spotify:track:3Cs5m2rS0UnYx4UWppPLP8","Christmas Time","spotify:artist:4OSxWbYWRbUZzmkKS6PRM4","Dan Evans-Parker","spotify:album:4O0xBHOwwopsTrx6Jo3MRt","Christmas Time","spotify:artist:4OSxWbYWRbUZzmkKS6PRM4","Dan Evans-Parker","2020-09-29","https://i.scdn.co/image/ab67616d0000b27351aa2b4d67b9fe18e875e874","1","2","122414","https://p.scdn.co/mp3-preview/42563c68c94fd148281f35b6369db0542ba7dd04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","SE5IB2001544","spotify:user:","2022-12-23T12:57:25Z"
