"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6o8KmXtas5TJpuE4FNFFSY","Crash Marble","spotify:artist:3ND5NWoKzlelYDDyWqSQpQ","Susumu Yokota","spotify:album:02vS9QRzmF1e6h3rqmByHg","Sound Of Sky","spotify:artist:3ND5NWoKzlelYDDyWqSQpQ","Susumu Yokota","2002","https://i.scdn.co/image/ab67616d0000b273a9582b20fcd101f99cc04b8b","1","4","324866","https://p.scdn.co/mp3-preview/c26620e6e6cf34f3aa4e50e3f8414638cc1224f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","GBEKG0200003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3sfQoqjzyrDpI8NXlZ2ddX","Sketch 3","spotify:artist:1qiwaJwjKod5WhcYZ76O1B","Tim Hecker","spotify:album:3Slfl3Ui9sRXobar6rgbKs","Dropped Pianos","spotify:artist:1qiwaJwjKod5WhcYZ76O1B","Tim Hecker","2011-10-10","https://i.scdn.co/image/ab67616d0000b273de86e440c074a89e0995ae09","1","3","80500","https://p.scdn.co/mp3-preview/fad59c11b5b37cdb8e5f8e9bbd820c7785d638a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USNCB1116103","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1sJwMjRaNPzjSFT0m9ph0q","long time","spotify:artist:1orPVlRmIYWQ2KkJcMjjnB","Rei Harakami","spotify:album:5iTBKfzPNHpzZHHWyvXa05","[lust]","spotify:artist:1orPVlRmIYWQ2KkJcMjjnB","Rei Harakami","2005-05-25","https://i.scdn.co/image/ab67616d0000b2730e61d45be0b2ec60324f9955","1","1","67600","https://p.scdn.co/mp3-preview/67c275c7b144de86abc55768883a755ce5d3c1a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","JPB621600683","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0SXeDhoNKnhp3h1R1wGtd2","Clairvoyance","spotify:artist:5kNZV33crEsk2IMZMJ8bOQ","Jon Hassell","spotify:album:6p97ys8xZeV60gh427TwMz","Last Night The Moon Came Dropping Its Clothes In The Street","spotify:artist:5kNZV33crEsk2IMZMJ8bOQ","Jon Hassell","2009-03-20","https://i.scdn.co/image/ab67616d0000b2735995450437a5149a1d8c6dae","1","5","65933","https://p.scdn.co/mp3-preview/e3cb29f631f7b08a01cdfb47c8cf431bdc232ed0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","DEB330707705","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3xjhSs614NqALivarSVYhV","When I See Scissors I Can't Help But Think of You","spotify:artist:0sf2u7qJQLxkZjon6FsvJT","The Dead Texan","spotify:album:55mLyioYUt6V3TxkFObTEo","The Dead Texan","spotify:artist:0sf2u7qJQLxkZjon6FsvJT","The Dead Texan","2004-10-04","https://i.scdn.co/image/ab67616d0000b273d664d3700ca9af163be622d5","1","7","239800","https://p.scdn.co/mp3-preview/9317d945e59a804b6b008c1ef14edd779bd172cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USI4R0403328","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7phasdQ9ODIIJlCfE1z3fY","Okinawa Fantasia","spotify:artist:4Icvm8wrj4Btq3O7FHJJZd","Martin Glass","spotify:album:1u45eCsl1EhMCVpOzNW8Si","The Pacific Visions of Martin Glass","spotify:artist:4Icvm8wrj4Btq3O7FHJJZd","Martin Glass","2017-09-15","https://i.scdn.co/image/ab67616d0000b273cffbb66ea25a685080c4b8de","1","1","92307","https://p.scdn.co/mp3-preview/d52c41ace4ed124eeae477b302a79c234a3e03f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","UKB9U1500173","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5bgbePi06Jpajb3CfgEhgJ","Tommib","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","spotify:album:14DV5JzgIRhtqMMjtO4QOj","Go Plastic","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","2001","https://i.scdn.co/image/ab67616d0000b2732094a47b6509e90af2758b2e","1","8","79173","https://p.scdn.co/mp3-preview/37b30836f8da5702492aa87f7f24395208c0d69e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBBPW0100055","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7shulGeXPuc6oWZeYjKMA7","Fanfare for naran ratan","spotify:artist:2keywPnpoD1RhMrs2Qrrsj","naran ratan","spotify:album:0Hi7a09Vn6FuPZSsADVfsI","Trees etc.","spotify:artist:2keywPnpoD1RhMrs2Qrrsj","naran ratan","2015-05-22","https://i.scdn.co/image/ab67616d0000b2737d77e59e11d48f21773e51d1","1","5","81000","https://p.scdn.co/mp3-preview/510518d523dd34e714db9dc28bbffd9cd309614c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USA2P1653723","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1eykCkCtA7ywgXMJnLzNDj","Seto","spotify:artist:5TS4DIOBGgEE6ysYh7yuii","Meitei","spotify:album:4IkrCCorQFfEfwoiCt441A","Komachi","spotify:artist:5TS4DIOBGgEE6ysYh7yuii","Meitei","2019-03-15","https://i.scdn.co/image/ab67616d0000b273c1163bf67e7f4e7cd4eed7fd","1","1","113882","https://p.scdn.co/mp3-preview/9b78029e65cb8d0c55c8aa3859a19032e1353381?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","QM6MZ1917397","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Ragk51wAgVQLMis5aMyLq","Goldregen","spotify:artist:7v5E9zviGMsOGHRdMVmhDc","Roedelius","spotify:album:00bAjAIqUpoyE1TpJPjz14","Wenn der Südwind weht","spotify:artist:7v5E9zviGMsOGHRdMVmhDc","Roedelius","1981","https://i.scdn.co/image/ab67616d0000b273432b7870b0de4977c3e1e0cd","1","6","64706","https://p.scdn.co/mp3-preview/2ae662bc93af9c5083ae63a4b1220b7f083d1884?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","DELI50900192","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0aPrTlWUf2nmDkC9gcP5kZ","Olson","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:1vWnB0hYmluskQuzxwo25a","Music Has The Right To Children","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","1998-04-20","https://i.scdn.co/image/ab67616d0000b2730ddcb1077d30a5ffb59b6864","1","13","91706","https://p.scdn.co/mp3-preview/6e7081d5f7c52bdd6d2070c19520440f976a83ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBBPW9800022","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2R1ie4gZr9VXwVQlqrdGNP","Constant Reminder","spotify:artist:33Ztukerf3He8FeKk5acn8","Two Lone Swordsmen","spotify:album:3HaeZlQ5SdtBwUPPGgkC99","Tiny Reminders","spotify:artist:33Ztukerf3He8FeKk5acn8","Two Lone Swordsmen","2000-09-04","https://i.scdn.co/image/ab67616d0000b2733b12e69689f0077eecd47c67","1","19","90133","https://p.scdn.co/mp3-preview/9c0e38bb4c49efb8d4e81cd5c99ce955a9cbb651?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBBPW0000100","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ZibOOMZvxb78LLTzkogKL","The Hostess","spotify:artist:0NOdYxMmwVSeIshVxo6eVE","E Ruscha V","spotify:album:3IlpmrOKZkuPNopf0WCk1F","Who Are You","spotify:artist:0NOdYxMmwVSeIshVxo6eVE","E Ruscha V","2017-11-03","https://i.scdn.co/image/ab67616d0000b273619682976fa64adf9090012b","1","1","124265","https://p.scdn.co/mp3-preview/ee3adce2e6e7b31c9d7cab946d16e9280b411c2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","QMUDY1700031","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5hpZxgvARgsbmQjQaGmYIW","Forevertime Journeys","spotify:artist:2keywPnpoD1RhMrs2Qrrsj","naran ratan","spotify:album:0Hi7a09Vn6FuPZSsADVfsI","Trees etc.","spotify:artist:2keywPnpoD1RhMrs2Qrrsj","naran ratan","2015-05-22","https://i.scdn.co/image/ab67616d0000b2737d77e59e11d48f21773e51d1","1","1","93000","https://p.scdn.co/mp3-preview/56cd6d7d57b1ee4fdb4c9636752edf4e5737b4e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USA2P1653719","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3YPoNuJVTCBlIBvIHZzp5N","La Nuit - Mixed","spotify:artist:0DDFk56QBhetDQ1wwNf8oG","Bochum Welt","spotify:album:2pzrqp12CEqxTDmzJY3QbV","DJ-Kicks (DJ Tennis) [DJ Mix]","spotify:artist:6vJvFV1A2CpT8s5B1oUN6t","DJ Tennis","2017-07-14","https://i.scdn.co/image/ab67616d0000b2734192380e67cfc2cd0573276f","1","2","119955","https://p.scdn.co/mp3-preview/756c62ddd50d0c748edc2e96b753e6036fe6aed2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","DEG931791841","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:56zWPqzYm4YE8vLMgMmScW","Seiko 2","spotify:artist:0Q14t6kRnPv4av49Rz5o6e","Yasuaki Shimizu","spotify:album:6EGDUidDFrjFoxg6uSQdbH","Music For Commercials","spotify:artist:0Q14t6kRnPv4av49Rz5o6e","Yasuaki Shimizu","1987-01-01","https://i.scdn.co/image/ab67616d0000b273eea981298a1f040c8292ddf2","1","3","68600","https://p.scdn.co/mp3-preview/1a05eb727fbc51f2d2a390a2809a450a23a48a03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","BE6F51700830","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4IN34Iq5T9x1vN6MASxvS9","A Stream With Bright Fish - 2005 Digital Remaster","spotify:artist:3uOCouLFR4bVx0XeiQJSbl, spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Harold Budd, Brian Eno","spotify:album:5SSf6lNbSoaAUx6PxQVjlP","The Pearl","spotify:artist:3uOCouLFR4bVx0XeiQJSbl, spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Harold Budd, Brian Eno","1984","https://i.scdn.co/image/ab67616d0000b273a00536b039aaefb64040d8dd","1","2","236746","https://p.scdn.co/mp3-preview/fb89d565f6bcc7ea2141af4ccb2ee3c446fdadca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBAAA0500418","spotify:user:","1970-01-01T00:00:00Z"
