"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5EY6yQXMCtX5EbkC0ru0LV","La vie en rose","spotify:artist:3EA9hVIzKfFiQI0Kikz2wo, spotify:artist:1WPcVNert9hn7mHsPKDn7j","Andrea Bocelli, Édith Piaf","spotify:album:41B7to9zCtp4oL1qN45yzY","Passione (Remastered)","spotify:artist:3EA9hVIzKfFiQI0Kikz2wo","Andrea Bocelli","2013-01-01","https://i.scdn.co/image/ab67616d0000b2732ca11ffb16d636ff6581dd0e","1","8","186982","https://p.scdn.co/mp3-preview/1b6ac4538c77d054ea8c058835081b68279a77be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ITZ041200139","spotify:user:rob.bednark","2016-10-02T18:45:23Z"
"spotify:track:256Iwmd6v1rDkNth7AWTCr","Born Free","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:3My0w4Zp6WkQPFDWiLiWwZ","Dexter","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-08-28","https://i.scdn.co/image/ab67616d0000b2731843cd551e34832921f6f06d","1","10","147440","","false","0","USSM10019604","spotify:user:rob.bednark","2016-10-02T18:46:26Z"
"spotify:track:71kwIDWJ0xClRjxvIey6D0","A Summer Place","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:1RLfn8e4cQvC0WsYJM6rh2","Moon River And Other Great Movie Themes","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","1962","https://i.scdn.co/image/ab67616d0000b2736b51b2bd0ca77a53eb4cd14c","1","2","154866","https://p.scdn.co/mp3-preview/d902eed35f3622dfcfb524364ca04e2111c3a78e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM19911983","spotify:user:rob.bednark","2016-10-02T18:46:26Z"
"spotify:track:24AIahNHzBxm9S12peXbnG","Moon River (From ""Breakfast at Tiffany's"")","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:1RLfn8e4cQvC0WsYJM6rh2","Moon River And Other Great Movie Themes","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","1962","https://i.scdn.co/image/ab67616d0000b2736b51b2bd0ca77a53eb4cd14c","1","7","162893","https://p.scdn.co/mp3-preview/6b0fffe0df485e5f6f0dca6223bb70b414f2ee3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USSM19911988","spotify:user:rob.bednark","2016-10-02T18:46:26Z"
"spotify:track:5n60Vll3gQGl9RTHCmml8j","Love Theme from ""Romeo and Juliet"" - A Time for Us","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:7nsm2ewblRHWUjNQP7786t","Moon River: The Very Best Of Andy Williams","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","2009-10-13","https://i.scdn.co/image/ab67616d0000b273ed806962ca0af10e342174c1","1","7","153426","https://p.scdn.co/mp3-preview/ed01870704872d7c748ce46a1e20639cfb058c99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","USSM19921926","spotify:user:rob.bednark","2016-10-02T18:46:26Z"
"spotify:track:1op40frW0BKWCFDlsff9B9","Can't Take My Eyes Off You","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","spotify:album:7nsm2ewblRHWUjNQP7786t","Moon River: The Very Best Of Andy Williams","spotify:artist:4sj6D0zlMOl25nprDJBiU9","Andy Williams","2009-10-13","https://i.scdn.co/image/ab67616d0000b273ed806962ca0af10e342174c1","1","15","192520","https://p.scdn.co/mp3-preview/6652da0c29b5710adb9b15450e8477916aaaf7ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","USSM16701010","spotify:user:rob.bednark","2016-10-02T18:46:26Z"
"spotify:track:4IAvn19w69RvHX7u2nKDYt","Mary Ann","spotify:artist:2xoK9wlFfcdZGYHasB6GV4","Barbados Steel Drums","spotify:album:0ClBndikskNNr3DEdt6whT","Barbados Steel Drums","spotify:artist:2xoK9wlFfcdZGYHasB6GV4","Barbados Steel Drums","1991-01-01","https://i.scdn.co/image/ab67616d0000b27320a9f14221b21a333e9e7852","1","1","130453","","false","0","BBA019100488","spotify:user:rob.bednark","2016-10-02T18:48:32Z"
"spotify:track:0J9dvN4TyCVFJFOUjXu2IP","Day-O","spotify:artist:2xoK9wlFfcdZGYHasB6GV4","Barbados Steel Drums","spotify:album:0ClBndikskNNr3DEdt6whT","Barbados Steel Drums","spotify:artist:2xoK9wlFfcdZGYHasB6GV4","Barbados Steel Drums","1991-01-01","https://i.scdn.co/image/ab67616d0000b27320a9f14221b21a333e9e7852","1","4","172160","","false","0","BBA019100491","spotify:user:rob.bednark","2016-10-02T18:48:32Z"
"spotify:track:7H5TmAcD4jG4aalHwtpiQu","El Condor Pasa","spotify:artist:2xoK9wlFfcdZGYHasB6GV4","Barbados Steel Drums","spotify:album:0ClBndikskNNr3DEdt6whT","Barbados Steel Drums","spotify:artist:2xoK9wlFfcdZGYHasB6GV4","Barbados Steel Drums","1991-01-01","https://i.scdn.co/image/ab67616d0000b27320a9f14221b21a333e9e7852","1","6","217040","","false","0","BBA019100493","spotify:user:rob.bednark","2016-10-02T18:48:32Z"
"spotify:track:1O3iE8AJQRq4x8qKDYCbPj","Yellow Bird","spotify:artist:2xoK9wlFfcdZGYHasB6GV4","Barbados Steel Drums","spotify:album:0ClBndikskNNr3DEdt6whT","Barbados Steel Drums","spotify:artist:2xoK9wlFfcdZGYHasB6GV4","Barbados Steel Drums","1991-01-01","https://i.scdn.co/image/ab67616d0000b27320a9f14221b21a333e9e7852","1","10","241160","","false","0","BBA019100497","spotify:user:rob.bednark","2016-10-02T18:48:55Z"
