"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5eQoNnXQJKsLt1KkEb0abO","Black Horse and the Cherry Tree - Radio Version","spotify:artist:5zzrJD2jXrE9dZ1AklRFcL","KT Tunstall","spotify:album:5doFr6zZ80LEPSzLzLA5ga","Black Horse And The Cherry Tree","spotify:artist:5zzrJD2jXrE9dZ1AklRFcL","KT Tunstall","2005","https://i.scdn.co/image/ab67616d0000b273d3281255f8978ae47aa6fda8","1","1","174400","","false","0","GBGLM0400102","spotify:user:rob.bednark","2013-07-15T04:21:50Z"
"spotify:track:0KpfYajJVVGgQ32Dby7e9i","Hey, Soul Sister","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","spotify:album:5lTCUyQrKcSmcw5ULkt75O","Hey, Soul Sister","spotify:artist:3FUY2gzHeIiaesXtOAdB7A","Train","2009-08-06","https://i.scdn.co/image/ab67616d0000b273706a70e4bfb15d33b8ec74a1","1","1","216666","","false","0","USSM10904113","spotify:user:rob.bednark","2013-07-15T04:22:58Z"
"spotify:track:2LGAbm0xHNu7scBDVCkFwN","Hey Julie","spotify:artist:1pgtr4nhBQjp9oCUBPyYWh","Fountains Of Wayne","spotify:album:6TZp52tXShLQbq8yNMxqNT","Welcome Interstate Managers","spotify:artist:1pgtr4nhBQjp9oCUBPyYWh","Fountains Of Wayne","2003-01-01","https://i.scdn.co/image/ab67616d0000b273079e826265dffc3a8a26bac5","1","9","156933","https://p.scdn.co/mp3-preview/04c51da49ea497c93b508e28665a3f917b005824?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USESC0300008","spotify:user:rob.bednark","2013-07-15T04:23:05Z"
"spotify:track:6iBWazas8QsDtBnjlXkrXk","The Sound Of Sunshine","spotify:artist:1mHuZMOP8FG5ip4yAb1vrB","Michael Franti & Spearhead","spotify:album:6n3RWQarUS9N542RErAIgy","The Sound Of Sunshine","spotify:artist:1mHuZMOP8FG5ip4yAb1vrB","Michael Franti & Spearhead","2010-01-01","https://i.scdn.co/image/ab67616d0000b27339e350ecb6693b19c6608dab","1","1","225133","https://p.scdn.co/mp3-preview/3f15830f0fdddb65f119e6e9526251bd2fd8cbee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USCA21002275","spotify:user:rob.bednark","2013-07-15T04:28:06Z"
"spotify:track:0Jg602cHeMCnPez9baacIe","Cotton Eye Joe","spotify:artist:22Zqu1yyebVnbve8FxbJ2g","Rednex","spotify:album:3MLXp4rTGt1USufyODvXuz","Sex & Violins","spotify:artist:22Zqu1yyebVnbve8FxbJ2g","Rednex","1995-04-03","https://i.scdn.co/image/ab67616d0000b273a4fe57b156def68bdcc6f58b","1","1","193826","https://p.scdn.co/mp3-preview/d9d2f45622a12e27769d9cb38c57429ca6a8a32e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAHK9400110","spotify:user:rob.bednark","2013-07-15T04:33:46Z"
"spotify:track:6ijK0byhkfjqMQcLrzSIbl","Footloose","spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW","Kenny Loggins","spotify:album:1VWbR5cktfUGFnNGL1WdnM","Clasicos Del Cine","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-15","https://i.scdn.co/image/ab67616d0000b2732780b2c1d9b43d7794f049b0","1","9","219733","","false","0","USSM18400107","spotify:user:rob.bednark","2013-07-15T04:36:12Z"
"spotify:track:0MHBcs8i2GXPO2EjHW9RRy","At The Hop","spotify:artist:6Ahm6X9wSKXitavOvu0XzY","Danny & The Juniors","spotify:album:2Dv69A0gikPgoPOPWIRAVL","At The Hop","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-02-28","https://i.scdn.co/image/ab67616d0000b273230fdcbe61507b2f2885ae70","1","1","154360","","false","0","USA2P1128960","spotify:user:rob.bednark","2013-07-15T04:38:08Z"
"spotify:track:4KFCyusUzxTL8PwE0AH02f","Wipeout","spotify:artist:6gZVflqhSHhG3MjYrf1dOv","The Surfaris","spotify:album:33msQbGd76fYSd4imz3lbh","100 Years of Surfing","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-05-21","https://i.scdn.co/image/ab67616d0000b273d3cf94c3f9f0070ee7e9cba9","1","16","154866","","false","0","US25T9919858","spotify:user:rob.bednark","2013-07-15T04:40:46Z"
"spotify:track:23xk9Rf7oIHVUU1JvmXYFn","Mony Mony","spotify:artist:01hRNr3yF5bYnPq4wZ88iI","Tommy James & The Shondells","spotify:album:5X5DaYvnFqc4EatPOYSmnt","Mony Mony","spotify:artist:01hRNr3yF5bYnPq4wZ88iI","Tommy James & The Shondells","1968-01-01","https://i.scdn.co/image/ab67616d0000b2731c716ce508a58d815d10dd2d","1","1","174133","https://p.scdn.co/mp3-preview/71a88f1ed60d0fcd5729935f86af968ba8be594c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","USRH10175000","spotify:user:rob.bednark","2013-07-15T04:42:12Z"
"spotify:track:5cP52DlDN9yryuZVQDg3iq","Stayin' Alive - 2007 Remastered Version Saturday Night Fever","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:0taUwU7qjtc9lvwmd7FKac","Saturday Night Fever [The Original Movie Soundtrack]","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1978-01-05","https://i.scdn.co/image/ab67616d0000b273e39f29035ee5c2bf71e9cfb7","1","1","285373","","false","0","USRH10721057","spotify:user:rob.bednark","2013-07-15T04:44:07Z"
