"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3DkdldkTR0pbVYKMg5eXJO","I'm in a Dancing Mood","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:425dVE44lkA2a0FBI7MGLE","Dave Brubeck's Greatest Hits","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","1966","https://i.scdn.co/image/ab67616d0000b2736ca90aff3927a8b212258770","1","2","179333","https://p.scdn.co/mp3-preview/2ba9515921bc466fe30292d16d7fd4f2f9dcf285?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USSM16600283","spotify:user:rob.bednark","2016-12-27T04:11:40Z"
"spotify:track:4Tq2fWpX1nLCkMSOPkYb1Y","Moanin'","spotify:artist:6ykfXAed2KOLOMI3R0TZdz","Art Blakey & The Jazz Messengers","spotify:album:1UqQnjYh6B04eH4vDhjlJS","The Best Of Art Blakey","spotify:artist:6ykfXAed2KOLOMI3R0TZdz","Art Blakey & The Jazz Messengers","1989-01-01","https://i.scdn.co/image/ab67616d0000b273e025a10e3cb22220929348b6","1","1","576173","https://p.scdn.co/mp3-preview/15ae68b051a7f029d320d2f778b88a127d07f7e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USBN28700080","spotify:user:rob.bednark","2019-08-20T01:49:00Z"
"spotify:track:3eMfftdPSD4PI1cux5w97b","Autumn Leaves","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","spotify:album:1MNW9qBsE47MtyQByOXEil","The Best Of Paul Desmond","spotify:artist:68l2i6GeNtwQlhKS59u5bu","Paul Desmond","1972","https://i.scdn.co/image/ab67616d0000b273ad6b2f1e57872527d23c05f6","1","10","422666","https://p.scdn.co/mp3-preview/b57253c9787ac4271b45398d6388ddfbcd4507b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USSM10020609","spotify:user:rob.bednark","2019-08-20T01:49:03Z"
"spotify:track:0488kXJ1YnLMrrM1ssJnev","Monk's Dream - Take 8","spotify:artist:4PDpGtF16XpqvXxsrFwQnN","Thelonious Monk","spotify:album:5VTlqV8lZH3YspQ1cDcjrL","Monk's Dream","spotify:artist:4PDpGtF16XpqvXxsrFwQnN","Thelonious Monk","1963","https://i.scdn.co/image/ab67616d0000b273710444d313a55d9f53dbea6e","1","1","385466","https://p.scdn.co/mp3-preview/dbe77a92daea882264a632a8f02162b055e3c88d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USSM10203010","spotify:user:rob.bednark","2019-08-20T01:49:04Z"
"spotify:track:2kpaRWsZTE96rmw0NBfP0c","I Got It Bad And That Ain't Good","spotify:artist:0ldU0QJm31y0d6f57R1G2A","Oscar Peterson Trio","spotify:album:1wht9VwbCummrzrwOOjAm7","Night Train (Expanded Edition)","spotify:artist:0ldU0QJm31y0d6f57R1G2A","Oscar Peterson Trio","1963-01-01","https://i.scdn.co/image/ab67616d0000b273ce973a2f4645238569f64f0d","1","9","306173","","false","0","USF096300380","spotify:user:rob.bednark","2019-08-20T01:49:08Z"
"spotify:track:0t8MJGXyTafKioG4fWDw9a","Summer Song","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:2DMQlylOjtvQwZMnjFcMrS","This Is Jazz Louis Armstrong Sings","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1928","https://i.scdn.co/image/ab67616d0000b2733b2088abb04ae3074a3acaef","1","15","194040","https://p.scdn.co/mp3-preview/493934a44c799b857ebf3839900c22068e611182?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","USSM16100116","spotify:user:rob.bednark","2019-08-20T01:49:10Z"
"spotify:track:2VUo8O3ymKRYNgj97ZG2kM","Unsquare Dance","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:0eMXd1VtCXCkuGWn9JjRDT","Time Further Out","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","1961","https://i.scdn.co/image/ab67616d0000b2737ea560d522ef653c268d79c9","1","7","119866","https://p.scdn.co/mp3-preview/558381641243508e5d265bb6d82be143dda0e88d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM16100056","spotify:user:rob.bednark","2019-08-20T01:49:12Z"
"spotify:track:6cjjUuY51c5SwTABCVPSYH","Bossa Nova U.S.A.","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:425dVE44lkA2a0FBI7MGLE","Dave Brubeck's Greatest Hits","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","1966","https://i.scdn.co/image/ab67616d0000b2736ca90aff3927a8b212258770","1","7","143506","https://p.scdn.co/mp3-preview/9d2caa78ae5168cca8d4c26ae0a48101f26433bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USSM16600288","spotify:user:rob.bednark","2019-08-20T01:49:13Z"
"spotify:track:0Z2JdweszlmaAr4t9VBrwl","Take Five (Live)","spotify:artist:0HQ501eKb3lNaFMNDRbxHd, spotify:artist:5jevMYR4iHh6E0zFjOrt2K","D. Brubeck, Gerry MulliganP.Desmond","spotify:album:2hK2NVvfVEflYkNNC33dDd","Jazz Masters Deluxe Collection: Gerry Mulligan","spotify:artist:6l40OFJhuTbHQ9V12evc9K","Gerry Mulligan","2012-09-25","https://i.scdn.co/image/ab67616d0000b27307a1f8c2a1979d7bf29bfbc2","1","1","939686","https://p.scdn.co/mp3-preview/26d918af07e9b643578486a92f26941e44a85548?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","USA561307526","spotify:user:rob.bednark","2020-09-26T00:35:56Z"
"spotify:track:57j1v3ks11sygQuUWcSHaL","Take Five - Live","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","spotify:album:4My0KPjdtzCUfFjToOCiPh","At Carnegie Hall","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","1963","https://i.scdn.co/image/ab67616d0000b273679953036210fd3e3579738c","2","6","436533","https://p.scdn.co/mp3-preview/5f75a3c893bf4394faf4b6b627955f44e96f19f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USSM10014317","spotify:user:rob.bednark","2020-09-26T00:36:21Z"
