"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:72Z17vmmeQKAg8bptWvpVG","Space Oddity - 2015 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:1ay9Z4R5ZYI2TY7WiDhNYQ","David Bowie (aka Space Oddity) [2015 Remaster]","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1969-11-04","https://i.scdn.co/image/ab67616d0000b2733395f3e809dfbc2b1101d464","1","1","318026","https://p.scdn.co/mp3-preview/272b405bf0113d568036f085508bf300b5458712?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USJT11500173","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:4xlEKYv7HmC8zXoJIbpZKM","Steady, As She Goes","spotify:artist:4wo1267SJuUfHgasdlfNfc","The Raconteurs","spotify:album:4Z1sCXBHHKWCsScOLAfuig","Broken Boy Soldiers","spotify:artist:4wo1267SJuUfHgasdlfNfc","The Raconteurs","2006-05-15","https://i.scdn.co/image/ab67616d0000b273aaafcdc8e35209dc99554017","1","1","215266","https://p.scdn.co/mp3-preview/0509b59e7d57675a901c135cbee98f88357687af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USVT10600052","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:0fzCtVM9D5UEwiLqcY8Ouq","Hard Sun","spotify:artist:0mXTJETA4XUa12MmmXxZJh","Eddie Vedder","spotify:album:13xlpKbai3GGoMSr75lOeX","Into The Wild (Music For The Motion Picture)","spotify:artist:0mXTJETA4XUa12MmmXxZJh","Eddie Vedder","2007-09-18","https://i.scdn.co/image/ab67616d0000b2733ed52339ae78ac1b695e8d80","1","7","322080","https://p.scdn.co/mp3-preview/db20beeaaaf27a9e4f5bac8966b738595c49a42a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USJY51700106","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:5ZRgBA12LikIUPgTRoMUrJ","Mantra","spotify:artist:7mRVAzlt1fAAR9Cut6Rq8c, spotify:artist:03xb2BUdIFzuRQ6o88yfCB, spotify:artist:0hRijdwO8UsJMudc3476ma","Dave Grohl, Josh Homme, Trent Reznor","spotify:album:066mZjq57UkWDAM7A6PWce","Sound City - Real to Reel","spotify:artist:4RZ3xplsI2u8ZNb5KkncrW","Sound City - Real to Reel","2013-03-08","https://i.scdn.co/image/ab67616d0000b273519c952e6e571b96ace69d0f","1","11","463333","https://p.scdn.co/mp3-preview/b3c591d908a210006f29778886dbe51e70be3d65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USRW31200014","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:45yy5jKA6W0uFbHtnBBQKA","Orion","spotify:artist:7vX3cMVyW8gtDA4y855ynF","Rodrigo y Gabriela","spotify:album:0xawWBAjFaa8dk7IJJsIFH","Rodrigo y Gabriela","spotify:artist:7vX3cMVyW8gtDA4y855ynF","Rodrigo y Gabriela","2006-01-01","https://i.scdn.co/image/ab67616d0000b273cdcea07711c6019b19f72eb7","1","7","462000","https://p.scdn.co/mp3-preview/d6af57ebe570edb788c6e7364cf57a29101f4e69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","MXUM70601520","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:2DFRFqWNahKtFD112H2iEZ","Do You Realize??","spotify:artist:16eRpMNXSQ15wuJoeqguaB","The Flaming Lips","spotify:album:49LA20VMk65fQyEaIzYdvf","Yoshimi Battles the Pink Robots","spotify:artist:16eRpMNXSQ15wuJoeqguaB","The Flaming Lips","2002-05-13","https://i.scdn.co/image/ab67616d0000b273ca69f52416a728ebd0b9103c","1","9","213173","https://p.scdn.co/mp3-preview/a737f6e3f1f350a6a7b2fdefbe16a530eab60355?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USWB10200893","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:2tVQhBSJ1SQtb4gX0taaiR","Jessica","spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR","Allman Brothers Band","spotify:album:51kF3pqbherdGJhcwKdmjC","Dreams","spotify:artist:4wQ3PyMz3WwJGI5uEqHUVR","Allman Brothers Band","1989-06-20","https://i.scdn.co/image/ab67616d0000b273df38b20327832dfc283fe2e0","3","9","450600","https://p.scdn.co/mp3-preview/708a589850fbd982a2c827175f1cbca89956be64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USPG19190006","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:54eZmuggBFJbV7k248bTTt","A Horse with No Name","spotify:artist:35U9lQaRWSQISxQAB94Meo, spotify:artist:0tcbedGX7n5UHrMhVsGmIU","America, George Martin","spotify:album:0E5IKYhiKgbYQkmfsFonbZ","America","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1972","https://i.scdn.co/image/ab67616d0000b273afb855e6461310dff4046c56","1","5","252239","https://p.scdn.co/mp3-preview/fd1339af75eb92bc03084e161ecf13f0a9d2c78c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USWB19901792","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:3arKRnq9OUd7yq6LRwVW8I","Soul to Squeeze","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:53tvjWbVNZKd3CvpENkzOC","Greatest Hits","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2003-11-18","https://i.scdn.co/image/ab67616d0000b2735590b4ee88187cb06a5b102d","1","5","289533","https://p.scdn.co/mp3-preview/1519600ac02a51ffcb99721c6fb2f92bc8920a2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB10102659","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:3OcBH9Vzd1UwJkQd3r1dVG","Journey of the Sorcerer - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:0F77QekrNe8vVAjU2sepja","One of These Nights (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1975","https://i.scdn.co/image/ab67616d0000b2735d0a8e54aba5181c79593b94","1","4","397160","https://p.scdn.co/mp3-preview/0d8cc40e5bfff055af4f814e478303d74595e18b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USEE11300347","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:5EugXICXL06waHgP4iTI58","Mrs. Robinson - Remastered","spotify:artist:6w7fc6IZlo5zwBaKT5jU1X","The Lemonheads","spotify:album:3AKjod7W29b6DQKwuInZji","It's A Shame About Ray (Expanded Edition)","spotify:artist:6w7fc6IZlo5zwBaKT5jU1X","The Lemonheads","1992","https://i.scdn.co/image/ab67616d0000b27392b65c451cdaa683e214ebb1","1","13","224480","https://p.scdn.co/mp3-preview/d7b6396ec403154a2fa8cb95f2362b762f04cea5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAT20706785","spotify:user:","2023-01-09T05:00:00Z"
"spotify:track:2jWuNKBlgkfb3M0WDKexY8","The Sinister Minister","spotify:artist:5Zmur9D9gpr6tXyDrpnbOe","Béla Fleck and the Flecktones","spotify:album:58VJzBF0hLb6ylVHdn1XB0","Bela Fleck and the Flecktones","spotify:artist:5Zmur9D9gpr6tXyDrpnbOe","Béla Fleck and the Flecktones","1990","https://i.scdn.co/image/ab67616d0000b2733ddcb5cc3ea8722358859ddd","1","5","276986","https://p.scdn.co/mp3-preview/a830961791072d3d36ef8c6d64c0dd14191c3610?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USWB19902367","spotify:user:","2023-01-09T05:00:00Z"
