"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6No4lfYMVCoTn5VL4qnmZ0","Dog Music (Background Music)","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","1","125183","https://p.scdn.co/mp3-preview/30ec2d5065ef6e4557deca4ab9cb96ecaa4a68a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USQY51724784","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:1HJn3xrv8c1HLryoswLEzm","Music for Dogs (Relaxing Music)","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","2","162191","https://p.scdn.co/mp3-preview/f31fccc280127c3caf62f23f06a0a81fe43ef72b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USQY51724785","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:2m4RcqAOIHMmwYfxyC914Z","Dog Music (Calm Music)","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","3","121656","https://p.scdn.co/mp3-preview/c04c18bdf3a2e74b5dd76bac2cbabb49b80e2972?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USQY51724786","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:7gYCAcq2OWkquKMlBkxU2D","Music for Dogs (Music for Sleeping)","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","4","163968","https://p.scdn.co/mp3-preview/a818ab72fb6b696cd4a00e0c318df33a8010fa3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USQY51724787","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:5F8jSb1G6o2iu7ev8BHsiF","Dog Music (Soothing Music)","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","5","133991","https://p.scdn.co/mp3-preview/736f9a7d8a82595383a3b75ce31467a372e9984e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USQY51724788","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:67uOh7q77VFIHIVIiIxFC8","Music for Dogs (Spa Music)","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","6","158423","https://p.scdn.co/mp3-preview/187c05be60feb685aee241047005beeb8a5e3fd8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USQY51724789","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:7hMnqejWMhnBGvG9IIWChB","Dog Music (Sleeping Music)","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","7","145583","https://p.scdn.co/mp3-preview/8beac86711ad136963763a3224cdfe914d661a8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USQY51724790","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:5AYNWKUTAEvIrcaJaTABe6","Music for Dogs (Guitar Music)","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","8","131976","https://p.scdn.co/mp3-preview/448ee15f6fdd62673623450ba3353e8780e47dac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USQY51724791","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:22oyFWS3EMqNtmPd9a5h82","Calm Music for Dogs","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","9","115103","https://p.scdn.co/mp3-preview/ccf1f3a4a17f1f7ed51cca7948432e621fce57a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USQY51724792","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
"spotify:track:22dKPcBILaTGRVSXBBkiyr","Dog Meditations","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","spotify:album:0qJXeKEqttxLJrTjTIzjOC","Dog Music: Relaxing Music for Dogs and Pets and Calm Sleeping Music for Dogs and Acoustic Guitar Music for Relaxation","spotify:artist:7faolmVD4RMkmZ84Zv18Cj","Dog Music","2017-03-04","https://i.scdn.co/image/ab67616d0000b273a7473f028a0418e0d3174f80","1","10","125688","https://p.scdn.co/mp3-preview/f5fd29391112d81a1a0338d8d63ed6fcb87e988e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USQY51724793","spotify:user:rob.bednark","2022-02-06T22:55:37Z"
