"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6KrAS01bPj0WiiOKysM8Ad","Raining in Osaka","spotify:artist:41e6Rrzj8r9fp2ngDHJbmA","Lofi Rain","spotify:album:4OvcVTbUoIPbu687gmwRNc","Rainy LoFi Music - Rain Ambience & Muffled Hip Hop Type Beat","spotify:artist:41e6Rrzj8r9fp2ngDHJbmA","Lofi Rain","2021-05-11","https://i.scdn.co/image/ab67616d0000b273b6ce903f837f1472c49c9779","1","7","166268","https://p.scdn.co/mp3-preview/2662f63c9a3afcd02b16dd84b5c46a525fa717a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","ITO102064377","spotify:user:rob.bednark","2021-11-12T05:56:23Z"
"spotify:track:4hObp5bmIJ3PP3cKA9K9GY","Don't Worry Be Happy","spotify:artist:2FjkZT851ez950cyPjeYid","Bobby McFerrin","spotify:album:4zhRkgoZKC2xCPPys1gK4b","Simple Pleasures","spotify:artist:2FjkZT851ez950cyPjeYid","Bobby McFerrin","1988-01-01","https://i.scdn.co/image/ab67616d0000b273a88b9eddbf3650ea0529f2cc","1","1","294400","https://p.scdn.co/mp3-preview/0ef0c4b86b30a73f06cbe4082129a34fd26f0be8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USEM38800361","spotify:user:rob.bednark","2021-11-12T05:56:46Z"
"spotify:track:3COOd5xqfP3VUeTZtUKcvD","Hand Clapping Song","spotify:artist:2JRvXPGWiINrnJljNJhG5s","The Meters","spotify:album:3rnBsVeezZtrGh8QU9nbzg","Struttin'","spotify:artist:2JRvXPGWiINrnJljNJhG5s","The Meters","1970","https://i.scdn.co/image/ab67616d0000b27316cfd0d4063fe072662cbdf8","1","7","176626","https://p.scdn.co/mp3-preview/1605f5292fd4baa217b80ebbd0eeca5109fb0ca0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USRH10164891","spotify:user:rob.bednark","2021-11-13T14:06:19Z"
"spotify:track:41yIvlFgvGwxq8qTqAR7eG","Bloom - Bonus Track","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:5l8axHOB8sCsWqfK5XVtbF","Woodland - EP","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2013-03-05","https://i.scdn.co/image/ab67616d0000b273fdf99e518793e96169b36948","1","6","210080","","false","4","TCAAZ1171906","spotify:user:rob.bednark","2021-11-13T14:06:30Z"
"spotify:track:0pQskrTITgmCMyr85tb9qq","Starman - 2012 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:48D1hRORqJq52qsnUYZX56","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1972-06-06","https://i.scdn.co/image/ab67616d0000b273c41f4e1133b0e6c5fcf58680","1","4","254293","https://p.scdn.co/mp3-preview/2e8bf798b95dc3d0a3770c2e7c694f5a23be6455?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USJT11200004","spotify:user:rob.bednark","2021-11-13T14:07:22Z"
"spotify:track:4gFB9xxwrJB0uIEPSquCTU","I Guess the Lord Must Be in New York City","spotify:artist:3RTzAwFprBqiskp550eSJX","Harry Nilsson","spotify:album:1lQCkCt8zS3ZWSIE0YAmKW","Harry","spotify:artist:3RTzAwFprBqiskp550eSJX","Harry Nilsson","1969-08-01","https://i.scdn.co/image/ab67616d0000b273d366312d6c048b5d2755692f","1","10","161266","https://p.scdn.co/mp3-preview/68d6c5441242f17507275dd7c9dc2a806d4dae62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USRC16901014","spotify:user:rob.bednark","2021-11-13T14:07:31Z"
"spotify:track:6MZcYc9Pmh5QfVAJUDRLIX","A Swingin' Safari","spotify:artist:2s6JabvZdqVQhfOsaxCSFX","Bert Kaempfert","spotify:album:1WuhfJk7fhSif4qkWL9Rh5","A Swingin' Safari (Remastered)","spotify:artist:2s6JabvZdqVQhfOsaxCSFX","Bert Kaempfert","1962-01-01","https://i.scdn.co/image/ab67616d0000b2730d25905c2a868dbbe80d7cac","1","1","187453","https://p.scdn.co/mp3-preview/f483a02a0a7f459f53d06835ac93a8c4b4827566?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","DEF066202180","spotify:user:rob.bednark","2021-11-13T14:07:36Z"
"spotify:track:1CCaratnF94HuFV5X3kGkO","Theme From ""A Summer Place""","spotify:artist:3llWEEOW2xNfiKsXXWjrwl, spotify:artist:24DQLSng7bKZD4GXLIaQbv","Max Steiner, Percy Faith & His Orchestra","spotify:album:4RQ5uJfZPSeerliWiK5CU6","Hearts in Atlantis - Motion Picture Soundtrack","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001-01-01","https://i.scdn.co/image/ab67616d0000b273f91dca208abef1dae4a7ebe2","1","8","140866","https://p.scdn.co/mp3-preview/fb8e08a87ef28e0810f903bdbc8c32b47f1875c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USSM10401918","spotify:user:rob.bednark","2021-11-13T14:07:53Z"
"spotify:track:5YbgcwHjQhdT1BYQ4rxWlD","Don't Worry Be Happy","spotify:artist:2FjkZT851ez950cyPjeYid","Bobby McFerrin","spotify:album:5QXK9xXDSYvSOXYSJHdwOD","The Collection","spotify:artist:2FjkZT851ez950cyPjeYid","Bobby McFerrin","1997-01-01","https://i.scdn.co/image/ab67616d0000b2734d502f3148f70459329e02fd","1","1","292400","https://p.scdn.co/mp3-preview/0ef0c4b86b30a73f06cbe4082129a34fd26f0be8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USEM38800361","spotify:user:rob.bednark","2021-11-13T14:08:01Z"
"spotify:track:05wIrZSwuaVWhcv5FfqeH0","Walking On Sunshine","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","spotify:album:1UQG78YJjaBySRMh0A8Uw7","Katrina & The Waves","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","1985","https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d","1","6","238733","https://p.scdn.co/mp3-preview/6cb4a8d8d730ce7cab873b966ea778fd3279d027?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USCA28500452","spotify:user:rob.bednark","2021-11-13T14:08:07Z"
