"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:29KwH2LEjfWEtiC2jCrLVw","Amore mio aiutami - Main Theme","spotify:artist:2WPn0emjr8XPmMOT0bBcPe","Piero Piccioni","spotify:album:5ekkoKz391PScKKZRCmgDF","Amore mio aiutami (Original Motion Picture Soundtrack)","spotify:artist:2WPn0emjr8XPmMOT0bBcPe","Piero Piccioni","1969","https://i.scdn.co/image/ab67616d0000b27317c654a194f193221964ec1a","1","1","234026","https://p.scdn.co/mp3-preview/36509f8aca76cfbc2d5b5173139c2dee33705350?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITF730701379","spotify:user:lidiaolteanu1","2020-11-22T20:39:18Z"
"spotify:track:4dlXhJtGR0h75DKkE4vlD2","So This Is Love","spotify:artist:4DovRSplr3yJIeE3r0RtHj, spotify:artist:4lwnV2S8BCbclu9nqBPGvI","Ilene Woods, Mike Douglas","spotify:album:5xvczxhRiO9eaHmHV3wl9m","Disney Princess - The Ultimate Song Collection","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2004-01-01","https://i.scdn.co/image/ab67616d0000b273ec35d0a51b90fb98b1c69dd2","1","7","92333","https://p.scdn.co/mp3-preview/82288c877aba4ddeaf0ced7f0d4e45435d268adf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USWD10323057","spotify:user:lidiaolteanu1","2020-11-22T20:41:25Z"
"spotify:track:0vzdqNBdQweIRsG6nzOhJU","Life","spotify:artist:7nzSoJISlVJsn7O0yTeMOB","Joe Hisaishi","spotify:album:0RkkwrIWDzsYSw11lmhNYx","The Tale of The Princess Kaguya Soundtrack","spotify:artist:7nzSoJISlVJsn7O0yTeMOB","Joe Hisaishi","2013-11-20","https://i.scdn.co/image/ab67616d0000b2733b1e604afbc923f677456d7d","1","7","59933","https://p.scdn.co/mp3-preview/94a85d87e160f906b4a088ee68125c54b0ca9d24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","JPTK01313950","spotify:user:lidiaolteanu1","2021-05-18T19:33:29Z"
"spotify:track:7FWzgURozs107VDfBbS0AL","Once Upon a Dream - From ""Sleeping Beauty"" / Soundtrack Version","spotify:artist:1qeo0u3hwxCBcYsn3a4kyo, spotify:artist:259T26oxdhM7losfoXOXOl, spotify:artist:1c4ltuRXEIo20Y9UOPxiA0","Mary Costa, Bill Shirley, Chorus - Sleeping Beauty","spotify:album:3eJzuQvZPM2TAF8mBkVAea","Disney Princesses","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-01-01","https://i.scdn.co/image/ab67616d0000b273ec3db35ec62e97c9fc392a2a","1","10","164853","https://p.scdn.co/mp3-preview/4fde26d433bd2fe3f48276f8f1159e284c9c9c50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USWD10110094","spotify:user:lidiaolteanu1","2020-11-22T20:42:18Z"
"spotify:track:4jNQkWhuzqrbqQuqanFFJ6","Where Is My Mind","spotify:artist:3NcPjvA2rp9FPj1JBAXwOS","Maxence Cyrin","spotify:album:21wMUhXhWLew2zsWQhlYEM","Novö Piano","spotify:artist:3NcPjvA2rp9FPj1JBAXwOS","Maxence Cyrin","2010-04-12","https://i.scdn.co/image/ab67616d0000b273142b21bd73f912e8dfd72ade","1","1","165160","https://p.scdn.co/mp3-preview/5bdd0eea8c436d1f9d3f7921acbc43e2290eeb12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","FR13Z0900040","spotify:user:lidiaolteanu1","2020-11-22T20:40:59Z"
"spotify:track:1F1Dm72g4B182v6jTj5Dm3","Une barque sur l'océan from Miroirs","spotify:artist:3wBPUdIKGpmOpm6EvuLKMj","André Laplante","spotify:album:7K0x1O9gqMQlDwbMkyCCIM","Call Me By Your Name (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-11-03","https://i.scdn.co/image/ab67616d0000b2730db3901606954f424070ff01","1","8","430567","https://p.scdn.co/mp3-preview/f35aaba0f6d7ae538f04240d5f010eaa600a1b6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USA370523048","spotify:user:lidiaolteanu1","2020-11-27T20:12:14Z"
"spotify:track:0AtVA7axXKVFnjQsN4xBIy","Dream","spotify:artist:5o8E07TcYqIefZpDejymAd","The Pied Pipers","spotify:album:0tn2qcrEjAcoBvWhZVZvjN","What is This Thing Called Love?","spotify:artist:5o8E07TcYqIefZpDejymAd","The Pied Pipers","1942-06-20","https://i.scdn.co/image/ab67616d0000b2730343f053ee05ce219f6c7ad3","1","8","168158","https://p.scdn.co/mp3-preview/f50ef5b701209493cd276edeec10905472264745?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","QM6N21864463","spotify:user:lidiaolteanu1","2020-11-22T20:45:23Z"
"spotify:track:1pGH8tHJuKp20xg248XowM","Almost in Your Arms","spotify:artist:5El7Fa5t7eVZyZKhsAixU7","Sophia Loren","spotify:album:1njS0efiEobNiJH8NetA58","Secrets of Rome","spotify:artist:5El7Fa5t7eVZyZKhsAixU7","Sophia Loren","1991","https://i.scdn.co/image/ab67616d0000b27379dd513c818b17e4dc568d77","1","8","170826","https://p.scdn.co/mp3-preview/a9e376397bc5eca231a3ed8e09ca1f8ef458f723?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","FR2X41530298","spotify:user:lidiaolteanu1","2020-11-22T20:45:36Z"
"spotify:track:6xAg1vsK3FXT8i8kD7Di4v","Alice in Wonderland","spotify:artist:1km0aro5NJuoX5dE0Mub5C","Joanna Wang","spotify:album:4Pj2h95IVuBhhbXSIaHm1k","午夜劇院","spotify:artist:1km0aro5NJuoX5dE0Mub5C","Joanna Wang","2014-03-25","https://i.scdn.co/image/ab67616d0000b273aab073bce7bdc84df58f3ced","1","1","258093","https://p.scdn.co/mp3-preview/308684b5ada4bda911054c5aea59a1b90b0f16a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","TWA471403001","spotify:user:lidiaolteanu1","2020-11-22T20:45:46Z"
"spotify:track:0NA09EJ4C7LwvI7CvtpdnV","Mystery of Love [Instrumental] - Live","spotify:artist:6jHxdfgCSYBho4FvOw1ErQ","Hannah Stater","spotify:album:7bhlKBsBFGs27uiuPjRc9w","Mystery of Love [Instrumental] (Live)","spotify:artist:6jHxdfgCSYBho4FvOw1ErQ","Hannah Stater","2020-02-26","https://i.scdn.co/image/ab67616d0000b273b91a16621e7ced5a1ab405bb","1","1","234302","https://p.scdn.co/mp3-preview/a1e12499f3225027564e85c8b284e0a15b0a8dbb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QZFZ52006855","spotify:user:lidiaolteanu1","2020-11-22T20:46:32Z"
"spotify:track:1e3hPMCGrwPXYZ1DQhsiCE","Fairytale","spotify:artist:1BxqJ6pOCi8mkSjCbFYjpW, spotify:artist:3EAHF3jdnHHdko5DBrhRUP","Harry Gregson-Williams, John Powell","spotify:album:6Hv7UZCLx4kCYZCY0kBbZc","Shrek (Original Motion Picture Score)","spotify:artist:1BxqJ6pOCi8mkSjCbFYjpW, spotify:artist:3EAHF3jdnHHdko5DBrhRUP","Harry Gregson-Williams, John Powell","2001-12-04","https://i.scdn.co/image/ab67616d0000b273277e28c3cc0bf36ffc97b415","1","1","86693","https://p.scdn.co/mp3-preview/e33bf4972d5b14bc25263ade83a74c4953e51f86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","US3M50130801","spotify:user:lidiaolteanu1","2020-11-22T20:48:20Z"
