"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5Bw7Nf4mJAOQMtb2Ir9uJX","Everybody Eats When They Come To My House","spotify:artist:03cwCzIWQ8BRmXjGPDAL04","Cab Calloway","spotify:album:3zO9pFMwLxJXH2Z7GSezXT","Hi De Ho Man","spotify:artist:03cwCzIWQ8BRmXjGPDAL04","Cab Calloway","1974-03-02","https://i.scdn.co/image/ab67616d0000b273f15b66d750637de9fedd9d2d","1","20","167266","https://p.scdn.co/mp3-preview/25da815dd609880b712375fa17b056df9a46a460?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSM10102108","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2C7A6Q8Im35rnZaOdt5jr8","One Mint Julep - 2007 Remaster","spotify:artist:0ckkj0a9CvIJr4h84B0OlN","The Clovers","spotify:album:39FLNjOqur5u3WbvsoFg6S","Down In The Alley: The Best Of The Clovers","spotify:artist:0ckkj0a9CvIJr4h84B0OlN","The Clovers","1991","https://i.scdn.co/image/ab67616d0000b27337bfe4cb33da15564f416306","1","1","150066","https://p.scdn.co/mp3-preview/910cfbe4168590589645fbd9073110105db3d3aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USAT20703257","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7xFNvVqufqwtbBP7zQSiS6","Hawk's Boogie","spotify:artist:56FeQ03tAPYJ2gwmGhrpbF","Erskine Hawkins","spotify:album:0349jaJFEzp3PNv6RwTmUR","Presenting After Hours","spotify:artist:56FeQ03tAPYJ2gwmGhrpbF","Erskine Hawkins","1947","https://i.scdn.co/image/ab67616d0000b2733a183737867c3c2a42d4f56c","1","2","178426","https://p.scdn.co/mp3-preview/83e22dd3f0b673dcc684f693b3442a1030d73134?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","DEZZ52173123","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1tx7llBKmFG4jCbfoc50YN","If I Had You","spotify:artist:33N6sGOKJwLGOnq31ZmEl1","Benny Goodman Sextet","spotify:album:2hcioj7Ylhau26ffRy9WE4","Small Groups: 1941-1945","spotify:artist:1pBuKaLHJlIlqYxQQaflve","Benny Goodman","1989-03-28","https://i.scdn.co/image/ab67616d0000b273df5b78cc30f28c52e64be2e9","1","1","181200","https://p.scdn.co/mp3-preview/dd91d6945bf079058396cb362e2061c1baa2b2a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM10025513","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7fHZYrMfkuIx8SBrkZGMcX","It Had To Be You","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","spotify:album:22j6P1Uwky141vdWj3ozKf","The Essential Artie Shaw","spotify:artist:5wam12nGWDBIrLDV78TNSF","Artie Shaw","2005-06-28","https://i.scdn.co/image/ab67616d0000b2731685f0950824f75a2d394c6c","2","4","148906","https://p.scdn.co/mp3-preview/13955acede58c611b72a8bcd1c5820fe60bcac5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USBB14101069","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0JisTodwlw4iokUY4zEfMb","Low Gravy","spotify:artist:0WdNVS1rOeusXfVUx3tYOL, spotify:artist:7B9i9Gl6Af1wPWjTD1VQMD","The Chenille Sisters, James Dapogny's Chicago Jazz Band","spotify:album:5dNGcfcZrAtb4QPXjsBZSb","Whatcha Gonna Swing Tonight? - With Jim Dapogny's Chicago Jazz Band","spotify:artist:0WdNVS1rOeusXfVUx3tYOL","The Chenille Sisters","1924","https://i.scdn.co/image/ab67616d0000b273fbd14266ad58c2cf75d5b0c4","1","11","133200","https://p.scdn.co/mp3-preview/989a2bf8f536ba45fea955cf417f211a993707bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","USRHR9205011","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3YB0DVr8wWLyZmGvnvkUdA","Young Man's Blues","spotify:artist:0sN4enVJwylJKEXZlSbgsm","Mose Allison","spotify:album:5a5XbcCrFeD24y2ZdUOhFL","Mose Allison Sings","spotify:artist:0sN4enVJwylJKEXZlSbgsm","Mose Allison","1963","https://i.scdn.co/image/ab67616d0000b273cb5eda628caf4eb34f5aa675","1","12","83613","https://p.scdn.co/mp3-preview/2f943d92d9e86f1973fdb857e49de233f657986b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USFI87300085","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ajmo6ZerrvGYzauLYHaPl","Sway Lake - Big Band Version","spotify:artist:0s99vDYatcM8lspzPvbuRb, spotify:artist:5G49Sq5mMzAkGL4ZP6eVPY","Ethan Gold, The Staves","spotify:album:0CILeEKD6yKRbZ6tCmnncP","The Song of Sway Lake (Original Motion Picture Soundtrack)","spotify:artist:0s99vDYatcM8lspzPvbuRb","Ethan Gold","2018-09-21","https://i.scdn.co/image/ab67616d0000b27309f99e157b235cc81572ddeb","1","2","133108","https://p.scdn.co/mp3-preview/c1697441873b4421cfc84e4e91770afa8c1a1b85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USSBF1801002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5fixhXm5otdxLmMbcfOZ4I","Louisiana","spotify:artist:4BfUHTiOoOcunsrw4mS2HU","Percy Mayfield","spotify:album:7oD8K0s2rvJ53vjLurRLNf","Poet Of The Blues","spotify:artist:4BfUHTiOoOcunsrw4mS2HU","Percy Mayfield","1990-01-01","https://i.scdn.co/image/ab67616d0000b273bee0ac197bd9496d26f49858","1","17","125066","https://p.scdn.co/mp3-preview/6d981f7fd346bc176fc62fe29b8d3506ffba5293?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USSPI5200005","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3XDharvL8vEyxdQwOQKmww","On the Sunny Side of the Street (From ""Is Everybody Happy?"")","spotify:artist:4WoGga7UeRcmjD4ufif4nG","Tommy Dorsey","spotify:album:6TR1Y1qDb1bdZUcDtSvZgw","The Sentimental Gentleman Of Swing - The Tommy Dorsey Centennial Collection","spotify:artist:4WoGga7UeRcmjD4ufif4nG","Tommy Dorsey","1925","https://i.scdn.co/image/ab67616d0000b273672f86dd8f00de980c46030c","2","17","194320","https://p.scdn.co/mp3-preview/330cd6d2c25e6bcc2690d3602d257adba087d487?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USBB14401016","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:62eAoNfrrS84177LOzJMQx","Papa Loves Mambo","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","spotify:album:3Eg4Laj6Pm6GwV6VF2I1Q8","Pure Gold","spotify:artist:5v8jlSmAQfrkTjAlpUfWtu","Perry Como","1975-09-30","https://i.scdn.co/image/ab67616d0000b273f59578709fd742ab6a48dccb","1","9","162106","https://p.scdn.co/mp3-preview/be084c29e6b55bc8156b912c6b70ae9f31193a2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USRC15404658","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2r6Ve8kNEzqg3u45UL0muX","Big Chief - Remastered","spotify:artist:2RyY5yFlJh6jIPfMDhHgyD","Professor Longhair","spotify:album:06pOxWHDhPhmyVGkWRqw4T","Crawfish Fiesta (Remastered with Bonus Track)","spotify:artist:2RyY5yFlJh6jIPfMDhHgyD","Professor Longhair","1980","https://i.scdn.co/image/ab67616d0000b273912fee6f3dd1f3cedcf9e483","1","1","194666","https://p.scdn.co/mp3-preview/0be53e0d728395121f49a09139ea0ddafd7bd2e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USARL1271801","spotify:user:","1970-01-01T00:00:00Z"
