"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:local:Arthur+%22Guitar+Boogie%22+Smith%2FKirk+McGee%2FSam+McGee:Close+to+Home%3A+Old+Time+Music+From+Mike+Seeger%27s+Collection+%281952-1967%29:Black+Mountain+Rag:141","Black Mountain Rag","","Arthur ""Guitar Boogie"" Smith/Kirk McGee/Sam McGee","","Close to Home: Old Time Music From Mike Seeger's Collection (1952-1967)","","","","","0","0","141000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:The+Stanley+Brothers:Appalachian+Stomp%3A+Bluegrass+Classics:Orange+Blossom+Special:189","Orange Blossom Special","","The Stanley Brothers","","Appalachian Stomp: Bluegrass Classics","","","","","0","0","189000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::5.+Bankhead+Blues__01:82","5. Bankhead Blues__01","","","","","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::7.+Chelsey%27s+Dream:82","7. Chelsey's Dream","","","","","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::6.+Ninth+of+June+Serenade:82","6. Ninth of June Serenade","","","","","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::2.+Sarah%27s+Waltz:82","2. Sarah's Waltz","","","","","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::Shufflin%27NewWFade:151","Shufflin'NewWFade","","","","","","","","","0","0","151000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::1.+Sinai+Summit:82","1. Sinai Summit","","","","","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::8.+Steeley+Rag:82","8. Steeley Rag","","","","","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::4.+Tipioshi+Breakdown:82","4. Tipioshi Breakdown","","","","","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:::3.Yearlings+in+the+Canbreak:82","3.Yearlings in the Canbreak","","","","","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
