"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Bold+Fisherman:178","Bold Fisherman","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","178000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:My++Bonny:234","My  Bonny","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","234000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Shenandoah+%28p.+12%29:130","Shenandoah (p. 12)","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","130000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Crawdad:183","Crawdad","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","183000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Home+on+the+Range+%28p.22%29:169","Home on the Range (p.22)","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","169000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:When+Johnny+Comes+Marching+Home+Again:115","When Johnny Comes Marching Home Again","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","115000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Down+in+the+Valley:268","Down in the Valley","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","268000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Shady+Grove:147","Shady Grove","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","147000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Wade+in+the+Water:126","Wade in the Water","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","126000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Do%2C+Lord:139","Do, Lord","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","139000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Kumbaya:167","Kumbaya","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","167000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Dona+Nobis+Pacem:113","Dona Nobis Pacem","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","113000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Alouette:141","Alouette","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","141000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:John+B.:187","John B.","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","187000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Hey+Ho%2C+Nobody%27s+Home:171","Hey Ho, Nobody's Home","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","171000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Folk+Songs+for+Schools+and+Camps+%286%2F13%2F2005+3%3A57%3A56+PM%29:Loch+Lomond:243","Loch Lomond","","","","Folk Songs for Schools and Camps (6/13/2005 3:57:56 PM)","","","","","0","0","243000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
