"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Back+Up+and+Push:47","Back Up and Push","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","47000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Old+Joe+Clark:48","Old Joe Clark","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","48000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Soldier%27s+Joy:93","Soldier's Joy","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","93000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Matt+Cranitch:The+Art+of+Traditional+Fiddle-playing:The+Connachtman%27s+Rambles:52","The Connachtman's Rambles","","Matt Cranitch","","The Art of Traditional Fiddle-playing","","","","","0","0","52000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Red+Wing:50","Red Wing","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","50000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local::Unknown+Album+%286%2F16%2F2005+7%3A34%3A10+AM%29:Red+Wing+%5Bfiddle%5D:82","Red Wing [fiddle]","","","","Unknown Album (6/16/2005 7:34:10 AM)","","","","","0","0","82000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Ray+%22Lost+John%22+Koken%2FWalt+Koken:Close+to+Home%3A+Old+Time+Music+From+Mike+Seeger%27s+Collection+%281952-1967%29:Red+Wing:53","Red Wing","","Ray ""Lost John"" Koken/Walt Koken","","Close to Home: Old Time Music From Mike Seeger's Collection (1952-1967)","","","","","0","0","53000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Arthur+%22Guitar+Boogie%22+Smith%2FKirk+McGee%2FSam+McGee:Close+to+Home%3A+Old+Time+Music+From+Mike+Seeger%27s+Collection+%281952-1967%29:Black+Mountain+Rag:141","Black Mountain Rag","","Arthur ""Guitar Boogie"" Smith/Kirk McGee/Sam McGee","","Close to Home: Old Time Music From Mike Seeger's Collection (1952-1967)","","","","","0","0","141000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:The+Stanley+Brothers:Appalachian+Stomp%3A+Bluegrass+Classics:Orange+Blossom+Special:189","Orange Blossom Special","","The Stanley Brothers","","Appalachian Stomp: Bluegrass Classics","","","","","0","0","189000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Dill+Pickle+Rag:95","Dill Pickle Rag","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","95000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Ragtime+Annie:112","Ragtime Annie","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","112000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Sally+Ann+or+Sail+Away+Ladies:41","Sally Ann or Sail Away Ladies","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","41000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
"spotify:local:Craig+Duncan:FamousFiddlin%27+Tunes:Sally+Goodin:133","Sally Goodin","","Craig Duncan","","FamousFiddlin' Tunes","","","","","0","0","133000","","false","0","","spotify:user:","1970-01-01T00:00:00Z"
