"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1Sf7vABiyacnUphBg9GUaa","Shamen's Dream","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","2","438146","https://p.scdn.co/mp3-preview/9e7fb3e6520065edb7ab80ac0f836de8edcc51ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","US2H50910254","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:5hiPjbfL1NV64jI0RxAKtl","Medicine Men's Dream","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","3","512000","https://p.scdn.co/mp3-preview/580061db5dc30b3c3f4dc1c8a175d6b2c44ff250?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","US2H50910255","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:1MZJZFR8HsjQUlNqAzTJDM","Sunchasers IV","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","5","253000","https://p.scdn.co/mp3-preview/c9ae39ae3fae4758e0d4b78d0453a7c12174e3ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","US2H50910257","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:0FRaMbK2vyAckpZKSn8Q2s","Night World","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","6","178240","https://p.scdn.co/mp3-preview/92d760ed4b44fd063bd332249552af9f20c0691e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","US2H50910258","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:5S1iQlqRqNJ7ZDfLo1FlQT","Guardian Creatures","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","7","520906","https://p.scdn.co/mp3-preview/a7fb7caf5d50d7fdece07ab13c078a46eedbc0bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","US2H50910259","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:3IYOIors9bP8CYhJfK4V9j","Dream Apprentice","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","8","525320","https://p.scdn.co/mp3-preview/e4a860480ebb886c49fc6d6bdcd5036958a473a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","US2H50910260","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:4GV9zwvnVhBilPbKeNxz4N","Fasting Season","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","9","547506","https://p.scdn.co/mp3-preview/fb796796771a0ea615f7335c3dda9d42d7c903a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","US2H50910261","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:38RLuW2Vi1b1YJ6Ys1x2Ap","Dreamer's Quest","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","10","568893","https://p.scdn.co/mp3-preview/3cf960bc58d3bdd5221b367eb641b46605772f0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","US2H50910262","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:3J3l29odk9ueKb5fj0IXPq","Healing Sleep","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","11","123000","https://p.scdn.co/mp3-preview/4ff0a8b639bb6236a649da32c9081940730971bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","US2H50910263","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
"spotify:track:70KfrvHS9shEnqgZgONaUl","Dreamer's Ceremony","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","spotify:album:6P3GBa1Wvp7Jrk9vswc7S8","NATIVE NOCTURNES - Native Flute Music for Sleep, Yoga & Massage","spotify:artist:4N57Ev9G6CQqREsZCIrcfL, spotify:artist:3c1jNtzb2xmmwXIcMLEoPK","Jessita Reyes, Native Flute Ensemble","2009-07-25","https://i.scdn.co/image/ab67616d0000b2737cea328867a161b5291dc63d","1","12","153520","https://p.scdn.co/mp3-preview/20d61f54777f5679e77c084e9def8a29d99546a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","US2H50910264","spotify:user:lobbylivingroom","2016-04-21T16:44:57Z"
