"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2nqmsXgFIRMbs9WjwY0bFf","Partita in A Minor, BWV 1013: I. Allemande","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:7mLVtSPFDG0vpCzBzT3n10","Johann Sebastian Bach, Verena Fischer","spotify:album:4I1wW7AYzZZ634UM1XODYF","Bach: Die Authentischen Flötensonaten","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:7mLVtSPFDG0vpCzBzT3n10","Johann Sebastian Bach, Verena Fischer","2013-07-30","https://i.scdn.co/image/ab67616d0000b2738d57f61bc8091775e1a5c9ba","1","15","320253","https://p.scdn.co/mp3-preview/d9d1c5b5de87707afbb5f8183744c5c503183041?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","DEU921242415","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4xnEoHwt5z6BK2AR0JjjSy","Sinfonia melodica in C Major, TWV 50:2: VI. Chaconnette","spotify:artist:2fg5h5pzleqI4RjFopWroj, spotify:artist:0eGBLhQIV1k65jqfeIqkM2, spotify:artist:3SZwKVguv7TcOwI8cijYTM","Georg Philipp Telemann, Indianapolis Baroque Orchestra, Barthold Kuijken","spotify:album:1KYduuF73q2mCqoeEWmpw9","The Colorful Telemann","spotify:artist:2fg5h5pzleqI4RjFopWroj, spotify:artist:0eGBLhQIV1k65jqfeIqkM2, spotify:artist:3SZwKVguv7TcOwI8cijYTM","Georg Philipp Telemann, Indianapolis Baroque Orchestra, Barthold Kuijken","2020-07-24","https://i.scdn.co/image/ab67616d0000b2734f9820ec70f7f806f9ca3f4f","1","20","68840","https://p.scdn.co/mp3-preview/18e7e119fdc4debf834945b8a2228302a47d2415?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","HKI191919320","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1mllGqSPfzo7fh0KAOevc0","Concerto For Strings In D Minor, RV 128: II. Largo","spotify:artist:2G0K3QWu3LMZt2Nr8boi0q, spotify:artist:2QOIawHpSlOwXDvSqQ9YJR","Sonatori de la Gioiosa Marca, Antonio Vivaldi","spotify:album:1zEaOduooTHBpcEcmbUikO","Vivaldi: 4 Seasons (The)(Sonatori De La Gioiosa Marca)","spotify:artist:2G0K3QWu3LMZt2Nr8boi0q","Sonatori de la Gioiosa Marca","2009-11-17","https://i.scdn.co/image/ab67616d0000b2739fe2f5fbc96a5faf5b7c4697","1","17","80466","https://p.scdn.co/mp3-preview/624f395d73cb4e505f27087784b8260ed138fcd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","DeAD67940417","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2LYHlX00s7NTqWVrKu7xOE","Concerto Grosso In D Major, Op. 6, No. 1 : I. Largo","spotify:artist:5dmMpIyAVaH6b9FLFgWPrF, spotify:artist:3BzKyqNMOwglJO81ACeJd0, spotify:artist:4DoMjRMwRlUgoty6kY8HS5, spotify:artist:3g5uuDyMIsM4VmILa8WSuG, spotify:artist:0ftDx0JPUwSuW3a8ivF0tE, spotify:artist:3COykW4UPvB0DqwnzlnfWt","Arcangelo Corelli, Ludovit Kanta, Quido Holbling, Anna Holbling, Daniela Ruso, Capella Istropolitana","spotify:album:5emNyTE3FAXRUgeOVujFLv","Corelli: Concerti Grossi, Op. 6, Nos. 1-6","spotify:artist:5dmMpIyAVaH6b9FLFgWPrF","Arcangelo Corelli","1990-12-12","https://i.scdn.co/image/ab67616d0000b273520fd0968a04672b74683fb4","1","1","68493","https://p.scdn.co/mp3-preview/51216b9d3e0765dfa25fda3f591121f3cc2e4e22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","HKI199239001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3OSBkT1q8dSQR7q5xJlR2p","Suite in G Major, RCT 6: No. 14, Les sauvages - Arr. for Solo Cello - Nouvelles suites de pièces de clavecin","spotify:artist:4JSWO1Pf2zV991fq64uAce, spotify:artist:5nRDtK82lHmYRXnKjAzI9j","Jean-Philippe Rameau, Christian-Pierre La Marca","spotify:album:1u0HJYGa4BzdwqC2moH9ji","Cello 360","spotify:artist:5nRDtK82lHmYRXnKjAzI9j","Christian-Pierre La Marca","2020-11-27","https://i.scdn.co/image/ab67616d0000b273111c8e100f7cf285299a0a45","1","4","146960","https://p.scdn.co/mp3-preview/3e79e9893d6d734ca67678310fd717ec1d1ed6e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","FRZ132010040","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3xGjftrVYEbXopHqiOLI6Z","Concerto Saint Marc: III. Andante","spotify:artist:17OArJzEhRR3OmhtGcnfBq, spotify:artist:5DRFrO4VmVvlKM1TU69G7H, spotify:artist:6F9v3VTu3WWQpBuNQd3l6r","Tomaso Albinoni, John Roderick MacDonald, Martin Stephan","spotify:album:75a1BjkxjfhH2EnCIf7HWq","Festliche Musik Fur Trompete Und Orgel (Festive Music for Trumpet and Organ)","spotify:artist:5DRFrO4VmVvlKM1TU69G7H","John Roderick MacDonald","2003-11-30","https://i.scdn.co/image/ab67616d0000b273a03a65e3eb180acf412e375d","1","6","72600","https://p.scdn.co/mp3-preview/d1ccd4736985198762ee6653a489105892003a10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","HKI190800206","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7r73rdVrcssc2lG4hn2JYk","Matthäuspassion, BWV 244: Aria: Da Jesus diese Rede vollendet hatte (Evangelist, Jesus)","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:0CHZkVuOZd7NRsP28R3LY0, spotify:artist:6e0uL7Sy19UeYHxeoiXKXJ, spotify:artist:6cMjCqXVEAqDZdiobyEkug, spotify:artist:2A5MfDq59CDZg119HhLcT7","Johann Sebastian Bach, Raimund Nolte, Nico Van Der Meel, Kolner Kammerorchester, Helmut Muller-Bruhl","spotify:album:4FqaJh7AsWgsUcuoakPz34","J.S. Bach: Matthäuspassion, BWV 244","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:6cMjCqXVEAqDZdiobyEkug, spotify:artist:2A5MfDq59CDZg119HhLcT7","Johann Sebastian Bach, Kolner Kammerorchester, Helmut Muller-Bruhl","2005-11-01","https://i.scdn.co/image/ab67616d0000b273449d6c2d61ee1d01afae40ff","1","2","36426","https://p.scdn.co/mp3-preview/950c5c41fa7867224b172d241a66bb69ad678d6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","HKI190584402","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7KHG8MHzxAv0YnLFBWY9Y1","Le bourgeois gentilhomme: Chaconne des Scaramouches, Frivelins et Arlequins","spotify:artist:19v0Cnq5D4SKom8SVlXhkw, spotify:artist:1Jbs6oNceL2of2OqAsAEHb, spotify:artist:645U6IEea3yU2rOfrljpzJ, spotify:artist:2KXYFI4KgMpIDpkHisArTk, spotify:artist:6PwinjxhkFHQ9GqZjdBm3s","Jean-Baptiste Lully, Mary Enid Haines, Sharla Nafziger, Aradia Ensemble, Kevin Mallon","spotify:album:2CGg9uQGSOcgwuaNkgzT8b","Lully: Ballet Music for the Sun King","spotify:artist:19v0Cnq5D4SKom8SVlXhkw","Jean-Baptiste Lully","1998-05-04","https://i.scdn.co/image/ab67616d0000b2738e0fadf0ac422911ca4fbb15","1","1","88160","https://p.scdn.co/mp3-preview/f98a3ca978f2d9e0f9c2f9880d35323dba558385?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","HKI199710501","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5eqhhghDRfP4hVqBTTxUv5","16 Waltzes, Op. 39 (1867 version): No. 3 in G-Sharp Minor","spotify:artist:5wTAi7QkpP6kp8a54lmTOq, spotify:artist:5SBOWUBQdfga0xprPVBxOr","Johannes Brahms, Idil Biret","spotify:album:68eCLrmTo4kplm2mMASwW2","Brahms: Waltzes / Cadenzas / Die Schone Magelone","spotify:artist:5wTAi7QkpP6kp8a54lmTOq, spotify:artist:5SBOWUBQdfga0xprPVBxOr","Johannes Brahms, Idil Biret","1995-12-31","https://i.scdn.co/image/ab67616d0000b2738965fca922f8a91e87fab640","1","7","52200","https://p.scdn.co/mp3-preview/76f2525730f57f178b55827e1b2f1a8a23d32e73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","HKI199225707","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4NgkHaeIf8CNBuMxz3ZT32","Sonata in D Major, No. 1: III. Allegro","spotify:artist:5dmMpIyAVaH6b9FLFgWPrF, spotify:artist:7ogL64FibITJvIZLqp14il, spotify:artist:3CkHdpbn1xUU7Z4sauEwne","Arcangelo Corelli, Lucy van Dael, Bob van Asperen","spotify:album:0W4Y7TvPijl0IhPQzr3rjj","Corelli: Violin Sonatas Nos. 1-6, Op. 5","spotify:artist:5dmMpIyAVaH6b9FLFgWPrF","Arcangelo Corelli","2004-12-19","https://i.scdn.co/image/ab67616d0000b273eeee2ab11507f16230573c2e","1","3","65920","https://p.scdn.co/mp3-preview/f15cb38e448c517838123209da21287147dde422?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","HKI190239703","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4vFEiNPUaEvfWnHwVRa0Kq","13 Pieces, Op. 76: No. 2. Etude","spotify:artist:7jzR5qj8vFnSu5JHaXgFEr, spotify:artist:7KmdcfQ5slIF0H8Smd0Tyq","Jean Sibelius, Olli Mustonen","spotify:album:5EI8Glh1bhJwkZ6XlzpoGl","Sibelius, J.: 10 Pieces / Jaakarien Marssi / 13 Pieces / 2 Rondinos / 10 Little Pieces","spotify:artist:7jzR5qj8vFnSu5JHaXgFEr, spotify:artist:7KmdcfQ5slIF0H8Smd0Tyq","Jean Sibelius, Olli Mustonen","2002-01-01","https://i.scdn.co/image/ab67616d0000b2736f09f01e09042b99aa31cda4","1","12","72106","https://p.scdn.co/mp3-preview/3ee7302a56d06c51e8328d54b6f76706aa6bc627?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","FINDE0200079","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2DXLtZk2lpilXIdtZiJuTD","Lieder ohne Worte, Op. 19: No. 6 Andante sostenuto ""Venetianisches Gondellied"" (Arr. Ottensamer for Clarinet and Strings)","spotify:artist:6MF58APd3YV72Ln2eVg710, spotify:artist:2ArlRtVzTxoRTY58C8kA0T, spotify:artist:0QyOyCDcUJxl5IEHV5Ybsr, spotify:artist:4O1jqTRm1Z8JqBZ6onpeua","Felix Mendelssohn, Andreas Ottensamer, Schumann Quartett, Gunars Upatnieks","spotify:album:2RBj7WLfTuFYbPLJKHRbPA","Blue Hour: Mendelssohn Edition","spotify:artist:6MF58APd3YV72Ln2eVg710, spotify:artist:2ArlRtVzTxoRTY58C8kA0T, spotify:artist:7HUNjWo242UAVHZvj9zk4w, spotify:artist:374U7fciZF54RvuwwZY3bR, spotify:artist:0QyOyCDcUJxl5IEHV5Ybsr, spotify:artist:4O1jqTRm1Z8JqBZ6onpeua","Felix Mendelssohn, Andreas Ottensamer, Yuja Wang, Julien Quentin, Schumann Quartett, Gunars Upatnieks","2021-06-18","https://i.scdn.co/image/ab67616d0000b2735c86bcd00b8dbb0c2ae42368","1","1","110640","https://p.scdn.co/mp3-preview/203529694d7cd9fb5c705e12a5b0fe0d66326183?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","DEN962004660","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3kvBEbswxMAx6QKc10SCon","Overture (Suite) No. 2 in B Minor, BWV 1067: VII. Badinerie","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:16WKM2I7sY0uccRe5tlRc6, spotify:artist:2A5MfDq59CDZg119HhLcT7","Johann Sebastian Bach, Cologne Chamber Orchestra, Helmut Muller-Bruhl","spotify:album:3AvGH9V6SzXnIEppm6YtRF","Bach: Overtures (Suites) Nos. 1-4","spotify:artist:5aIqB5nVVvmFsvSdExz408, spotify:artist:16WKM2I7sY0uccRe5tlRc6, spotify:artist:2A5MfDq59CDZg119HhLcT7","Johann Sebastian Bach, Cologne Chamber Orchestra, Helmut Muller-Bruhl","2000-12-02","https://i.scdn.co/image/ab67616d0000b273459844a3a48996cee40e25f0","1","14","90106","https://p.scdn.co/mp3-preview/c74b07e05e0562fac0573de99cb42d00e041a123?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","HKI199911314","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:13zyfbzt2PiYo2RjjJMCsb","The Well-Tempered Clavier, Book 1, BWV 846-869: Prelude No. 1 in C major, BWV 846","spotify:artist:4NZRSSWL98NOusNDAzbfD3","Luc Beauséjour","spotify:album:4USlR6ZCJvWcTjJssA4ncU","Bach, J.S.: The Well-Tempered Clavier , Book I","spotify:artist:4NZRSSWL98NOusNDAzbfD3","Luc Beauséjour","2007-03-27","https://i.scdn.co/image/ab67616d0000b27339c45fd395983014f0bf1eab","1","1","117866","https://p.scdn.co/mp3-preview/081efa56f7fa6fbdee2b1c4b04ea7889cd4aa405?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","HKI190646601","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:70p8XG5Xgjk7OXnt3R2gIb","16 Waltzes, Op. 39 (Version for Piano Duet): No. 15 in A-Flat Major","spotify:artist:5wTAi7QkpP6kp8a54lmTOq, spotify:artist:2bfIoIZNRZXG8V7i1yCQIM, spotify:artist:6R53F11RmKgNnHH82MYGjB","Johannes Brahms, Yaara Tal, Andreas Groethuysen","spotify:album:124rEkhLGr2blnvf1G7okb","Brahms: Hungarian Dances No. 1-21; Waltzes, Op. 39 for Piano for Four Hands","spotify:artist:5wTAi7QkpP6kp8a54lmTOq, spotify:artist:3jcDwPU3uLhLAt5WZR1suZ","Johannes Brahms, Tal & Groethuysen","1993","https://i.scdn.co/image/ab67616d0000b27332857e460601b6deb0b56102","1","36","81800","https://p.scdn.co/mp3-preview/be5de83157f598cb8edc4c52e4c42c57f3d708a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USSM19200658","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4bVgxlsGp0a2lbr3piIfAf","Concerto Grosso In D Major, Op. 6, No. 1 : II. Allegro","spotify:artist:5dmMpIyAVaH6b9FLFgWPrF, spotify:artist:0ftDx0JPUwSuW3a8ivF0tE, spotify:artist:4DoMjRMwRlUgoty6kY8HS5, spotify:artist:3g5uuDyMIsM4VmILa8WSuG, spotify:artist:3BzKyqNMOwglJO81ACeJd0, spotify:artist:3COykW4UPvB0DqwnzlnfWt","Arcangelo Corelli, Daniela Ruso, Quido Holbling, Anna Holbling, Ludovit Kanta, Capella Istropolitana","spotify:album:5emNyTE3FAXRUgeOVujFLv","Corelli: Concerti Grossi, Op. 6, Nos. 1-6","spotify:artist:5dmMpIyAVaH6b9FLFgWPrF","Arcangelo Corelli","1990-12-12","https://i.scdn.co/image/ab67616d0000b273520fd0968a04672b74683fb4","1","2","81773","https://p.scdn.co/mp3-preview/c72d86493324cdd704cfbe957bdad95c29cfadcb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","HKI199239002","spotify:user:","1970-01-01T00:00:00Z"
