"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:22ex25PVp1qaQvPrypnOOS","Les jolis yeux de maîtresses","spotify:artist:3lmxEu2vEWAdQyxWv2XEu4","Maurice Alexander","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","1","153893","","false","0","NLG620446217","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:2kZhk4l64qM2qk7e0oZ2jz","Un coin tout bleu","spotify:artist:3lmxEu2vEWAdQyxWv2XEu4","Maurice Alexander","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","2","158600","","false","0","NLG620446218","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:3aqmFwia5jOuSgLDYZzdgR","Un...deux...toute la compagnie","spotify:artist:2BBCYSLMv2Jist7IBDolP6","André Bastien","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","3","193133","","false","0","NLG620446219","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:4LGchGF5ZrJiZLYIygT4VV","Dans les musettes de Paris","spotify:artist:4ov5RoP8TBcXovdG53I1fX","Germaine Béria","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","4","189000","","false","0","NLG620446220","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:4uQWzuOsAPdnWEbzxIXGol","Émilienne","spotify:artist:4HrL6DUjpqxopyWJd1lV87","The Bijou Accordeon Orchestra","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","5","181133","","false","0","NLG620446221","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:4bxEvWKBKb9KFadRWmuMQd","C'était un musicien","spotify:artist:7mTi6cs8EFzJzwZysrgD6w","Albert Carrara","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","6","192240","","false","0","NLG620446222","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:1F7vfX4jIaRtKGEW4lohEe","La valse de tourbillon","spotify:artist:7mTi6cs8EFzJzwZysrgD6w","Albert Carrara","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","7","192693","https://p.scdn.co/mp3-preview/e8c19f0c48c0249e13f093deac75a8113bafa302?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","NLG620446223","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:5JiGbE9vKQc2x3I6c26v3j","Aubade d'oiseaux","spotify:artist:2h4nTJAodxG6mJZEjtzhJf","Gigetto Costoncelli","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","8","155706","","false","0","NLG620446224","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:3By5NYmwIe4aESC4EBeMqr","Je rêve d'un guinguette","spotify:artist:5xvDhRpAmWNz4evqdONCax","Jane Chacun","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","9","149066","","false","0","NLG620446225","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
"spotify:track:1mB3ELgqf8fFZf7WZRHJ4e","Grisante folie","spotify:artist:5l42OxWX2o7QhYCEon8Glq","Constantino","spotify:album:0qXwFugBoR9zNnGQW8AeNI","Le Meilleur de Accordéon Musette, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-11-08","https://i.scdn.co/image/ab67616d0000b273a04257c6bd309ff28472ca77","1","10","172333","","false","0","NLG620446226","spotify:user:rob.bednark","2013-07-27T23:55:21Z"
