"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6DbGjsyTnxfG5okDQu1rAU","Gaspard de la nuit, M. 55: I. Ondine","spotify:artist:17hR0sYHpx7VYTMRfFUOmY, spotify:artist:1UvH0q6XRNl02Pfw80ib7r","Maurice Ravel, Ivo Pogorelich","spotify:album:5DiCgO6trcxIMjIP8mrUNS","Ravel: Gaspard de la Nuit / Prokofiev: Piano Sonata No.6","spotify:artist:1UvH0q6XRNl02Pfw80ib7r","Ivo Pogorelich","1984-01-01","https://i.scdn.co/image/ab67616d0000b2736e5d2bbe273f958595708a5d","1","1","439240","https://p.scdn.co/mp3-preview/db56ee2065f200c8afc8cf43ebf5585f74476491?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","DEF058202501","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:06TWNfRl1gAxrazHBcc4TV","For Children, Vol. 1, Sz. 42 (Excerpts): No. 17, The Young Bride. Adagio [Original Version]","spotify:artist:5zyNXVd952fWOjkdGHCvPd, spotify:artist:6ozAtG2j28MyMYvSmNaQMA","Béla Bartók, Fülöp Ránki","spotify:album:0Qj0JIJC9H7DSTJgdrSMbp","Bartók: Piano Works","spotify:artist:5zyNXVd952fWOjkdGHCvPd, spotify:artist:6ozAtG2j28MyMYvSmNaQMA","Béla Bartók, Fülöp Ránki","2021-12-03","https://i.scdn.co/image/ab67616d0000b2739ba7f8d4d73c109135eb5341","1","7","70666","https://p.scdn.co/mp3-preview/64a42bf084a26f992ff26ec9d361d22234cebd7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","HKI192105507","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6Qb5VHr0nbvrSGW7I7sH8p","Visions Fugitives, Op. 22: 1. Lentamente","spotify:artist:4kHtgiRnpmFIV5Tm4BIs8l, spotify:artist:3I13TOeCYETZAW9BtGnHvR","Sergei Prokofiev, Anna Gourari","spotify:album:16vEZJwRoyWuzL15o8y6cR","Visions fugitives","spotify:artist:4kHtgiRnpmFIV5Tm4BIs8l, spotify:artist:3I13TOeCYETZAW9BtGnHvR","Sergei Prokofiev, Anna Gourari","2014-11-07","https://i.scdn.co/image/ab67616d0000b27311a4d402d33209cbe34d17ca","1","1","96773","https://p.scdn.co/mp3-preview/a1a2c34d5f38f75dabe89a0a777a0549f113f1bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","DEB331338401","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5i2SrkKMPRSgKosCNhZG4G","Carnaval, Op. 9: No. 12. Chopin","spotify:artist:2UqjDAXnDxejEyE0CzfUrZ, spotify:artist:6DJ974Gf11OtDblQklBHPX","Robert Schumann, Boris Giltburg","spotify:album:6KX1EazmfugSG0FPBfAqQN","Schumann: Carnaval, Davidsbündlertänze & Papillons","spotify:artist:2UqjDAXnDxejEyE0CzfUrZ, spotify:artist:6DJ974Gf11OtDblQklBHPX","Robert Schumann, Boris Giltburg","2015-02-03","https://i.scdn.co/image/ab67616d0000b273345dd670c3f57d1e71152ee0","1","42","81893","https://p.scdn.co/mp3-preview/3056131a76a8136fe2a5ce0c3dba33416c80e0e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","HKI191427142","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6bQY1ycex7i79COB4dEqN1","Douze valses, Le ruban dénoué: No. 1, Décrets indolents du hasard","spotify:artist:6Eu8djOGFxGaykaqJlbzEf, spotify:artist:5KvXtACyBFALB9l4pE5gzj, spotify:artist:22B1T23YzVRPPQkvN6AjSX","Reynaldo Hahn, Huseyin Sermet, Kun-Woo Paik","spotify:album:0tvURD5PKVtzpd8ieVXI05","Hahn: Intégrale de l'œuvre pour deux pianos, Vol. 1","spotify:artist:6Eu8djOGFxGaykaqJlbzEf, spotify:artist:5KvXtACyBFALB9l4pE5gzj, spotify:artist:22B1T23YzVRPPQkvN6AjSX","Reynaldo Hahn, Huseyin Sermet, Kun-Woo Paik","1992-01-01","https://i.scdn.co/image/ab67616d0000b27383a15958b2541d2e47773d5d","1","14","86533","https://p.scdn.co/mp3-preview/71c366bb8f7957899cb54dcfa74bb1b2e4e5fd00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","FRX201657207","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3tWM7ggIgVOMUWj51WSTGS","Elf kurze Stücke: No. 4 in A Minor","spotify:artist:6cg7ooZDeSSLYVTWGpASjX, spotify:artist:5UxyvUrpq3bZ3su3XedQxb","Anton Webern, Jean-Jacques Dünki","spotify:album:3itiyktqkldl1IsAbPzBTg","Anton Webern: Piano Music, 1904 - 1936","spotify:artist:6cg7ooZDeSSLYVTWGpASjX, spotify:artist:5UxyvUrpq3bZ3su3XedQxb","Anton Webern, Jean-Jacques Dünki","2015-02-13","https://i.scdn.co/image/ab67616d0000b2737c22072d4319ec7cbdcbf2c2","1","4","32933","https://p.scdn.co/mp3-preview/3d2c05b520d528e839880dca61abd5d820de8373?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","DEBL61401257","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3bcdLMrAxrfn5dxInjIdI2","Variations on a Polish Theme, Op. 10: No. 5 Andantino","spotify:artist:3WLh1Qe8WgEBbb2QJWYYal, spotify:artist:1OBvHJmcD6MzAWSIIErwPM","Karol Szymanowski, Martin Roscoe","spotify:album:2PMbM22YPJ2jvqenwrY8qO","Szymanowski: Piano Works, Vol. 2","spotify:artist:3WLh1Qe8WgEBbb2QJWYYal","Karol Szymanowski","1996-12-06","https://i.scdn.co/image/ab67616d0000b273a684613e48e3e6890d8a9cfd","1","15","76933","https://p.scdn.co/mp3-preview/fff4c727bbe4318d2e01df4cdc5d00136512fe86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","HKI199600215","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1xky6QliZ0gPbdnatVdb4Q","Children's Album No. 1 ""Pictures of Childhood"": No. 1, Andantino","spotify:artist:5WIoytpqi3VWoFSHnl49in, spotify:artist:1pSsh71dHsWknDZ0It3ziB","Aram Khachaturian, Charlene Farrugia","spotify:album:3umvKIjsD484pa9pCyPK2x","Khachaturian: 7 Recitatives & Fugues & Children's Albums Nos. 1 & 2","spotify:artist:5WIoytpqi3VWoFSHnl49in, spotify:artist:1pSsh71dHsWknDZ0It3ziB","Aram Khachaturian, Charlene Farrugia","2021-03-12","https://i.scdn.co/image/ab67616d0000b27302f18ee448b73beed3ca5b91","1","15","96240","https://p.scdn.co/mp3-preview/324d71787b6b7241b2b52315958e956a457d2907?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","HKI192044215","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5TtmI9sfXw4VXco0PE21mV","2 Aquarelles: Lento, ma non troppo","spotify:artist:65YhYi4Fz5Ibgq7ueev2Rm, spotify:artist:7BFFr4BUABKAorAN43APPd, spotify:artist:3VWrnOYO3VBCE9MAleAQM4","Frederick Delius, Royal Northern Sinfonia, David Lloyd-Jones","spotify:album:3aHnqYoeNpy7hjqqSoEhcQ","ENGLISH STRING MINIATURES, Vol. 4","spotify:artist:3VWrnOYO3VBCE9MAleAQM4, spotify:artist:7BFFr4BUABKAorAN43APPd","David Lloyd-Jones, Royal Northern Sinfonia","2002-03-08","https://i.scdn.co/image/ab67616d0000b2731b26c5d2c72d00ae377aa4e2","1","12","132120","https://p.scdn.co/mp3-preview/53e4cd9c2b3f4a4c49ab148d7f7e5c07c9bc0126?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","HKI190055512","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7dtoSOz1CtVOJB6I5iPDxi","Prelude In C Minor, BWV 999 : Prelude In C Minor, BWV 999","spotify:artist:3XqsvVsJuMXQsfVwpYZLFZ, spotify:artist:5aIqB5nVVvmFsvSdExz408","Janos Sebestyen, Johann Sebastian Bach","spotify:album:1T61gHDk7P2LloxbCcjf6U","J. S. Bach: Italian Concerto / Chromatic Fantasia And Fugue / 12 Little Preludes","spotify:artist:3XqsvVsJuMXQsfVwpYZLFZ","Janos Sebestyen","1993-02-10","https://i.scdn.co/image/ab67616d0000b27312a821c351fd7c5d66b93a9f","1","8","68573","https://p.scdn.co/mp3-preview/91a763c87b08bcdc5d1591e2aa8314d59037c855?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","HKI199279608","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6cTjzTLHEXzsSRsfuiPxWa","44 Duos for 2 Violins, BB 104, Vol. 1: Parosito (Teasing Song)","spotify:artist:5zyNXVd952fWOjkdGHCvPd, spotify:artist:4FHDvIlpvSVTpXXsfMsEK0, spotify:artist:6USiJ4fTPJiFVkN3lOlISw","Béla Bartók, György Pauk, Kazuki Sawa","spotify:album:76kLWQecTRjzBGlFHPvINQ","Bartok: Violin Sonata, Sz. 117 / 44 Violin Duos, Sz. 98","spotify:artist:5zyNXVd952fWOjkdGHCvPd, spotify:artist:4FHDvIlpvSVTpXXsfMsEK0, spotify:artist:6USiJ4fTPJiFVkN3lOlISw","Béla Bartók, György Pauk, Kazuki Sawa","1994-12-31","https://i.scdn.co/image/ab67616d0000b2731be1cdd5bd47fe459b13d3ce","1","5","53066","https://p.scdn.co/mp3-preview/91d4a65b7e845e9394944aab2ac8decfe5869ded?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","HKI199211705","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5VUqbQ8Z5NXEITbmFhAhbk","24 Preludes, Op. 11: No. 1 in C Major","spotify:artist:6nZiWg5ZB511S24WmB7TCV, spotify:artist:1mlJpazSMM0qkokoS6SNRN","Alexander Scriabin, Evgeny Zarafiants","spotify:album:2Ql5IIdZIiGFsNNy0O87ZA","Scriabin: Preludes, Vol. 1","spotify:artist:6nZiWg5ZB511S24WmB7TCV, spotify:artist:1mlJpazSMM0qkokoS6SNRN","Alexander Scriabin, Evgeny Zarafiants","2000-02-09","https://i.scdn.co/image/ab67616d0000b2731561ddb3f19ce86764d0dd2f","1","3","62506","https://p.scdn.co/mp3-preview/0ab970a8861be0205123394bd30f1d7d2126b083?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","HKI199712203","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5rDjdlYDk9rE3PMoMvQXMY","Brook Green Suite: II. Air","spotify:artist:5B7uXBeLc2TkR5Jk23qKIZ, spotify:artist:43Nyp1sl8Hu85Q7KvLHscq, spotify:artist:6htlEU4z5WGJCDAkOFGGDq","Gustav Holst, English Sinfonia, Howard Griffiths","spotify:album:6Y3u5ufMRQU8pCjSSl3zN0","Holst: Double Concerto / St Paul's Suite / Brook Green Suite","spotify:artist:5B7uXBeLc2TkR5Jk23qKIZ, spotify:artist:6htlEU4z5WGJCDAkOFGGDq","Gustav Holst, Howard Griffiths","2007-04-24","https://i.scdn.co/image/ab67616d0000b2738b2cd00a7eec3e445a7ce9bd","1","2","125080","https://p.scdn.co/mp3-preview/3ce348c422d4d7ed0456b0207e727b7de7ad52eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","HKI190707802","spotify:user:","1970-01-01T00:00:00Z"
