"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2TjjRMZrgtVocAxXavQ1iq","They Can’t Take That Away From Me","spotify:artist:19eLuQmk9aCobbVDHc6eek, spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Louis Armstrong, Ella Fitzgerald","spotify:album:6jdn6qoUs9HL5uzXffusTg","Louis Armstrong & Friends","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007-09-11","https://i.scdn.co/image/ab67616d0000b2739dc1d19159be4115b8663108","2","14","278466","","false","0","USA560693374","spotify:user:1232890596","2013-10-03T14:45:31Z"
"spotify:track:1lIK46qrIcKAxKbInengmA","Cheek To Cheek","spotify:artist:5V0MlUE1Bft0mbLlND7FJz, spotify:artist:19eLuQmk9aCobbVDHc6eek","Ella Fitzgerald, Louis Armstrong","spotify:album:559csVOtWTChxD7KxCVx4Z","ELLA & LOUIS The Very Best Of Ella Fitzgerald & Louis Armstrong","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","2011-01-06","https://i.scdn.co/image/ab67616d0000b27365fddc5f7f6d684a22c5f3fa","1","11","355333","","false","0","GBZTD1100053","spotify:user:1232890596","2013-10-03T14:47:07Z"
"spotify:track:1KN455WoQJYm2atPm6KHh5","It's Only A Paper Moon","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","spotify:album:6dYQKnWezXH9BmzYI60rxR","Ella Fitzgerald","spotify:artist:5V0MlUE1Bft0mbLlND7FJz","Ella Fitzgerald","2006-11-15","https://i.scdn.co/image/ab67616d0000b2739ce8b267039b902c2e5d3130","1","15","161933","","false","0","ITS040000169","spotify:user:1232890596","2013-10-03T14:49:32Z"
"spotify:track:1dZLGY4n1jXw7sOhO8hPcP","Don't Let Me Be Misunderstood","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","spotify:album:0ZbkoO8QPOiTbX7n1yfJXp","Verve Jazz Masters 17: Nina Simone","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","1994","https://i.scdn.co/image/ab67616d0000b2734dd1a882e6b3d9000e4b9c37","1","15","166840","","false","0","USPR36400091","spotify:user:1232890596","2013-10-12T04:25:26Z"
"spotify:track:6ojMugRyzh3US4se7esA7Z","Summertime","spotify:artist:5V0MlUE1Bft0mbLlND7FJz, spotify:artist:19eLuQmk9aCobbVDHc6eek","Ella Fitzgerald, Louis Armstrong","spotify:album:70hXrRVEXxwWJQr3MqL8id","The Beatles Jukebox","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-08-11","https://i.scdn.co/image/ab67616d0000b273953e5876150f3edc4278b431","1","10","297093","","false","0","USA560824685","spotify:user:1232890596","2013-11-10T05:20:58Z"
"spotify:track:6XCM8rcYZ6MJiM6V4tBGGv","Autumn Leaves - Remastered","spotify:artist:7v4imS0moSyGdXyLgVTIV7","Nat King Cole","spotify:album:4GTwzXDzczrmF67glcuNxt","The Unforgettable Nat King Cole (Remastered)","spotify:artist:7v4imS0moSyGdXyLgVTIV7","Nat King Cole","2000-01-01","https://i.scdn.co/image/ab67616d0000b2732703103a30430e61f4891fa5","1","14","162133","","false","0","USCA29901270","spotify:user:1232890596","2013-11-13T15:24:26Z"
"spotify:track:0I7ZxE63Ff5dpmoXAq6pG0","Ain't Misbehavin' (with Jimmy Rushing)","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7, spotify:artist:5oSx3uh0EaLA2xEywrMsCX","The Dave Brubeck Quartet, Jimmy Rushing","spotify:album:6h9mg85Ynp4KxGviWAMhnj","Sony Jazz Trios","spotify:artist:4iRZAbYvBqnxrbs6K25aJ7","The Dave Brubeck Quartet","2001-10-28","https://i.scdn.co/image/ab67616d0000b27384a9283a1fa8c87ecc101f5d","2","12","202666","https://p.scdn.co/mp3-preview/58f6a2d2e19349be1986ddfbf8e203ee258fc606?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USSM16001014","spotify:user:1232890596","2013-11-13T15:25:27Z"
"spotify:track:2UUtUej7C4JPc1WTfTM7nU","Summer Wind","spotify:artist:1GxkXlMwML1oSg5eLPiAz3","Michael Bublé","spotify:album:3rpSksJSFdNFqk5vne8at2","Michael Bublé","spotify:artist:1GxkXlMwML1oSg5eLPiAz3","Michael Bublé","2003","https://i.scdn.co/image/ab67616d0000b273b732a522a686bb304a5d3fdf","1","6","175306","https://p.scdn.co/mp3-preview/2b8ba7219b54469fe394e79c8f97c2692cff6baa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USRE10201547","spotify:user:1232890596","2013-11-13T15:26:28Z"
"spotify:track:434N26nDW0CSfSHXzmVl3h","Sway Me Now","spotify:artist:49e4v89VmlDcFCMyDv9wQ9","Dean Martin","spotify:album:1jlop4CyFTH7OdyfD8afQh","The Sensational Dean Martin, Vol. 2","spotify:artist:49e4v89VmlDcFCMyDv9wQ9","Dean Martin","2013-09-23","https://i.scdn.co/image/ab67616d0000b273661de181aabf14d9f65e4043","1","24","163369","","false","0","FR4GL1023118","spotify:user:1232890596","2013-11-13T15:40:24Z"
"spotify:track:1oDCK7PW72XEZ1pE5rh87A","Smile","spotify:artist:7v4imS0moSyGdXyLgVTIV7","Nat King Cole","spotify:album:3NoP1ifIejWkGSDsO9T2xH","The Nat King Cole Story","spotify:artist:7v4imS0moSyGdXyLgVTIV7","Nat King Cole","1991-01-01","https://i.scdn.co/image/ab67616d0000b273deac5adf07affb5fec422701","2","2","173266","https://p.scdn.co/mp3-preview/1de2dde1805ae6a65a5d2c58e414bd2dc50d4b94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USCA29100211","spotify:user:1232890596","2013-12-23T05:05:46Z"
"spotify:track:6kBl749onQEDiP9GjjOVVR","It's A Man's Man's Man's World","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:4dlqUphrnAnI9nbPkfeoOU","James Brown Hit Pac - 5 Series","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","2008-12-08","https://i.scdn.co/image/ab67616d0000b2735687c0b69ca748fe52d81f4d","1","2","165520","","false","0","USUR10300969","spotify:user:1232890596","2013-12-30T10:24:22Z"
"spotify:track:37QTTY0sl4J0MfMQmDxOEU","Summer Time (With Ella Fitzgerald)","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","spotify:album:7nHpTByjqzFZmN0OJtxXpI","Butter And Eggman","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1995","https://i.scdn.co/image/ab67616d0000b2737650844ba6ba9912ede43e18","1","15","296027","","false","0","USA560522036","spotify:user:1232890596","2013-12-30T13:11:02Z"
"spotify:track:21fwl40hc9je4kf2zEYTrP","I Put A Spell On You","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","spotify:album:15mlxovjGm7k2ezzkyr4TY","The Very Best Of Yount Nina Simone","spotify:artist:7G1GBhoKtEPnP86X2PvEYO","Nina Simone","2009-01-12","https://i.scdn.co/image/ab67616d0000b2738d094d8ae733a1d64bcdede6","1","4","156373","","false","0","UST7W0905280","spotify:user:1232890596","2013-12-31T09:35:20Z"
