"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1P9zMTrGMBPTDr0A4MU7cd","Peaceful Paranoia","spotify:artist:2Z3lQTlj6dkxFg1RwLfwEn, spotify:artist:41MI7s5qtXYNCp7Ev8T5LN, spotify:artist:7ErSwiH3ISJy905okfPJU5, spotify:artist:21LcuBnhMZZraq4AB6mgwM","Niclas Knudsen Trio, Kresten Osgood, Niclas Knudsen, Anders Christensen","spotify:album:5EKzqYzzf5GHNBo9iRVZAM","Times Revisited","spotify:artist:2Z3lQTlj6dkxFg1RwLfwEn, spotify:artist:7ErSwiH3ISJy905okfPJU5","Niclas Knudsen Trio, Niclas Knudsen","2021-02-19","https://i.scdn.co/image/ab67616d0000b27396c0342ec48fbc44f8a96e3d","1","6","265826","https://p.scdn.co/mp3-preview/f25a0faf5158d58355386e62eb17b97404799505?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","FR26V2036640","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:1Am0pclKtGRb8pPsjxOA9r","Laura","spotify:artist:1ymZAHNSJ5rvzjW01iwQRi","Adam Nussbaum","spotify:album:3PptUbT8wyVA5DcDDe8s3R","Lead Belly Reimagined","spotify:artist:1ymZAHNSJ5rvzjW01iwQRi","Adam Nussbaum","2020-08-28","https://i.scdn.co/image/ab67616d0000b273411d7a7624523099d6f2e9f8","1","2","287666","https://p.scdn.co/mp3-preview/fec89bf9ff585578a7b72e29dc202581c8848894?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","US2W62057802","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:2Ma2gyo1qXQu7DcKdN6Hg9","Morning Bazaar","spotify:artist:2e0U1o784LrLomZQcvKH6H","Alan Braufman","spotify:album:1nN7wLL6GA7xdcoI1L9BjS","The Fire Still Burns","spotify:artist:2e0U1o784LrLomZQcvKH6H","Alan Braufman","2020-08-28","https://i.scdn.co/image/ab67616d0000b273b7e5933be20d700f61947ac5","1","2","312186","https://p.scdn.co/mp3-preview/993111d1035c895db41d132f08da84f772535023?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","US37K0400613","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:0tHMMqD7ygCW2S1zdOMvHb","Sweet Smile","spotify:artist:3y4phUBzYdEtzU05FMCeu6, spotify:artist:1bBOtfNnAX2zVoNf0FAneB","Carl Winther Trio, Håkan Broström","spotify:album:05X006nJQ0J6aEIg4dw6Ig","Lovers Moment (Håkan Broström Meets Carl Winther Trio)","spotify:artist:3y4phUBzYdEtzU05FMCeu6, spotify:artist:1bBOtfNnAX2zVoNf0FAneB","Carl Winther Trio, Håkan Broström","2022-04-15","https://i.scdn.co/image/ab67616d0000b273b0cfc347ab7deed18085e317","1","4","327642","https://p.scdn.co/mp3-preview/7920c08a441ecb4d05a54fe9bb3e4291af7b97af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","FRX872133446","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:6zGtpBL97XawYikYkQe4sG","Moonlight in Vermont","spotify:artist:6sGRzzszXhAo63o0iHBs7R, spotify:artist:4dXbqcDmR48iVBEpgLPuhm","Carl Winther, Karl-Martin Almqvist","spotify:album:4BZYDP8KgpeIXAmvcj2Tyl","A Ballad Moment","spotify:artist:6sGRzzszXhAo63o0iHBs7R, spotify:artist:4dXbqcDmR48iVBEpgLPuhm","Carl Winther, Karl-Martin Almqvist","2022-01-07","https://i.scdn.co/image/ab67616d0000b27394eb5224a18b91e228776ac0","1","2","317545","https://p.scdn.co/mp3-preview/d999e543904548eeb70ef11d3954f5a19f82de3a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","FRX452134679","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:6bDFg4xR80Z2WfBZ69hYYP","Going Up","spotify:artist:1QgZiL5uQ3WN1sMkmbVaGM, spotify:artist:6r96KF2Ucx8cUwBvgnxRYD","Snorre Kirk, Stephen Riley","spotify:album:6sKgPcsj3CUM4MVC2qtmst","Going Up","spotify:artist:1QgZiL5uQ3WN1sMkmbVaGM, spotify:artist:6r96KF2Ucx8cUwBvgnxRYD","Snorre Kirk, Stephen Riley","2021-02-19","https://i.scdn.co/image/ab67616d0000b2738e94fad0f12e9e1044a2fd84","1","1","275200","https://p.scdn.co/mp3-preview/9f0778764b794b3ee97fcd10c283ef56560c1a90?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","DKBDB2101303","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:4JN9FKnuFmAjFFpDrqqpNX","Elisian/Inutil Paisagem","spotify:artist:6xgxdQWIYTveGaqFINS9iR, spotify:artist:41FrZElPoQw0plv2d3UL2r, spotify:artist:4d3Ice9t3aFOAMk2VJCOwd, spotify:artist:6PmHbKUXAKXNubgs1MnNbg","Michel Benita, Matthieu Michel, Jozef Dumoulin, Philippe Garcia","spotify:album:1dpIg2OrRWIwk19jYiIDqs","Elisian/Inutil Paisagem","spotify:artist:6xgxdQWIYTveGaqFINS9iR","Michel Benita","2020-08-14","https://i.scdn.co/image/ab67616d0000b2735b56f05cf64bc5390daf81d5","1","1","296253","https://p.scdn.co/mp3-preview/d9b76fc2e4104cd76ca032de1de8facab7e97c89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","DEB331966308","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:5kUE6uXelwvtA6qYKyfMWM","Sconsolato","spotify:artist:3iF9mUqkeDgHbydOvDYqjO","Nathan Davis","spotify:album:4cskpXjr6Ai90fLNPYX8Vv","Best of 1965-76","spotify:artist:3iF9mUqkeDgHbydOvDYqjO","Nathan Davis","2009-01-01","https://i.scdn.co/image/ab67616d0000b273e4698fe9572db2ec2752f180","1","2","208880","https://p.scdn.co/mp3-preview/f241904b459b03dc05e6bbbb0575162981de6c86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBCTF0900012","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:75LUX2oADzPgkEQdRhIr9c","The Starter","spotify:artist:1RJJGg6s9j4LXZwjPqXSlv","Per Thornberg","spotify:album:6XCgl8rWBRZlpsWVQBWTrI","The Starter","spotify:artist:1RJJGg6s9j4LXZwjPqXSlv","Per Thornberg","2020-08-28","https://i.scdn.co/image/ab67616d0000b273b89c49ddddcb4c0823b2757c","1","1","375267","https://p.scdn.co/mp3-preview/bacb978edb5d5f8927fa99ed1165175971856fe7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","SEYJO2001601","spotify:user:","2023-01-03T07:51:56Z"
"spotify:track:0TAQObwgBL0r6wuINDs0cY","Have a Day","spotify:artist:5mtFvnvImn9y9m8MaVxTZ8","Musicmusicmusic","spotify:album:0SBtKGwM2gnuKoZFaHIf9k","Have a Day","spotify:artist:5mtFvnvImn9y9m8MaVxTZ8","Musicmusicmusic","2022-04-20","https://i.scdn.co/image/ab67616d0000b273d60164375ff9001764774741","1","1","383626","https://p.scdn.co/mp3-preview/fc5935e30da4222695a2b1fc638c3fd00a0a3fc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","SEWAY2200201","spotify:user:","2023-01-03T07:51:56Z"
