"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2RlgNHKcydI9sayD2Df2xp","Mr. Blue Sky","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","spotify:album:3usnShwygMXVZB4IV5dwnU","Out of the Blue","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","1977","https://i.scdn.co/image/ab67616d0000b2738c4e95986c803791125e8991","1","13","303373","https://p.scdn.co/mp3-preview/69808f0ac4e57bd9fa9810abfd2921fb3ee1533c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USSM17200399","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:19slC7k8bsPOAKDjHYLU2W","Father And Son","spotify:artist:08F3Y3SctIlsOEmKd6dnH8","Yusuf / Cat Stevens","spotify:album:1FKScTiXaADVfAp6gTWHKj","Tea for the Tillerman","spotify:artist:08F3Y3SctIlsOEmKd6dnH8","Yusuf / Cat Stevens","1970-11-23","https://i.scdn.co/image/ab67616d0000b273d12357f649db780ff1171b06","1","10","221000","","false","1","GBAAN7000042","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:252YuUdUaC5OojaBU0H1CP","Come A Little Bit Closer","spotify:artist:0DAqhikcMKLo2lPADVz2fs","Jay & The Americans","spotify:album:0LMJo3p9QqRjaap3qvlTY6","Come A Little Bit Closer: The Best Of Jay & The Americans","spotify:artist:0DAqhikcMKLo2lPADVz2fs","Jay & The Americans","1964","https://i.scdn.co/image/ab67616d0000b2733fb91f6d6c412ef519dd3dee","1","9","166666","https://p.scdn.co/mp3-preview/d0bf19653810c2312d19d96180c7f05790c70178?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USEM38500084","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:46MX86XQqYCZRvwPpeq4Gi","Lake Shore Drive","spotify:artist:4VmWYQQ5M9N9AiAx14v2yg","Aliotta Haynes Jeremiah","spotify:album:24NY6n4z0tDzpt8QCiWEGV","Lake Shore Drive","spotify:artist:4VmWYQQ5M9N9AiAx14v2yg","Aliotta Haynes Jeremiah","1972","https://i.scdn.co/image/ab67616d0000b273bfd869b5a775481785ce55ad","1","1","235173","https://p.scdn.co/mp3-preview/952168a0ca2e0f02b3181eadc77ccb8743195394?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","uscgh0554198","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:5e9TFTbltYBg2xThimr0rU","The Chain - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","7","270213","https://p.scdn.co/mp3-preview/db49dd83e8b87009c08dc21b2be327ebdbb76640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USWB11301116","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:0WVTQp3SOCuMr08jh1jweV","Bring It On Home to Me","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","spotify:album:3Seie4YIVLWtPw2hQrouNY","The Man Who Invented Soul","spotify:artist:6hnWRPzGGKiapVX1UCdEAC","Sam Cooke","2000-09-26","https://i.scdn.co/image/ab67616d0000b273cdea00c6905f588e1f72ccad","3","9","162533","https://p.scdn.co/mp3-preview/073ba997d290b6e0f9ed8d8b83e01d3d0f8e1e82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USRC16206739","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:5T8EDUDqKcs6OSOwEsfqG7","Don't Stop Me Now - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:2yuTRGIackbcReLUXOYBqU","Jazz (2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1978-11-10","https://i.scdn.co/image/ab67616d0000b2737c39dd133836c2c1c87e34d6","1","12","209413","https://p.scdn.co/mp3-preview/4ee1d9a98ea72ef0ebb56db045fc17f2bc7bb9d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBUM71029610","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:7kv7zBjMtVf0eIJle2VZxn","Southern Nights","spotify:artist:59hLmB5DrdihCYtNeFeW1U","Glen Campbell","spotify:album:0R7Uw1tUUbWlV53BGKfjQ4","Southern Nights","spotify:artist:59hLmB5DrdihCYtNeFeW1U","Glen Campbell","1977-01-01","https://i.scdn.co/image/ab67616d0000b273461762c15f05e141fe6f3097","1","1","180026","https://p.scdn.co/mp3-preview/2243c874eb6bdbef186bf09720e2222ac52517d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USCN17600069","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:2BY7ALEWdloFHgQZG6VMLA","Brandy (You're a Fine Girl)","spotify:artist:5jJN1nmKXzRjodMl1THQeI","Looking Glass","spotify:album:5ThwnbpYrk9R1xXkAGCLIs","Looking Glass","spotify:artist:5jJN1nmKXzRjodMl1THQeI","Looking Glass","1972","https://i.scdn.co/image/ab67616d0000b2734c95b7cf28c3015c914218e4","1","2","186826","https://p.scdn.co/mp3-preview/1c98acdc8305d0ded66730803fcff1ba0d557c47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USSM10903222","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:7tFiyTwD0nx5a1eklYtX2J","Bohemian Rhapsody - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:6X9k3hSsvQck2OfKYdBbXr","A Night At The Opera (Deluxe Remastered Version)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1975-11-21","https://i.scdn.co/image/ab67616d0000b273ce4f1737bc8a646c8c4bd25a","1","11","354320","https://p.scdn.co/mp3-preview/920986cd9fb5b23bd0b61110f586cfc45caae7bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBUM71029604","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
"spotify:track:3qrEG6rQ9Qm72MNWeUKKiU","Wham Bam Shang-A-Lang","spotify:artist:7oeuJSyVZTCkm3BurLz8cG","Silver","spotify:album:3sGENYCDR3UaIfFwWMJWrY","Silver","spotify:artist:7oeuJSyVZTCkm3BurLz8cG","Silver","1976","https://i.scdn.co/image/ab67616d0000b27351d98ff76da5ca1f82c8cbc8","1","8","212840","https://p.scdn.co/mp3-preview/997222fe53d28a73b10ebb7e7ad6ee5e04d81cc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USAR17600150","spotify:user:l70mtbcfoapp3mst5n81hlkz9","2022-04-01T13:25:31Z"
