"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6QzARXbdztTRu42kQigY96","Home Cookin' - Remastered 1999/Rudy Van Gelder Edition","spotify:artist:5ZATfKurLqflrBhv2FLht5","Horace Silver","spotify:album:7qaTLsGB0H8AJPvUs98CcO","The Stylings Of Silver (The Rudy Van Gelder Edition)","spotify:artist:5ZATfKurLqflrBhv2FLht5","Horace Silver","2002-01-01","https://i.scdn.co/image/ab67616d0000b2734bbb7a289249b80162ea611c","1","4","388160","https://p.scdn.co/mp3-preview/7584a99a6a15a46fc34d94a9cdc7bbf8ba87befe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USBN29900082","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:4n5AUkvieP9NglLITjihFH","Barefoot Sunday Blues","spotify:artist:7F2B7VhQySTBRaqJqv4NDR","Cannonball Adderley Quartet","spotify:album:2nrR6HvGvjglD7umMvdj66","Cannonball Takes Charge","spotify:artist:7F2B7VhQySTBRaqJqv4NDR","Cannonball Adderley Quartet","1959-08-01","https://i.scdn.co/image/ab67616d0000b273c0ce3e5f0a2a94c53d9962f6","1","5","423133","https://p.scdn.co/mp3-preview/697d7a3608627118f294da4d390d793b18978101?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USCA20200409","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:211mkZYf9YaQhlev1Vze5F","Bang Bang","spotify:artist:5RzjqfPS0Bu4bUMkyNNDpn","Dizzy Gillespie","spotify:album:2lhapGz7nbjmiJEil7iAFX","Talkin' Verve","spotify:artist:5RzjqfPS0Bu4bUMkyNNDpn","Dizzy Gillespie","1997-05-23","https://i.scdn.co/image/ab67616d0000b273ba6f38542a941a11c0359fcb","1","12","183333","https://p.scdn.co/mp3-preview/7eee5a0080ebc3d8b003b821299cd8cdeb4f088e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USPR36660027","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:5UI9nSnk8k5e6oMcGK55tt","Used To Be Duke","spotify:artist:7lRFrrINQTY35g8hq0kXY5","Johnny Hodges","spotify:album:0FDIQRrWsQ8euHDTAYQiIZ","Used To Be Duke","spotify:artist:7lRFrrINQTY35g8hq0kXY5","Johnny Hodges","2009-01-01","https://i.scdn.co/image/ab67616d0000b273d8249a2988cf477a8612b677","1","1","439880","https://p.scdn.co/mp3-preview/2f611b3fa049a42742c056424385d936888e08e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USGR10301247","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:2yVOF2movPBYvUt1vdpv5k","Tippin' - Remastered 2000/Rudy Van Gelder Edition","spotify:artist:4PNIQCDBeVCSSqKUhvkP8Y","Horace Silver Quintet","spotify:album:2p4ipY0YJS0JSDuc1uamxE","Six Pieces Of Silver","spotify:artist:5ZATfKurLqflrBhv2FLht5","Horace Silver","2000-01-01","https://i.scdn.co/image/ab67616d0000b273217a41aa63093346c7a4b512","1","9","372080","https://p.scdn.co/mp3-preview/bd28176ed337a70ed470302d82e67adbcd451bad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USBN20000105","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:6xFh3v76Pv1Ucqf4xAT2bY","O Mama Enit - Rudy Van Gelder 24-Bit Mastering/2003 Remaster","spotify:artist:420BtT2Zyze7Eb9zqHcliW","Blue Mitchell","spotify:album:1Zg5gkaCMGezneA4Aq9yXk","Boss Horn (Remastered)","spotify:artist:420BtT2Zyze7Eb9zqHcliW","Blue Mitchell","2005-01-01","https://i.scdn.co/image/ab67616d0000b27342e0e59488bac6b6f53a73b4","1","2","334253","https://p.scdn.co/mp3-preview/82efa81e76082d9803931d48bc759297c369a4bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USBN20300565","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:6xtHD6E7iIyRCopIsTzW0U","Lester Leaps In","spotify:artist:217b0uqAzsOOhGcnoANZqj","Sonny Stitt","spotify:album:1fkIYdW25bQGXNoipxIXoG","Now!","spotify:artist:217b0uqAzsOOhGcnoANZqj","Sonny Stitt","1963-01-01","https://i.scdn.co/image/ab67616d0000b27341fa634668fb7fb608c3ea2c","1","2","381346","https://p.scdn.co/mp3-preview/d489dc9bcf8b98f73bf8556270668ee459301c6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USMC16352138","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:1VXvuU6StB2FGbiqixiwN5","Bo-Fill - Rudy Van Gelder 24Bit Mastering","spotify:artist:0oJCbLnXR9ZfTkwxO9tVNn, spotify:artist:65A4foeosCkf3zaigZJuzF","Clifford Jordan, John Gilmore","spotify:album:3vkVhAKhudQjsjLchc8RU6","Blowing In From Chicago","spotify:artist:0oJCbLnXR9ZfTkwxO9tVNn, spotify:artist:65A4foeosCkf3zaigZJuzF","Clifford Jordan, John Gilmore","2003-01-01","https://i.scdn.co/image/ab67616d0000b273a5eddb8d4b5ef2c30a2dd19e","1","2","356746","https://p.scdn.co/mp3-preview/4d1b707dc9d690d321a95eb5246eebf3a2c4646c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USBN20000243","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:4lQGjcuX6xblZPrVbsga6l","Rigor Mortez - Rudy Van Gelder 24-Bit Mastering/2003 Remaster","spotify:artist:420BtT2Zyze7Eb9zqHcliW","Blue Mitchell","spotify:album:1Zg5gkaCMGezneA4Aq9yXk","Boss Horn (Remastered)","spotify:artist:420BtT2Zyze7Eb9zqHcliW","Blue Mitchell","2005-01-01","https://i.scdn.co/image/ab67616d0000b27342e0e59488bac6b6f53a73b4","1","4","381893","https://p.scdn.co/mp3-preview/a47f8c4aa2258c4984f0d3015322d9d2c7338542?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USBN20300567","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:0CaMKN4Fu6WKHBW38JazrY","Play Ray","spotify:artist:063xkuRULzZu8fcoPR2rKR","Lou Donaldson","spotify:album:05dECqC2jTJKERNKAOykqk","Blues Walk","spotify:artist:063xkuRULzZu8fcoPR2rKR","Lou Donaldson","1958","https://i.scdn.co/image/ab67616d0000b273d94380c918abb94d55758650","1","4","331333","https://p.scdn.co/mp3-preview/ad89937ebdf361831aea9dcc8439be9f55f45620?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USBN28700276","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:1FMO9vqWdCvuRaO6CBelP5","Blues for Barry Harris","spotify:artist:53clI7NaUHryu3JxQ593PT","Lafayette Harris\, Jr.","spotify:album:0FZkyEdeAJlR4FIwMLbHyl","You Can't Lose with the Blues","spotify:artist:53clI7NaUHryu3JxQ593PT","Lafayette Harris\, Jr.","2019-11-01","https://i.scdn.co/image/ab67616d0000b27389e3b033a9d63882a6c0d055","1","3","303293","https://p.scdn.co/mp3-preview/082f8faa40070c36f3a806689100902c8ce0b472?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USSTR1917803","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:6nXk6cBsgoyvNePVb8sdvt","Lou's Blues","spotify:artist:063xkuRULzZu8fcoPR2rKR","Lou Donaldson","spotify:album:2Aflwf98ECEhjpowdENj7d","Quartet / Quintet / Sextet","spotify:artist:063xkuRULzZu8fcoPR2rKR","Lou Donaldson","1957-05-24","https://i.scdn.co/image/ab67616d0000b2732408120840a12f6c72f82198","1","4","224266","https://p.scdn.co/mp3-preview/93f2bb148b1f21a57b19258854ab64fff5d9c0e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USBN28800158","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:3Bj1fTJC5zIqAUybuCyRl2","Hot Mallets","spotify:artist:2PjgZkwAEk7UTin4jP6HLP","Lionel Hampton","spotify:album:2cDa78D61i3gH89oELnQ1r","The Complete Victor Lionel Hampton Sessions, Vol. 2","spotify:artist:2PjgZkwAEk7UTin4jP6HLP","Lionel Hampton","2007-04-14","https://i.scdn.co/image/ab67616d0000b273c6c434e0b9d4fe1354edd77d","1","14","136746","https://p.scdn.co/mp3-preview/cbfef7c08aaa4d39effb67d3124ad8213a395a4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","USBB18701030","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:33gArMdTPHENYZFGLyGDXg","The Lion's Roar - Remastered","spotify:artist:5LQwJIY0TGUfJDS9vdpjmg","Leo Parker","spotify:album:4iuVTKizRNoo1GqETTVHRH","Rollin' With Leo (Remastered)","spotify:artist:5LQwJIY0TGUfJDS9vdpjmg","Leo Parker","2009-01-01","https://i.scdn.co/image/ab67616d0000b2733be0bef61e034fcccb2ab771","1","1","294906","https://p.scdn.co/mp3-preview/d35610dbc0da8ee22f42ad88f63e45a5aef4dd34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USBN20800841","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:6dr3C76wvbQJty7WvNG7tG","The Call","spotify:artist:2I5A4xP3QGJEDKGhhXMAVr","Jacky Terrasson","spotify:album:43moPGlUvUG7X0uAVb7yFd","The Call","spotify:artist:2I5A4xP3QGJEDKGhhXMAVr","Jacky Terrasson","2019-08-30","https://i.scdn.co/image/ab67616d0000b273d35cf1a02b4d244e7b46bd99","1","1","243127","https://p.scdn.co/mp3-preview/caa6266b952821d1235dbfef1fd3d3757b765bec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","FRUM71901097","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:6mBbcbDpY47Yp6PGTBwKBE","Perhaps","spotify:artist:0BTfBwYC5Mw5ezDg91JBma","Aaron Goldberg","spotify:album:0qoyZFWXV1mXquUUvYOrjQ","The Now","spotify:artist:0BTfBwYC5Mw5ezDg91JBma","Aaron Goldberg","2015-01-20","https://i.scdn.co/image/ab67616d0000b273a19a2d08f32504724f8937f7","1","5","317439","https://p.scdn.co/mp3-preview/3f76a5b781c6d50cbd6f772804d96506154f8f97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US2W61540205","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:1f7EWS1kruAco1sc1W614Q","With A Song In My Heart - Remastered 1998","spotify:artist:1Sc9ykJB728MAZab1Ocwy8, spotify:artist:2hGh5VOeeqimQFxqXvfCUf","Sonny Clark, John Coltrane","spotify:album:469Y1IVCrttWSp2qQYzioA","Sonny's Crib","spotify:artist:1Sc9ykJB728MAZab1Ocwy8","Sonny Clark","1998-01-01","https://i.scdn.co/image/ab67616d0000b273db84e1a22d7877526197b350","1","1","475293","https://p.scdn.co/mp3-preview/828e08df6bd92916aab7a97f0990cb77a74622ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","USBN29800706","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:5beii4gDylW7eFnWJ1uZaH","Just You, Just Me","spotify:artist:05E3NBxNMdnrPtxF9oraJm, spotify:artist:0ldU0QJm31y0d6f57R1G2A","Lester Young, Oscar Peterson Trio","spotify:album:7JkisS9bjzaQCgJ9btGjfq","The President Plays With The Oscar Peterson Trio","spotify:artist:05E3NBxNMdnrPtxF9oraJm, spotify:artist:0ldU0QJm31y0d6f57R1G2A","Lester Young, Oscar Peterson Trio","1959-06-02","https://i.scdn.co/image/ab67616d0000b273560ea575b1d7f32eda29b0c9","1","2","457933","https://p.scdn.co/mp3-preview/9e3234fb60f35cde0658e5f8d21ca1fb6a6094aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USPR35252002","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:2Z7Z8BDwjZQeYuzwe3LdOp","The Cape Verdean Blues - Rudy Van Gelder Edition / 2003 Remastered","spotify:artist:4PNIQCDBeVCSSqKUhvkP8Y","Horace Silver Quintet","spotify:album:2jTvEM76ioutKODSdPllkr","The Cape Verdean Blues","spotify:artist:5ZATfKurLqflrBhv2FLht5","Horace Silver","2004-01-01","https://i.scdn.co/image/ab67616d0000b2733e60fa07c7a285a2787f49f2","1","1","299746","https://p.scdn.co/mp3-preview/e86c3760964670148902c930d1bd2747837f9029?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USBN20300185","spotify:user:","2023-01-12T07:55:56Z"
"spotify:track:6DLfsQt62XFWihmhU5NDo5","Händelse","spotify:artist:4KSDoZH1HGkNnZp9Yjhlm0","Förnuft och Känsla","spotify:album:7qKzuLctXEwic4HiJMDMp4","Händelse","spotify:artist:4KSDoZH1HGkNnZp9Yjhlm0","Förnuft och Känsla","2020-06-06","https://i.scdn.co/image/ab67616d0000b273a199dfccb0275b7443444f3c","1","1","279974","https://p.scdn.co/mp3-preview/9c690f247500e1cd3018e2b10dd517d345a5af89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","SEWAY2000301","spotify:user:","2023-01-12T07:55:56Z"
