"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4rmPQGwcLQjCoFq5NrTA0D","Uptown Funk (feat. Bruno Mars)","spotify:artist:3hv9jJF3adDNsBSIQDqcjp, spotify:artist:0du5cEVh5yTK9QJze8zA0C","Mark Ronson, Bruno Mars","spotify:album:0tWBtc7le3TMo1gDdGyJVI","Uptown Funk (feat. Bruno Mars)","spotify:artist:3hv9jJF3adDNsBSIQDqcjp","Mark Ronson","2014-11-24","https://i.scdn.co/image/ab67616d0000b273f39cf5ac73db13318eebd38e","1","1","270626","https://p.scdn.co/mp3-preview/afbf5c171d105f72280a844472ac03ac9fd3c5af?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","GBARL1401524","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:6Ac4NVYYl2U73QiTt11ZKd","Hooked On A Feeling","spotify:artist:0UpuH5U4nZ3UGGUJi0Zfbp, spotify:artist:1Ek3VdZ8EPmcvgRIqnHlrF","Blue Swede, Björn Skifs","spotify:album:6fBMaH0IiymemwFKmn18Ze","Hooked On A Feeling","spotify:artist:0UpuH5U4nZ3UGGUJi0Zfbp, spotify:artist:1Ek3VdZ8EPmcvgRIqnHlrF","Blue Swede, Björn Skifs","1973-04-01","https://i.scdn.co/image/ab67616d0000b273b2439940aedd2801c9ae2e5b","1","1","172866","https://p.scdn.co/mp3-preview/baf857aa80bd5823d2d06584f77f78c5384ba8a6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","SEAMA7343050","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:5LYMamLv12UPbemOaTPyeV","Music For a Sushi Restaurant","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","1","193813","https://p.scdn.co/mp3-preview/b362f060e5b9261aca193c58e694b1f097d2cd41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USSM12200609","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:5dKBaysNJtfpyNTRa5lqDb","A-Punk","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","spotify:album:5oXBmKbyJeQftWMo87cQ9F","Vampire Weekend","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","2008-01-27","https://i.scdn.co/image/ab67616d0000b27301e2ebfbf4f8147621c8a866","1","3","137760","","false","0","GBBKS0700527","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:5nujrmhLynf4yMoMtj8AQF","Levitating (feat. DaBaby)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Dua Lipa, DaBaby","spotify:album:5lKlFlReHOLShQKyRv6AL9","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be","1","12","203064","https://p.scdn.co/mp3-preview/baa8859b39dc78685642e1adfe60ec5ef8b3a5cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBAHT2000942","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:3AszgPDZd9q0DpDFt4HFBy","Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:7etFl9qeqjD0luC40JAg8l","The Way You Move / Hey Ya!","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2003","https://i.scdn.co/image/ab67616d0000b27344d34793d0f4bddf28e0e8a8","1","3","239240","https://p.scdn.co/mp3-preview/3ae01c418df36fa1b5f0a478eacc783bb1ee0b12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USAR10300924","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:0QHEIqNKsMoOY5urbzN48u","Made You Look","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","spotify:album:4LVa9bljQRvLYpWr8qyaXs","Takin' It Back","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","2022-10-21","https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff","1","2","134256","https://p.scdn.co/mp3-preview/cb75fb0d56e2c8268b9a15286c310fd1cbb8d639?cid=9950ac751e34487dbbe027c4fd7f8e99","false","95","USSM12204574","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:05wIrZSwuaVWhcv5FfqeH0","Walking On Sunshine","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","spotify:album:1UQG78YJjaBySRMh0A8Uw7","Katrina & The Waves","spotify:artist:2TzHIUhVpeeDxyJPpQfnV3","Katrina & The Waves","1985","https://i.scdn.co/image/ab67616d0000b273eafaf556eda644a745d0144d","1","6","238733","https://p.scdn.co/mp3-preview/6cb4a8d8d730ce7cab873b966ea778fd3279d027?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USCA28500452","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:0e8nrvls4Qqv5Rfa2UhqmO","THATS WHAT I WANT","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","spotify:album:6pOiDiuDQqrmo5DbG0ZubR","MONTERO","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X","2021-09-17","https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd","1","4","143901","https://p.scdn.co/mp3-preview/d62f4961618e4b4d40d823a11c6a6c1bf3fbd649?cid=9950ac751e34487dbbe027c4fd7f8e99","true","86","USSM12105732","spotify:user:sanik007","2023-01-13T18:55:05Z"
"spotify:track:4Z1fbYp0HuxLBje4MOZcSD","Twist And Shout - Remastered","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:7gDXyW16byCQOgK965BRzn","Please Please Me (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1963-03-22","https://i.scdn.co/image/ab67616d0000b2736dad651e0f698008133d94dc","1","14","155226","","false","3","GBAYE0601423","spotify:user:sanik007","2023-01-13T18:55:05Z"
