"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2pYtUiFhiRH5ssLl7wBK4v","The Story Continues","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","1","89186","https://p.scdn.co/mp3-preview/852bd3106cc68b3cee33bb14fd4b5930437ee201?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USWB10504697","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:1hrPBYnl3ynd227sZB5KYz","Frank Dies","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","2","130106","https://p.scdn.co/mp3-preview/5134a4627b7bd2a17e007168b76acffce2e308ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USWB10504730","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:668l1jLhA5t4nYsSIvdPf1","The Quidditch World Cup","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","3","111693","https://p.scdn.co/mp3-preview/6cd1f25a5066830cc933781bd7b0a0b19cc495a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USWB10504699","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:1hnh78WKdZar4M7gHEAX4K","The Dark Mark","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","4","206293","https://p.scdn.co/mp3-preview/2c52e56cc31abbd48253b7b0c47ef83c7477e751?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USWB10504700","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:3GVGvDhx6CTpHCaaQV5BBC","Foreign Visitors Arrive","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","5","89386","https://p.scdn.co/mp3-preview/6b548b63afb039587e2f47d52384465791474645?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USWB10504701","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:1HnVgzuWHlDN5Y2WVaYsyY","The Goblet of Fire","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","6","201693","https://p.scdn.co/mp3-preview/4f47c87f5da8f36bc913d8d2bc5457ac11a7dd87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USWB10504702","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:4O1bCn4guvbP8oNsUo1Xn3","Rita Skeeter","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","7","101346","https://p.scdn.co/mp3-preview/d387a2cb4df2ac7e9269f04b821363dd17047f67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USWB10504703","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:13jJayiWVPBuh6CFv3IGKz","Sirius Fire","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","8","119106","https://p.scdn.co/mp3-preview/fbdababaa6fe4f9e50679d2e3769ac6bbbb4f9fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USWB10504704","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:6jqxkggy9Absc9cIAEXQVi","Harry Sees Dragons","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","9","113160","https://p.scdn.co/mp3-preview/3bc89827dd70b7715171744dee19f0f24bc48585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USWB10504705","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:0qtL7mYXkfLokNLAFs8UdM","Golden Egg","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","10","370226","https://p.scdn.co/mp3-preview/f489a960a96147b06a2de54e89cc4e9343581fd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USWB10504706","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
"spotify:track:08IA5pdUxV881M3pFBKepS","Neville's Waltz","spotify:artist:1W42coQfIlt6btgqpfJWYQ","Patrick Doyle","spotify:album:64gUb1lgmNhAK0IPfVsR6K","Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2005-11-09","https://i.scdn.co/image/ab67616d0000b273bb71e7f0768b0b71d93adb8e","1","11","129053","https://p.scdn.co/mp3-preview/70c853cf9d96ca19122afafa07640e4b241c21cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USWB10504707","spotify:user:rob.bednark","2012-10-07T04:48:10Z"
