"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2HUAjeHWA7FQNbnWhlboOL","Moon River(Original Main Title)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","1","159744","https://p.scdn.co/mp3-preview/6578788eaf9a1d39f8dd12b27776d0970d385d1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBHFB1136001","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:6IlEoY4v4Wzlc8PKRth1vn","Something For The Cat","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","2","191506","https://p.scdn.co/mp3-preview/406c50cea57c883a1d4732a795f2060c9280a2d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBHFB1136002","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:3Nor23MPcY4Tm6OwHbntaP","Sally's Tomato","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","3","188705","https://p.scdn.co/mp3-preview/2a412770a4ed068fa2c616152a717d2ca5bf47a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBHFB1136003","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:6w74QK6psyTPDdKHtuywFy","Mr Yunioshi","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","4","153077","https://p.scdn.co/mp3-preview/3ea124ab50c7e1143fbd85ad31b96d86b32e10fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","GBHFB1136004","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:2jRRTaugWq9ZDPITR5iKJh","The Big Blowout","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","5","150973","https://p.scdn.co/mp3-preview/e9aaa4b3bd463257523fe939fea51a2e08c65451?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GBHFB1136005","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:5iGleL7HpEThuuYQ3us2jh","Moon River(Vocal Audrey Hepburn)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","6","125585","https://p.scdn.co/mp3-preview/522900b87fb6177fb2d823aaf5b230d33a5ff46e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBHFB1136006","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:72PLLHLCIgXvihLdtceuz5","Hub Caps and Tail Lights","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","7","151971","https://p.scdn.co/mp3-preview/1571fccff08fad5d3a851074ac924d0aefa7928a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GBHFB1136007","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:3Gtv7xHJ6Kpk1AcmDQqFJs","Breakfast At Tiffany's","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","8","168304","https://p.scdn.co/mp3-preview/694c15586362d80bad7d0fc50719359c34d415ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBHFB1136008","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:26aTWLdrak6yeM6mgw82Nj","Lain Golightly","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","9","178398","https://p.scdn.co/mp3-preview/ddf188a96b2701adf25d61a278965903ee436329?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","GBHFB1136009","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:1RiarpxKvufBflMmS1nnD3","Holly","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","10","201746","https://p.scdn.co/mp3-preview/e14e077eb2c508c2218e1e1d5581e05902ca9c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBHFB1136010","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:5dFCNitdkv78UqaKZiaXrR","Loose Caboose","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","11","192211","https://p.scdn.co/mp3-preview/0f0a3cd7cfd2e4a74d5fd0e96984b2dab542d4b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","GBHFB1136011","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:4XJeogDBaUR0wiAkqyTNCu","The Big Heist","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","12","190238","https://p.scdn.co/mp3-preview/53830d4de5e0079f5c35ae3d920e977693f8177d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","GBHFB1136012","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:4yX09kKt8IZ7TgDZIHaZdT","Moon River Cha Cha","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","13","159410","https://p.scdn.co/mp3-preview/f60c4d2dc2172a002d562b13c8223425e60d5d56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","USA371222247","spotify:user:","2012-05-29T00:39:26Z"
"spotify:track:4X1oV02KUK6vaMKuIRvq00","Moon River (Choral Version)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","spotify:album:53mCG3mQnybqhQfgH5ULUK","Breakfast At Tiffany's (50th Anniversary Edition)","spotify:artist:2EExdpjU4SK3xnJHO5paJf","Henry Mancini","1961","https://i.scdn.co/image/ab67616d0000b2738caffb84e5ffc60a902263c0","1","14","166159","https://p.scdn.co/mp3-preview/f68259fb67ed8a895bf08603e7c300e993d366b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USA371222248","spotify:user:","2012-05-29T00:39:26Z"
