"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7rnnwvPsGUdQQsZPeFHb6H","The Good Life","spotify:artist:2pcBagxkkV1Yhkr6d3M5Ie","Gustav Lundgren Trio","spotify:album:6pTKBoSyVVTCW97iRXXBAo","The Good Life","spotify:artist:2pcBagxkkV1Yhkr6d3M5Ie","Gustav Lundgren Trio","2022-08-19","https://i.scdn.co/image/ab67616d0000b273fa7bf58d40e9f264a6aed282","1","1","195961","https://p.scdn.co/mp3-preview/9305b89e812ade6d05dd4b03991af131a1e0e87b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","SE6N62200396","spotify:user:","2022-08-19T04:02:00Z"
"spotify:track:6AvCrfnM8SZOuRrOZGsuER","A Fadin' Blue","spotify:artist:1bObiFZkYu7IfzxVlAVj5x, spotify:artist:4xIooHvSmj2aWhQGrniJSu","Danny Vera, The Rosenberg Trio","spotify:album:21CGyD3PVhXNfMlq6QVLXc","A Fadin' Blue","spotify:artist:1bObiFZkYu7IfzxVlAVj5x","Danny Vera","2022-07-01","https://i.scdn.co/image/ab67616d0000b273cc70ef130772679d4f16385e","1","1","189065","https://p.scdn.co/mp3-preview/7125a0ee4dcfccd6d013f15c699bcfd8a0350c78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","NLB602200078","spotify:user:","2022-07-01T04:02:00Z"
"spotify:track:0q7dCoFz7QlS7vWwcuzQEO","Billet doux","spotify:artist:500N0I1rRpN81oULt3QUFY, spotify:artist:2U6OrSeML4qxUzx9PNbB4d","Tchavolo Schmitt, César Poirier","spotify:album:15fwr9nsJzCGFj1Xv26pmf","Miri Chterna","spotify:artist:500N0I1rRpN81oULt3QUFY","Tchavolo Schmitt","2022-06-17","https://i.scdn.co/image/ab67616d0000b2731adb1e8f26058cf4e8c89b27","1","8","224853","","false","28","FR9W12210380","spotify:user:","2022-06-17T04:02:00Z"
"spotify:track:1nT6CxquFZxHDDIgMTgS0W","Joseph Joseph","spotify:artist:0oiYyKo8F9Bm80L02whvQ1","Harmonious Wail","spotify:album:6zE6NEAmZPFKqw2GfUHKHJ","Joseph Joseph","spotify:artist:0oiYyKo8F9Bm80L02whvQ1","Harmonious Wail","2022-05-13","https://i.scdn.co/image/ab67616d0000b273a8cf9c79428b50a04f96e3a6","1","1","233751","https://p.scdn.co/mp3-preview/d78093c983b6369b02adbd37c33ffd9199fe7e61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","uscgj2289874","spotify:user:","2022-05-13T04:02:00Z"
"spotify:track:2aHCjx6UZv5duyrfICha0w","In A Sentimental Mood - Clair De Lune - Live","spotify:artist:09w3ZVwt5NBtwS2wZgBfwQ","Stephan\, Joscho feat. Rosenberg\, Stochelo","spotify:album:2e6icSnoxjhW5mReyWj4Dp","Guitar Heroes - Live","spotify:artist:03gMsWBnlCYwx7ivVnO0WG","Joscho Stephan","2022-04-29","https://i.scdn.co/image/ab67616d0000b273db1519c6cf42ca05d358503e","1","2","298792","https://p.scdn.co/mp3-preview/492236295740b4cd39c9c892e4a91d05a172d4d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","DEPV12200102","spotify:user:","2022-04-29T04:02:00Z"
"spotify:track:2wqjrl5ROiMhGlL5f4suz3","Bekledim de gelmedin","spotify:artist:2pcBagxkkV1Yhkr6d3M5Ie","Gustav Lundgren Trio","spotify:album:0Y2J7JR4uwh6RmyXzJD9An","Bekledim de gelmedin","spotify:artist:2pcBagxkkV1Yhkr6d3M5Ie","Gustav Lundgren Trio","2022-04-29","https://i.scdn.co/image/ab67616d0000b2735c3061010e93a2c56a8b000d","1","1","162511","https://p.scdn.co/mp3-preview/bbfc6e536b2b4487d586325de387bff18127c772?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","SE6N62200250","spotify:user:","2022-04-29T04:02:00Z"
"spotify:track:40nqi9rHYgwlw688GfD2zr","Nymphéas","spotify:artist:0FSBa5Pm7dulcy4TlirIxR","Duane Andrews","spotify:album:4xZ3oe0Ia3VG2dqjTgYigE","Nymphéas","spotify:artist:0FSBa5Pm7dulcy4TlirIxR","Duane Andrews","2022-05-14","https://i.scdn.co/image/ab67616d0000b273164550caa973fc6e975ea1d7","1","1","271236","https://p.scdn.co/mp3-preview/0306b908ee2465b28c1e9cfa052002767412d4f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QZHNA2223176","spotify:user:","2022-05-20T04:02:00Z"
"spotify:track:4Wo0AVGDazTF6wUv77yLZl","Belleville","spotify:artist:1dZtTzcPTFBsbmqNohoKUR, spotify:artist:6CdoTSuiw0mRW8uAsrf6kW","Benjamin Herman, Robin Nolan Trio","spotify:album:5Sx2O2IOx8CImGs9xIyAkA","Swing de Paris - Vol. 2","spotify:artist:1dZtTzcPTFBsbmqNohoKUR, spotify:artist:6CdoTSuiw0mRW8uAsrf6kW","Benjamin Herman, Robin Nolan Trio","2021-05-14","https://i.scdn.co/image/ab67616d0000b2731b4b5afcec59d77d1f196064","1","6","247693","https://p.scdn.co/mp3-preview/02bfc24380979b0735ecc2fcc6c657e9ac0335b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","NLH212100037","spotify:user:","2021-05-25T23:58:49Z"
"spotify:track:47c3TmiRM2lM3KKj1ifmq6","For Holzmanno","spotify:artist:2QDPltFMWXJLLfrGkjZ4xk","Wawau Adler","spotify:album:5u4hs4jrr8WAIimJysMUXr","I Play With You","spotify:artist:2QDPltFMWXJLLfrGkjZ4xk","Wawau Adler","2022-06-03","https://i.scdn.co/image/ab67616d0000b27396480f0354a55ac6ab2711bc","1","5","233693","https://p.scdn.co/mp3-preview/b4c2a0a15ae97b9158837e49b508e817467f6bac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","DED992200145","spotify:user:","2022-05-13T04:02:00Z"
"spotify:track:2yzyvggVHHtSN3H57lFHuR","Avalon","spotify:artist:2pcBagxkkV1Yhkr6d3M5Ie","Gustav Lundgren Trio","spotify:album:1iAs2iKTFAL98vSxew3LrT","Avalon","spotify:artist:2pcBagxkkV1Yhkr6d3M5Ie","Gustav Lundgren Trio","2022-06-17","https://i.scdn.co/image/ab67616d0000b273558b8c4db94908e959d01883","1","1","126329","https://p.scdn.co/mp3-preview/1638906c7d65d27da10365ecbc3b985a61a5546d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","SE6N62200345","spotify:user:","2022-06-17T04:02:00Z"
"spotify:track:5whsPGYSk2FMFCkluUkp6I","Coucou","spotify:artist:500N0I1rRpN81oULt3QUFY","Tchavolo Schmitt","spotify:album:5ZPSCr10M050pYwZM2lDyn","Coucou","spotify:artist:500N0I1rRpN81oULt3QUFY","Tchavolo Schmitt","2022-05-27","https://i.scdn.co/image/ab67616d0000b273ba4b968bf5155144e3d3e3cf","1","1","176386","","false","23","FR9W12210375","spotify:user:","2022-05-27T04:02:00Z"
