"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1AeqYGjx5CMYj2tFrTGKnN","Plum Blossoms In The Snow - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","1","110733","https://p.scdn.co/mp3-preview/06749b1198bd595e9205290ea77dcbe020b8621f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","HKI199526901","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:4E8cZ2AqeW6J3pU3ri4UKC","Green Island - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","2","219440","https://p.scdn.co/mp3-preview/b0c210d999744f0b509dbb76351d2f59a03fef99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","HKI199526902","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:4qMB50PAxOlp9b2oSOaQj8","Working Song - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","3","137266","https://p.scdn.co/mp3-preview/902135502c657cb9c74333e46fc68d0b5910b064?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","HKI199526903","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:4W5OZ3dgZj2fhafH4zhsLo","Moonlight - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","4","170066","https://p.scdn.co/mp3-preview/b96cbc9184e53de85e759ca7215b414d609b252f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","HKI199526904","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:1utwUJIjOf7xbKLUVNFbHG","Nostalgia - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","5","167493","https://p.scdn.co/mp3-preview/648dd33c0e776bd9d1342477e1cd6f531aca0684?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","HKI199526905","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:6r26cWDaXZjxWeG1KrcKiv","Cattle In The Meadow - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","6","124360","https://p.scdn.co/mp3-preview/0ce341466c48e038f6ad561aaa85f12a8669f0de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","HKI199526906","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:3YqjMNtuJycDXEllAZLnHy","Spring Breeze - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","7","288573","https://p.scdn.co/mp3-preview/6fe09236b9397c6227aedb4676f20e209727df0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","HKI199526907","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:6XSzbD6V8tRuLaluHKObF9","Questions - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","8","212173","https://p.scdn.co/mp3-preview/e51cafac424a9a8b9748e878b4244b96bb1753c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","HKI199526908","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:0Utqf4N3JYb9TofG2bfx6x","Mother - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","9","118426","https://p.scdn.co/mp3-preview/e5fcb90d5aec0e3559f782f2ae592fa0737a122f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","HKI199526909","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
"spotify:track:0taiYMKOvV9QTaGHthmkXZ","Memories - Arr. G. Garcia","spotify:artist:2vIpN8nPvtMZUWyGicF2oj, spotify:artist:5yVFKMGcxmH6Sy0nyEOQ1u, spotify:artist:1U5zgr455OGyIkLNXvDdrf","Takako Nishizaki, Gerald Garcia, Traditional","spotify:album:7oNlDJ1GxwLC1flpiQLr16","Chinese Melodies For Violin & Guitar","spotify:artist:2vIpN8nPvtMZUWyGicF2oj","Takako Nishizaki","1995-12-31","https://i.scdn.co/image/ab67616d0000b273af80fce00ce4291d6c03824b","1","10","224000","https://p.scdn.co/mp3-preview/fd5ca5ef50543613ec51439509d5210942ca3d3c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","HKI199526910","spotify:user:rob.bednark","2013-07-21T05:04:20Z"
