"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1NNrdT3dU1hHmyVSLdV7JO","Dietro casa","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","spotify:album:4aSt14A98gEpCUpKecrl4V","Una Mattina","spotify:artist:2uFUBdaVGtyMqckSeCl0Qj","Ludovico Einaudi","2004","https://i.scdn.co/image/ab67616d0000b2739601e0e41952b56b1918d787","1","7","233466","","false","0","ITC490700120","spotify:user:1232406091","2017-12-12T22:25:02Z"
"spotify:track:4LDdojvio0hoUkiiSa6Fds","Hover I","spotify:artist:4uSftVc3FPWe6RJuMZNEe9","Andrew Bird","spotify:album:1XBBNeT50E40fWKY5SOvb5","I Want to See Pulaski at Night","spotify:artist:4uSftVc3FPWe6RJuMZNEe9","Andrew Bird","2013-11-12","https://i.scdn.co/image/ab67616d0000b273d5f86e2ed9a548e213030078","1","5","208720","https://p.scdn.co/mp3-preview/d229d1c680bc216a18038f321a1b7aae3879b786?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","US4H71311125","spotify:user:1232406091","2017-12-12T22:25:59Z"
"spotify:track:4iEj3gYqRBz4mSpVGEj0fY","Pretty Stars","spotify:artist:3SONlwqLIP2GtaMh9pLYe5","Bill Frisell","spotify:album:5ngpdhJLdTnAPBV03GgOLb","Music IS","spotify:artist:3SONlwqLIP2GtaMh9pLYe5","Bill Frisell","2018-03-16","https://i.scdn.co/image/ab67616d0000b273f5dfd444f61ed3a4a9350acd","1","1","237573","https://p.scdn.co/mp3-preview/673ed2d2ec0a69e54408a015733c44f94bb7db5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USQX91702527","spotify:user:1232406091","2021-10-14T06:50:32Z"
"spotify:track:5We0RyPeTrCvi5tktDKDDu","Beret Girl","spotify:artist:0qzzGu8qpbXYpzgV52wOFT","Bibio","spotify:album:66uh2zByzGn6sW3mbpZTVh","Ribbons","spotify:artist:0qzzGu8qpbXYpzgV52wOFT","Bibio","2019-04-12","https://i.scdn.co/image/ab67616d0000b273af325092ab861ace2aae4924","1","1","116240","https://p.scdn.co/mp3-preview/cb1bb3a67f86590b6734b2f737782db01b7f4aec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBBPW1900014","spotify:user:1232406091","2021-09-29T15:46:13Z"
"spotify:track:3mo4YNzZtUyIxRQ7mH5yno","Gypsy Moth","spotify:artist:4uSftVc3FPWe6RJuMZNEe9","Andrew Bird","spotify:album:6LgS4YhVkfURRtORovQdGW","Echolocations: River","spotify:artist:4uSftVc3FPWe6RJuMZNEe9","Andrew Bird","2017-10-06","https://i.scdn.co/image/ab67616d0000b273a15f6dc927c4672e1d39b209","1","4","393240","https://p.scdn.co/mp3-preview/b2011ba7d62f80500ed403a3791c51efe2059c0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","US4H71710004","spotify:user:1232406091","2021-09-01T06:22:15Z"
"spotify:track:4dYyQl4yWkPEj3F0oRQKuj","#20 (Lichen)","spotify:artist:5wqMw7XAQ9M9kpO5ImZ6NK","Brendan Eder Ensemble","spotify:album:6vnDh0sjdED5RzHqlbpsns","To Mix With Time","spotify:artist:5wqMw7XAQ9M9kpO5ImZ6NK","Brendan Eder Ensemble","2020-04-24","https://i.scdn.co/image/ab67616d0000b273553d260bf3ebfc29fe473396","1","16","237832","https://p.scdn.co/mp3-preview/6ba73b51a3d7600bcc46d32371cb560af7833fd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZFZ22087119","spotify:user:1232406091","2021-08-25T07:22:02Z"
"spotify:track:1X8ohMqqhDlXt9tFh2EyOJ","Spain","spotify:artist:10duXbKJkvdGK5RgktEnxV, spotify:artist:3mQWAx0NcLndQZrW96V5m0","Julie Byrne, Steve Sobs","spotify:album:1otRNbhiS4x3SFL2EDS1IF","Spain","spotify:artist:10duXbKJkvdGK5RgktEnxV, spotify:artist:3mQWAx0NcLndQZrW96V5m0","Julie Byrne, Steve Sobs","2018-08-10","https://i.scdn.co/image/ab67616d0000b273cac772f82cb2d7314c9f9db2","1","1","286066","","false","0","USA2B1801113","spotify:user:1232406091","2021-09-29T15:46:12Z"
"spotify:track:65HCrfE4O22mqsv2Y6jEJ1","Aguas da Amazonia: No. 1, Madeira River","spotify:artist:69lxxQvsfAIoQbB20bEPFC, spotify:artist:7aQZO27ByZmD9uWUgA1lJA","Philip Glass, Third Coast Percussion","spotify:album:7fvl8TqN4VDdBM9MhQjmy2","Paddle to the Sea","spotify:artist:7aQZO27ByZmD9uWUgA1lJA","Third Coast Percussion","2018-02-09","https://i.scdn.co/image/ab67616d0000b2730d37473855516903392860f2","1","1","343897","https://p.scdn.co/mp3-preview/fb54917cb65a3e4ec08a854e57e7a9ec39325698?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USB801067262","spotify:user:1232406091","2021-08-14T23:00:15Z"
"spotify:track:47Awr6bk8tKQxUIXJimrEU","Gentle Giant (Bonus Track)","spotify:artist:3kANxNTLNOhxpOPoCbGq9E","Joey Dosik","spotify:album:3YgyDtXFVN2AVMPZE1GfFV","Game Winner - EP (Deluxe Edition)","spotify:artist:3kANxNTLNOhxpOPoCbGq9E","Joey Dosik","2018-02-23","https://i.scdn.co/image/ab67616d0000b273508e806f6f4ec68d324ac670","1","10","122282","","false","0","US38W1736304","spotify:user:1232406091","2021-08-09T00:05:11Z"
"spotify:track:5Dc6u94n0W0vFIqOUCp4Cd","Fårö","spotify:artist:6xrIXAjnPpgitqGcPFsl6f","Martyn Heyne","spotify:album:53KOB0snALBLZ3ua1bRTyu","Electric Intervals","spotify:artist:6xrIXAjnPpgitqGcPFsl6f","Martyn Heyne","2017-11-17","https://i.scdn.co/image/ab67616d0000b2733e0f00112d68d1293ed46381","1","4","304689","https://p.scdn.co/mp3-preview/ac899ae8ce8261050ad68bbd44d7ef95622869d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","DEG931701160","spotify:user:1232406091","2021-09-29T15:46:10Z"
